ProductID	ItemTID	Count	Price	SpecialFlag	Description	BuyMessage	
51	3904	10	1000		Lucky Charm		
52	4559	1	5000		Alcadia Mount		
53	3909	10	1000		Archlord's Proof		
54	1127	99	1000	Hot	Large Healing Potion		
55	1838	10	1000		Gold Key		
56	4803	1	1000	Hot	Silver Coin of Millionaire		
57	1840	10	900		Silver Key		
58	1842	5	5000		Talisman of Protection		
59	1846	500	400	Hot	Lens Stone		
60	1846	5000	3000		Lens Stone		
61	615	10	1000	Hot	Extra-large Giant Potion		
62	593	10	1000		Extra-large Light Speed Potion		
63	602	10	1000		Extra-large Defense Potion		
64	596	10	1000		Extra-large Agility Potion		
65	618	10	1000		Extra-large Evasion Potion		
66	3438	1	9900	New	Talisman of Awakening<14 Days>		
67	3436	1	1000	New	Talisman of Awakening<1 Day>		
68	1844	1	500	Hot	Talisman of Awakening<30 Minutes>		
69	3437	1	3000	New	Talisman of Awakening<3 Days>		
70	842	1	1000	Hot	1x Resurrection Orb		
71	842	5	4000	New	5x Resurrection Orb		
72	1174	10	1500	New	Summoning Orb		
73	1171	1	3000	Hot	Return Orb		
74	152	5000	2000	Event	Çëµ½ÍøÒ³°æÉÌ³Ç¹ºÂò	"""»þ·Ð½ºÅæ ÀÌº¥Æ®¿¡ ÀÚµ¿ ÀÀ¸ðµÇ¾ú½À´Ï´Ù."""	
75	3903	1	5000	Event	Çëµ½ÍøÒ³°æÉÌ³Ç¹ºÂò	"""·°Å° ³Ñ¹ö ½½·¹ºì ÀÌº¥Æ®¿¡ ÀÚµ¿ ÀÀ¸ðµÇ¾ú½À´Ï´Ù."""	
