Type	Number	Sell Name	Case	CharacterTID	UseLevel	Price(Money)	Price(Skull)
Hair	0	모히칸 1번	0	96	1	0	0
Hair	1	모히칸 2번	1	96	1	0	0
Hair	2	모히칸 3번	1	96	1	0	0
Hair	3	모히칸 4번	1	96	1	0	0
Hair	4	모히칸 5번	1	96	7	1000	0
Hair	5	탑볼룸울프 1번	1	96	7	1000	0
Hair	6	탑볼룸울프 2번	1	96	7	1000	0
Hair	7	탑볼룸울프 3번	1	96	7	1000	0
Hair	8	탑볼룸울프 4번	1	96	7	1000	0
Hair	9	홈스테일 1번	1	96	7	1500	0
Hair	10	홈스테일 2번	1	96	7	1500	0
Hair	11	홈스테일 3번	1	96	7	1500	0
Hair	12	홈스테일 4번	1	96	7	1500	0
Hair	13	샤기 1번	1	96	7	2000	0
Hair	14	샤기 2번	1	96	7	2000	0
Hair	15	샤기 3번	1	96	7	2000	0
Hair	16	스크레치 1번	1	96	7	1000	0
Hair	17	볼드 1번	1	96	7	1000	0
Hair	18	탑볼드 1번	1	96	7	1000	0
Hair	19	오버스트레이트 1번	0	96	1	0	0
Hair	20	오버스트레이트 2번	1	96	1	0	0
Hair	21	오버스트레이트 3번	1	96	1	0	0
Hair	22	오버스트레이트 4번	1	96	1	0	0
Hair	23	오버스트레이트 5번	1	96	1	0	0
Hair	24	세미롱 1번	0	96	1	0	0
Hair	25	세미롱 2번	1	96	1	0	0
Hair	26	세미롱 3번	1	96	1	0	0
Hair	27	세미롱 4번	1	96	1	0	0
Hair	28	세미롱 5번	1	96	1	0	0
Hair	29	밴드브런치 1번	0	96	1	0	0
Hair	30	밴드브런치 2번	1	96	1	0	0
Hair	31	밴드브런치 3번	1	96	1	0	0
Hair	32	밴드브런치 4번	1	96	1	0	0
Hair	33	밴드브런치 5번	1	96	1	0	0
Hair	34	롱샤기 1번	0	96	1	0	0
Hair	35	롱샤기 2번	1	96	1	0	0
Hair	36	롱샤기 3번	1	96	1	0	0
Hair	37	롱샤기 4번	1	96	1	0	0
Hair	38	롱샤기 5번	1	96	1	0	0
Hair	39	탑윙 1번	0	96	1	0	0
Hair	40	탑윙 2번	1	96	1	0	0
Hair	41	탑윙 3번	1	96	1	0	0
Hair	42	탑윙 4번	1	96	1	0	0
Face	0	타입 1번	0	96	1	0	0
Face	1	타입 2번	1	96	7	3000	0
Face	5	타입 3번	1	96	7	2000	0
Face	6	타입 4번	1	96	7	2000	0
Face	7	타입 5번	1	96	7	2000	0
Face	8	타입 6번	1	96	7	2000	0
Face	9	타입 7번	1	96	7	2000	0
Face	10	타입 8번	1	96	7	2000	0
Face	11	타입 9번	1	96	7	2000	0
Face	12	타입 10번	1	96	7	2000	0
Face	13	타입 11번	1	96	7	2000	0
Face	2	타입 12번	1	96	7	2000	0
Face	14	타입 13번	1	96	7	2000	0
Face	3	타입 14번	1	96	7	2000	0
Face	4	타입 15번	1	96	7	2000	0
Face	15	타입 16번	1	96	7	2000	0
Face	16	타입 17번	0	96	1	0	0
Face	17	타입 18번	0	96	1	0	0
Face	18	타입 19번	0	96	1	0	0
Face	19	타입 20번	0	96	1	0	0
Face	20	타입 21번	0	96	1	0	0
Hair	0	와일드윈드 1번	0	6	1	0	0
Hair	1	와일드윈드 2번	1	6	1	0	0
Hair	2	샤기뱅 1번	1	6	7	1000	0
Hair	3	샤기뱅 2번	1	6	7	1000	0
Hair	4	샤기뱅 3번	1	6	7	1000	0
Hair	5	샤기뱅 4번	1	6	7	1000	0
Hair	6	르네상스패니민 1번	1	6	7	1000	0
Hair	7	르네상스패니민 2번	1	6	7	1000	0
Hair	8	르네상스패니민 3번	1	6	7	1000	0
Hair	9	르네상스패니민 4번	1	6	7	1000	0
Hair	10	엘레강스 1번	1	6	7	1500	0
Hair	11	엘레강스 2번	1	6	7	1500	0
Hair	12	엘레강스 3번	1	6	7	1500	0
Hair	13	엘레강스 4번	1	6	7	1500	0
Hair	14	숄더컷 1번	0	6	1	0	0
Hair	15	숄더컷 2번	1	6	1	0	0
Hair	16	숄더컷 3번	1	6	1	0	0
Hair	17	숄더컷 4번	1	6	1	0	0
Hair	18	숄더컷 5번	1	6	1	0	0
Hair	19	사이드윙 1번	0	6	1	0	0
Hair	20	사이드윙 2번	1	6	1	0	0
Hair	21	사이드윙 3번	1	6	1	0	0
Hair	22	사이드윙 4번	1	6	1	0	0
Hair	23	사이드윙 5번	1	6	1	0	0
Hair	24	팅클 1번	0	6	1	0	0
Hair	25	팅클 2번	1	6	1	0	0
Hair	26	팅클 3번	1	6	1	0	0
Hair	27	팅클 4번	1	6	1	0	0
Hair	28	팅클 5번	1	6	1	0	0
Hair	29	탑플레이트 1번	0	6	1	0	0
Hair	30	탑플레이트 2번	1	6	1	0	0
Hair	31	탑플레이트 3번	1	6	1	0	0
Hair	32	탑플레이트 4번	1	6	1	0	0
Hair	33	탑플레이트 5번	1	6	1	0	0
Hair	34	핀숄더스트레이트 1번	0	6	1	0	0
Hair	35	핀숄더스트레이트 2번	1	6	1	0	0
Hair	36	핀숄더스트레이트 3번	1	6	1	0	0
Hair	37	핀숄더스트레이트 4번	1	6	1	0	0
Hair	38	핀숄더스트레이트 5번	1	6	1	0	0
Face	0	타입 1번	0	6	1	0	0
Face	1	타입 2번	1	6	7	2000	0
Face	2	타입 3번	1	6	7	3000	0
Face	3	타입 4번	1	6	7	2000	0
Face	4	타입 5번	1	6	7	2000	0
Face	5	타입 6번	1	6	7	2000	0
Face	6	타입 7번	1	6	7	2000	0
Face	7	타입 8번	0	6	1	0	0
Face	8	타입 9번	0	6	1	0	0
Face	9	타입 10번	0	6	1	0	0
Face	10	타입 11번	0	6	1	0	0
Face	11	타입 12번	0	6	1	0	0
Hair	0	하프바인드 1번	0	1	1	0	0
Hair	1	하프바인드 2번	1	1	1	0	0
Hair	2	하프바인드 3번	1	1	1	0	0
Hair	3	허리케인 1번	1	1	7	1000	0
Hair	4	허리케인 2번	1	1	7	1000	0
Hair	5	허리케인 3번	1	1	7	1000	0
Hair	6	올백스파이럴 1번	1	1	7	1500	0
Hair	7	올백스파이럴 2번	1	1	7	1500	0
Hair	8	올백스파이럴 3번	1	1	7	1500	0
Hair	9	에로우샤기 1번	1	1	7	2000	0
Hair	10	에로우샤기 2번	1	1	7	2000	0
Hair	11	에로우샤기 3번	1	1	7	2000	0
Hair	12	스트록 1번	1	1	7	1500	0
Hair	13	스트록 2번	1	1	7	1500	0
Hair	14	스트록 3번	1	1	7	1500	0
Hair	15	익스텐션 1번	1	1	7	1000	0
Hair	16	익스텐션 2번	1	1	7	1000	0
Hair	17	익스텐션 3번	1	1	7	1000	0
Hair	18	숄더레이어 1번	0	1	1	0	0
Hair	19	숄더레이어 2번	1	1	1	0	0
Hair	20	숄더레이어 3번	1	1	1	0	0
Hair	21	숄더레이어 4번	1	1	1	0	0
Hair	22	숄더레이어 5번	1	1	1	0	0
Hair	23	와일드오버 1번	0	1	1	0	0
Hair	24	와일드오버 2번	1	1	1	0	0
Hair	25	와일드오버 3번	1	1	1	0	0
Hair	26	와일드오버 4번	1	1	1	0	0
Hair	27	와일드오버 5번	1	1	1	0	0
Hair	28	숏컷 1번	0	1	1	0	0
Hair	29	숏컷 2번	1	1	1	0	0
Hair	30	숏컷 3번	1	1	1	0	0
Hair	31	숏컷 4번	1	1	1	0	0
Hair	32	숏컷 5번	1	1	1	0	0
Hair	33	사이드플레이트 1번	0	1	1	0	0
Hair	34	사이드플레이트 2번	1	1	1	0	0
Hair	35	사이드플레이트 3번	1	1	1	0	0
Hair	36	사이드플레이트 4번	1	1	1	0	0
Hair	37	사이드플레이트 5번	1	1	1	0	0
Hair	38	세미테일 1번	0	1	1	0	0
Hair	39	세미테일 2번	1	1	1	0	0
Hair	40	세미테일 3번	1	1	1	0	0
Hair	41	세미테일 4번	1	1	1	0	0
Hair	42	세미테일 5번	1	1	1	0	0
Face	0	타입 1번	0	1	1	0	0
Face	1	타입 2번	1	1	7	2000	0
Face	2	타입 3번	1	1	7	3000	0
Face	3	타입 4번	1	1	7	2000	0
Face	4	타입 5번	1	1	7	2000	0
Face	5	타입 6번	1	1	7	2000	0
Face	6	타입 7번	0	1	1	0	0
Face	7	타입 8번	0	1	1	0	0
Face	8	타입 9번	0	1	1	0	0
Face	9	타입 10번	0	1	1	0	0
Face	10	타입 11번	0	1	1	0	0
Hair	0	스네이크 1번	0	8	1	0	0
Hair	1	스네이크 2번	1	8	1	0	0
Hair	2	사이드윈드 1번	1	8	7	1000	0
Hair	3	사이드윈드 2번	1	8	7	1000	0
Hair	4	사이드윈드 3번	1	8	7	1000	0
Hair	5	사이드윈드 4번	1	8	7	1000	0
Hair	6	튜닝뱅 1번	1	8	7	1000	0
Hair	7	튜닝뱅 2번	1	8	7	1000	0
Hair	8	튜닝뱅 3번	1	8	7	1000	0
Hair	9	튜닝뱅 4번	1	8	7	1000	0
Hair	10	익스텐션 1번	1	8	7	2000	0
Hair	11	익스텐션 2번	1	8	7	2000	0
Hair	12	익스텐션 3번	1	8	7	2000	0
Hair	13	익스텐션 4번	1	8	7	2000	0
Hair	14	트리플바인드 1번	1	8	7	1500	0
Hair	15	트리플바인드 2번	1	8	7	1500	0
Hair	16	트리플바인드 3번	1	8	7	1500	0
Hair	17	트리플바인드 4번	1	8	7	1500	0
Hair	18	라이트닝숏 1번	0	8	1	0	0
Hair	19	라이트닝숏 2번	1	8	1	0	0
Hair	20	라이트닝숏 3번	1	8	1	0	0
Hair	21	라이트닝숏 4번	1	8	1	0	0
Hair	22	라이트닝숏 5번	1	8	1	0	0
Hair	23	탑슬레이브 1번	0	8	1	0	0
Hair	24	탑슬레이브 2번	1	8	1	0	0
Hair	25	탑슬레이브 3번	1	8	1	0	0
Hair	26	탑슬레이브 4번	1	8	1	0	0
Hair	27	탑슬레이브 5번	1	8	1	0	0
Hair	28	와일드업 1번	0	8	1	0	0
Hair	29	와일드업 2번	1	8	1	0	0
Hair	30	와일드업 3번	1	8	1	0	0
Hair	31	와일드업 4번	1	8	1	0	0
Hair	32	와일드업 5번	1	8	1	0	0
Hair	33	트리플탑 1번	0	8	1	0	0
Hair	34	트리플탑 2번	1	8	1	0	0
Hair	35	트리플탑 3번	1	8	1	0	0
Hair	36	트리플탑 4번	1	8	1	0	0
Hair	37	트리플탑 5번	1	8	1	0	0
Hair	38	차이니즈테일 1번	0	8	1	0	0
Hair	39	차이니즈테일 2번	1	8	1	0	0
Hair	40	차이니즈테일 3번	1	8	1	0	0
Hair	41	차이니즈테일 4번	1	8	1	0	0
Hair	42	차이니즈테일 5번	1	8	1	0	0
Face	0	타입 1번	0	8	1	0	0
Face	1	타입 2번	1	8	7	2000	0
Face	2	타입 3번	1	8	7	3000	0
Face	3	타입 4번	1	8	7	2000	0
Face	4	타입 5번	1	8	7	2000	0
Face	5	타입 6번	1	8	7	2000	0
Face	6	타입 7번	0	8	1	0	0
Face	7	타입 8번	0	8	1	0	0
Face	8	타입 9번	0	8	1	0	0
Face	9	타입 10번	0	8	1	0	0
Face	10	타입 11번	0	8	1	0	0
Hair	0	브레이드 1번	0	3	1	0	0
Hair	1	브레이드 2번	1	3	1	0	0
Hair	2	브레이드 3번	1	3	1	0	0
Hair	3	드레드 1번	1	3	7	1000	0
Hair	4	드레드 2번	1	3	7	1000	0
Hair	5	드레드 3번	1	3	7	1000	0
Hair	6	드레곤슬레이어 1번	1	3	7	1500	0
Hair	7	드레곤슬레이어 2번	1	3	7	1500	0
Hair	8	드레곤슬레이어 3번	1	3	7	1500	0
Hair	9	울프 1번	1	3	7	1000	0
Hair	10	울프 2번	1	3	7	1000	0
Hair	11	울프 3번	1	3	7	1000	0
Hair	12	펑키 1번	1	3	7	2000	0
Hair	13	펑키 2번	1	3	7	2000	0
Hair	14	펑키 3번	1	3	7	2000	0
Hair	15	갱 1번	1	3	7	1000	0
Hair	16	갱 2번	1	3	7	1000	0
Hair	17	갱 3번	1	3	7	1000	0
Hair	18	깃털장식 1번	0	3	1	0	0
Hair	19	깃털장식 2번	1	3	1	0	0
Hair	20	깃털장식 3번	1	3	1	0	0
Hair	21	깃털장식 4번	1	3	1	0	0
Hair	22	깃털장식 5번	1	3	1	0	0
Hair	23	라이트닝웨이브 1번	0	3	1	0	0
Hair	24	라이트닝웨이브 2번	1	3	1	0	0
Hair	25	라이트닝웨이브 3번	1	3	1	0	0
Hair	26	라이트닝웨이브 4번	1	3	1	0	0
Hair	27	라이트닝웨이브 5번	1	3	1	0	0
