GroupID	DropRate	LevelBonus10	LevelBonus20	LevelBonus30	LevelBonus40	LevelBonus50	LevelBonus60	LevelBonus70	LevelBonus80	LevelBonus90	LevelBonus100
1	61000	61000	0	-500	-1000	-1000	-2000	-2000	-2000	-2000	-2000
2	11000	1100	0	0	0	0	0	0	0	0	0
3	12000	1200	-500	-400	-300	-200	-100	0	0	0	0
4	10000	1000	-1200	-1400	-1600	-1600	-1600	-1600	-1600	-1600	-1600
5	3000	300	0	0	0	0	0	0	0	0	0
6	70000	70000	5000	0	-10000	-20000	-30000	-40000	-50000	-50000	-50000
7	15000	1500	-500	-500	-500	-500	-500	-500	-500	-500	-500
8	40000	4000	-2500	-2500	-2500	-2500	-2500	-2500	-2500	-2500	-2500
9	2000	200	0	0	0	0	0	0	0	0	0
10	3100	310	0	0	0	0	0	0	0	0	0
11	6000	600	0	0	0	0	0	0	0	0	0
12	4000	400	0	0	0	0	0	0	0	0	0
13	14000	500	0	0	0	0	0	0	0	0	0
15	60000	60000	0	-500	-1000	-1000	-2000	-2000	-2000	-2000	-2000
16	2000	2000	0	0	0	0	0	0	0	0	0
20	7000	6000	-2	-4	-6	-8	-10	-12	-14	-16	-18
21	7500	5000	-2	-4	-6	-8	-10	-12	-14	-16	-18
22	3000	3000	0	0	0	0	0	0	0	0	0
