TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Type	SubType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide	Buyer_Type	Using_Type	OptionTID	PotionType2	Link_id	Skill_plus	Gambling
1174	Summoning Orb							15											50000		99																																																																											1						1								
39510	Augmented Armour of Cross	96			1	1				1							3517399		1	10000			3	250							5		5	5	5	5	5				5	5	5	5	5				70																					80	25	20	25																	16																				
39170	Augmented Barrakas's Armor	96			2	1				1							3517399		1	10000			3	250							5		5	5	5	5	5				5	5	5	5	5				70																					80	25	20	25																	16																				
39810	Augmented Garb of Belik	96			4	1				1							3517399		1	10000			3	250							5		5	5	5	5	5				5	5	5	5	5				70																					80	25	20	25																	16																				
45220	Augmented Armour of Odon	96			1	2				1							3517399		1	10000			3	250							5		5	5	5	5	5				5	5	5	5	5				70																					80	25	20	25																	16																				
44620	Augmented Armour of Gott	96			2	2				1							3517399		1	10000			3	250							5		5	5	5	5	5				5	5	5	5	5				70																					80	25	20	25																	16																				
44920	Augmented Garb of Garnier	96			4	2				1							3517399		1	10000			3	250							5		5	5	5	5	5				5	5	5	5	5				70																					80	25	20	25																	16																				
40990	Augmented Cuirass of Cereserel	96			2	3				1							3517399		1	10000			3	250							5		5	5	5	5	5				5	5	5	5	5				70																					80	25	20	25																	16																				
44330	Augmented Garb of Quentin	96			4	3				1							3517399		1	10000			3	250							5		5	5	5	5	5				5	5	5	5	5				70																					80	25	20	25																	16																				
3956	Helmet of Cross	90	93	98	1	1				1				15	400	1	3517399		1	10000			3	40			1	2																										12	12	12	12	12	12	12		12	12	12	12	12	12	12		12	12	12	12	12																15																				
3951	Armour of Cross	90	93	98	1	1				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																					10			20																	15																				
3953	Gauntlet of Cross	90	93	98	1	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3	10	12																																																												15																				
3954	Greave of Cross	90	93	98	1	1				1				15	400	1	3517399		1	10000			3	81	2	3	3	4			8	8																																																										15																				
3955	Boots of Cross	90	93	98	1	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																																										5	5	5	5	5																15																				
3922	Cap of Balakas	90	93	98	2	1				1				15	400	1	3517399		1	10000			3	40			1	2																										12	12	12	12	12	12	12		12	12	12	12	12	12	12		12	12	12	12	12																15																				
3917	Barrakas's Armor	90	93	98	2	1				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																					10			20																	15																				
3919	Arm pad of Balakas	90	93	98	2	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3	10	12																																																												15																				
3920	Trousers of Balakas	90	93	98	2	1				1				15	400	1	3517399		1	10000			3	81	2	3	3	4			8	8																																																										15																				
3921	Boots of Balakas	90	93	98	2	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																																										5	5	5	5	5																15																				
3986	Headband of Belik	90	93	98	4	1				1				15	400	1	3517399		1	10000			3	40			1	2																										12	12	12	12	12	12	12		12	12	12	12	12	12	12		12	12	12	12	12																15																				
3981	Garb of Belik	90	93	98	4	1				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																					10			20																	15																				
3983	Bracelet of Belik	90	93	98	4	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3	10	12																																																												15																				
3984	Kilt of Belik	90	93	98	4	1				1				15	400	1	3517399		1	10000			3	81	2	3	3	4			8	8																																																										15																				
3985	Boots of Belik	90	93	98	4	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	2																																										5	5	5	5	5																15																				
4547	Helmet of Odon	90	93	98	1	2				1				15	400	1	3517399		1	10000			3	40			1	2																										12	12	12	12	12	12	12		12	12	12	12	12	12	12		12	12	12	12	12																15																				
4522	Armour of Odon	90	93	98	1	2				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																					10			20																	15																				
4524	Gauntlet of Odon	90	93	98	1	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3	10	12																																																												15																				
4525	Greave of Odon	90	93	98	1	2				1				15	400	1	3517399		1	10000			3	81	2	3	3	4			8	8																																																										15																				
4526	Boots of Odon	90	93	98	1	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																																										5	5	5	5	5																15																				
4487	Cap of Gott	90	93	98	2	2				1				15	400	1	3517399		1	10000			3	40			1	2																										12	12	12	12	12	12	12		12	12	12	12	12	12	12		12	12	12	12	12																15																				
4462	Armour of Gott	90	93	98	2	2				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																					10			20																	15																				
4464	Arm pad of Gott	90	93	98	2	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3	10	12																																																												15																				
4465	Trousers of Gott	90	93	98	2	2				1				15	400	1	3517399		1	10000			3	81	2	3	3	4			8	8																																																										15																				
4466	Boots of Gott	90	93	98	2	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																																										5	5	5	5	5																15																				
4517	Headband of Garnier	90	93	98	4	2				1				15	400	1	3517399		1	10000			3	40			1	2																										12	12	12	12	12	12	12		12	12	12	12	12	12	12		12	12	12	12	12																15																				
4492	Garb of Garnier	90	93	98	4	2				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																					10			20																	15																				
4494	Bracelet of Garnier	90	93	98	4	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3	10	12																																																												15																				
4495	Kilt of Garnier	90	93	98	4	2				1				15	400	1	3517399		1	10000			3	81	2	3	3	4			8	8																																																										15																				
4496	Boots of Garnier	90	93	98	4	2				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																																										5	5	5	5	5																15																				
4428	Hair lace of Cereserel	90	93	98	2	3				1				15	400	1	3517399		1	10000			3	40			1	2																										12	12	12	12	12	12	12		12	12	12	12	12	12	12		12	12	12	12	12																15																				15
4099	Cuirass of Cereserel	90	93	98	2	3				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																					10			20																	15																				
4405	Bracer of Cereserel	90	93	98	2	3				1				15	400	1	3517399		1	10000			3	61	2	2	2	3	10	12																																																												15																				
4406	Tights of Cereserel	90	93	98	2	3				1				15	400	1	3517399		1	10000			3	81	2	3	3	4			8	8																																																										15																				
4407	Gem Boer of Cereserel	90	93	98	2	3				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																																										5	5	5	5	5																15																				
4458	Cap of Quentin	90	93	98	4	3				1				15	400	1	3517399		1	10000			3	40			1	2																										12	12	12	12	12	12	12		12	12	12	12	12	12	12		12	12	12	12	12																15																				
4433	Garb of Quentin	90	93	98	4	3				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																					10			20																	15																				
4435	Sleeve of Quentin	90	93	98	4	3				1				15	400	1	3517399		1	10000			3	61	2	2	2	3	10	12																			0																																									15																				
4436	Skirt of Quentin	90	93	98	4	3				1				15	400	1	3517399		1	10000			3	81	2	3	3	4			8	8																																																										15																				
4437	Boots of Quentin	90	93	98	4	3				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																				0																						5	5	5	5	5																15																				
3968	Helmet of Alph	1	85	90	1	1				1				15	400	1	3517399		1	150			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
3963	Armour of Alph	1	85	90	1	1				1				15	400	1	3517399		1	150			3	90	3	4	3	4																					25																																									15																				
3965	Gauntlet of Alph	1	85	90	1	1				1				15	400	1	3517399		1	150			3	61	2	2	2	3		15																			0																																									15																				
3966	Greave of Alph	1	85	90	1	1				1				15	400	1	3517399		1	150			3	81	2	3	3	4																					0																																									15																				
3967	Boots of Alph	1	85	90	1	1				1				15	400	1	3517399		1	150			3	61	2	2	2	3																					0																																									15																				
3934	Cap of Noviel	1	85	90	2	1				1				15	400	1	3517399		1	150			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
3929	Armour of Noviel	1	85	90	2	1				1				15	400	1	3517399		1	150			3	90	3	4	3	4																					25																																									15																				
3931	Arm pad of Noviel	1	85	90	2	1				1				15	400	1	3517399		1	150			3	61	2	2	2	3		15																			0																																									15																				
3932	Trousers of Noviel	1	85	90	2	1				1				15	400	1	3517399		1	150			3	81	2	3	3	4																					0																																									15																				
3933	Boots of Noviel	1	85	90	2	1				1				15	400	1	3517399		1	150			3	61	2	2	2	3																					0																																									15																				
3998	Headband of Willos	1	85	90	4	1				1				15	400	1	3517399		1	150			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
3993	Garb of Willos	1	85	90	4	1				1				15	400	1	3517399		1	150			3	90	3	4	3	4																					25																																									15																				
3995	Bracelet of Willos	1	85	90	4	1				1				15	400	1	3517399		1	150			3	61	2	2	2	3		15																			0																																									15																				
3996	Kilt of Willos	1	85	90	4	1				1				15	400	1	3517399		1	150			3	81	2	3	3	4																					0																																									15																				
3997	Boots of Willos	1	85	90	4	1				1				15	400	1	3517399		1	150			3	61	2	2	2	2																					0																																									15																				
4549	Helmet of Nurk	1	85	90	1	2				1				15	400	1	3517399		1	150			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
4532	Armour of Nurk	1	85	90	1	2				1				15	400	1	3517399		1	150			3	90	3	4	3	4																					25																																									15																				
4534	Gauntlet of Nurk	1	85	90	1	2				1				15	400	1	3517399		1	150			3	61	2	2	2	3		15																			0																																									15																				
4535	Greave of Nurk	1	85	90	1	2				1				15	400	1	3517399		1	150			3	81	2	3	3	4																					0																																									15																				
4536	Boots of Nurk	1	85	90	1	2				1				15	400	1	3517399		1	150			3	61	2	2	2	3																					0																																									15																				
4489	Cap of Taliran	1	85	90	2	2				1				15	400	1	3517399		1	150			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
4472	Armour of Taliran	1	85	90	2	2				1				15	400	1	3517399		1	150			3	90	3	4	3	4																					25																																									15																				
4474	Arm pad of Taliran	1	85	90	2	2				1				15	400	1	3517399		1	150			3	61	2	2	2	3		15																			0																																									15																				
4475	Trousers of Taliran	1	85	90	2	2				1				15	400	1	3517399		1	150			3	81	2	3	3	4																					0																																									15																				
4476	Boots of Taliran	1	85	90	2	2				1				15	400	1	3517399		1	150			3	61	2	2	2	3																					0																																									15																				
4519	Headband of Menta	1	85	90	4	2				1				15	400	1	3517399		1	150			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
4502	Garb of Menta	1	85	90	4	2				1				15	400	1	3517399		1	150			3	90	3	4	3	4																					25																																									15																				
4504	Bracelet of Menta	1	85	90	4	2				1				15	400	1	3517399		1	150			3	61	2	2	2	3		15																			0																																									15																				
4505	Kilt of Menta	1	85	90	4	2				1				15	400	1	3517399		1	150			3	81	2	3	3	4																					0																																									15																				
4506	Boots of Menta	1	85	90	4	2				1				15	400	1	3517399		1	150			3	61	2	2	2	3																					0																																									15																				
4430	Hair lace of Bedilla	1	85	90	2	3				1				15	400	1	3517399		1	150			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
4413	Cuirass of Bedilla	1	85	90	2	3				1				15	400	1	3517399		1	150			3	90	3	4	3	4																					25																																									15																				
4415	Bracer of Bedilla	1	85	90	2	3				1				15	400	1	3517399		1	150			3	61	2	2	2	3		15																			0																																									15																				
4416	Tights of Bedilla	1	85	90	2	3				1				15	400	1	3517399		1	150			3	81	2	3	3	4																					0																																									15																				
4417	Gem Boer of Bedilla	1	85	90	2	3				1				15	400	1	3517399		1	150			3	61	2	2	2	3																					0																																									15																				
4460	Cap of Salirenen	1	85	90	4	3				1				15	400	1	3517399		1	150			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
4443	Garb of Salirenen	1	85	90	4	3				1				15	400	1	3517399		1	150			3	90	3	4	3	4																					25																																									15																				
4445	Sleeve of Salirenen	1	85	90	4	3				1				15	400	1	3517399		1	150			3	61	2	2	2	3		15																			0																																									15																				
4446	Skirt of Salirenen	1	85	90	4	3				1				15	400	1	3517399		1	150			3	81	2	3	3	4																					0																																									15																				
4447	Boots of Salirenen	1	85	90	4	3				1				15	400	1	3517399		1	150			3	61	2	2	2	3																					0																																									15																				
3962	Helmet of Bladin	1	85	90	1	1				1				15	400	1	3517399		1	10000			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
3957	Armour of Bladin	1	85	90	1	1				1				15	400	1	3517399		1	10000			3	90	3	4	3	4																					25																																									15																				
3959	Gauntlet of Bladin	1	85	90	1	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3		15																			0																																									15																				
3960	Greave of Bladin	1	85	90	1	1				1				15	400	1	3517399		1	10000			3	81	2	3	3	4																					0																																									15																				
3961	Boots of Bladin	1	85	90	1	1				1				15	400	1	3517399		1	10000			3	61	2	2	2	3																					0																																									15																				
3928	Cap of Riley	1	85	90	2	1				1				15	400	1	3517399		1	10000			3	40			1	2																					0					12	12	12	12	12	12			12	12	12	12	12	12			12	12	12	12	12																15																				
