기본강화단계	무기능력치 상승	방어구능력치 상승	Rank	Spirit1	Spirit2	Spirit3	Spirit4	Spirit5								
1	2	2		O												
2	2	2		O												
3	3	3		O												
4	3	3		O												
5	4	4		O												
6	4	4		O												
7	5	5	L	O												
8	5	5	F	O												
9	6	6	E	O	O											
10	6	6	D	O	O	O										
11	7	7	C	O	O	O	O									
12	7	7	B	O	O	O	O	O								
13	8	8	A	O	O	O	O	O								
14	8	8	AA	O	O	O	O	O								
15	9	9	AAA	O	O	O	O	O								
16	10	9	S	O	O	O	O	O								
																
성공	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	75	70	65	60	50	30	20	0	0	0	0	0	0	0	0	0
8	80	75	70	65	60	50	30	20	0	0	0	0	0	0	0	0
9	85	80	75	70	65	60	50	30	20	0	0	0	0	0	0	0
10	90	85	80	75	70	65	60	50	30	20	0	0	0	0	0	0
11	95	90	85	80	75	70	65	60	50	30	20	0	0	0	0	0
12	100	95	90	85	80	75	70	65	60	50	30	20	0	0	0	0
13	100	100	95	90	85	80	75	70	65	60	50	30	20	0	0	0
14	100	100	100	95	90	85	80	75	70	65	60	50	30	20	0	0
15	100	100	100	100	95	90	85	80	75	70	65	60	50	30	20	0
16	100	100	100	100	100	95	90	85	80	75	70	65	60	50	30	20
																
그대로남음	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	100	100	73	60	47	33	20	0	0	0	0	0	0	0	0	0
8	100	100	77	66	54	43	31	20	0	0	0	0	0	0	0	0
9	100	100	80	70	60	50	40	30	20	0	0	0	0	0	0	0
10	100	100	82	73	64	56	47	38	29	20	0	0	0	0	0	0
11	100	100	84	76	68	60	52	44	36	28	20	0	0	0	0	0
12	100	100	85	78	71	64	56	49	42	35	27	20	0	0	0	0
13	100	100	87	80	73	67	60	53	47	40	33	27	20	0	0	0
14	100	100	88	82	75	69	63	57	51	45	38	32	26	20	0	0
15	100	100	89	83	77	71	66	60	54	49	43	37	31	26	20	0
16	100	100	89	84	79	73	68	63	57	52	47	41	36	31	25	20
																
기본강화만 초기화	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	27	40	43	47	50	0	0	0	0	0	0	0	0	0
8	0	0	23	34	46	47	49	50	0	0	0	0	0	0	0	0
9	0	0	20	30	40	50	50	50	50	0	0	0	0	0	0	0
10	0	0	18	27	36	44	53	52	51	50	0	0	0	0	0	0
11	0	0	16	24	32	40	48	56	54	52	50	0	0	0	0	0
12	0	0	15	22	29	36	44	51	58	55	53	50	0	0	0	0
13	0	0	13	20	27	33	40	47	53	60	57	53	50	0	0	0
14	0	0	12	18	25	31	37	43	49	55	62	58	54	50	0	0
15	0	0	11	17	23	29	34	40	46	51	57	63	59	54	50	0
16	0	0	11	16	21	27	32	37	43	48	53	59	64	59	55	50
																
파괴	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	10	20	30	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	10	20	30	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	30
																
정령석단계	무기강화수치	무기확률	갑옷강화수치(%)	갑옷확률												
1	3	100	7	100												
2	4	70	9	70												
3	5	40	12	40												
4	6	30	15	30												
5	7	20	17	20												
																
정령석같은속성추가시	무기 보너스	갑옷 보너스(%)														
	1	1														
																
기원석 추가장착 판별	무기 확률	방어구 확률	기타확률													
1	100	100	100													
2	90	90	60													
3	80	80	0													
4	70	60	0													
5	60	40	0													
6	50	30	0													
7	40	0	0													
8	30	0	0													
																
기원석 추가 단계	그대로남음(무기)	소켓 초기화(무기)	초기화(무기)	아이템파괴(무기)	그대로남음(갑옷)	소켓 초기화(갑옷)	초기화(갑옷)	아이템파괴(갑옷)	그대로남음(기타)	고리 초기화(기타)	초기화(기타)	아이템파괴(기타)				
1	100	0	0	0	100	0	0	0	50	45	0	5				
2	95	5	0	0	95	5	0	0	40	50	0	10				
3	90	10	0	0	90	10	0	0	0	0	0	0				
4	80	20	0	0	80	20	0	0	0	0	0	0				
5	70	30	0	0	70	15	0	15	0	0	0	0				
6	60	40	0	0	60	20	0	20	0	0	0	0				
7	20	40	0	40	20	40	0	40	0	0	0	0				
8	10	40	0	50	10	40	0	50	0	0	0	0				
