lottery_box_tid	pot_Item_tid	min_stack	max_stack	percent
3023	5005	1	1	1500
3023	5006	1	1	1800
3023	5007	1	1	1000
3023	5008	1	1	700
3023	5009	1	1	700
3023	5010	1	1	700
3023	5011	1	1	700
3023	5012	1	1	700
3023	5013	1	1	700
3023	5014	1	1	700
3023	20345	1	1	400
3023	20346	1	1	400
3023	nothing	0	0	0
3022	5015	1	1	1000
3022	5016	1	1	1000
3022	5017	1	1	1000
3022	5018	1	1	900
3022	5019	1	1	800
3022	5020	1	1	800
3022	5021	1	1	800
3022	5022	1	1	800
3022	5023	1	1	1000
3022	5024	1	1	900
3022	20350	1	1	500
3022	20351	1	1	500
3021	472	1	10	1500
3021	475	1	10	1000
3021	601	1	10	1000
3021	1867	1	10	900
3021	1872	1	10	800
3021	1877	1	10	800
3021	1882	1	10	800
3021	1887	1	10	800
3021	1170	1	10	800
3021	1173	1	10	700
3021	464	1	10	900
3315	1127	60	99	800
3315	265	1	3	800
3315	3758	1	10	500
3315	3759	1	10	500
3315	3760	1	10	500
3315	3761	1	10	500
3315	4130	1	1	800
3315	4129	1	1	900
3315	4131	1	1	1000
3315	4132	1	1	1100
3315	4133	1	1	1200
3315	4366	1	1	1300
3315	4365	1	1	1400
3315	4367	1	1	1500
3315	4368	1	1	1600
3315	4369	1	1	1700
3315	nothing	0	0	0
3316	1050	60	99	800
3316	4163	1	1	800
3316	4162	1	1	900
3316	4164	1	1	1000
3316	4165	1	1	1100
3316	4166	1	1	1200
3316	4371	1	1	1300
3316	4370	1	1	1400
3316	4372	1	1	1500
3316	4373	1	1	1600
3316	4374	1	1	1700
3316	3758	1	10	500
3316	3759	1	10	500
3316	3760	1	10	500
3316	3761	1	10	500
3316	265	1	3	1000
3316	245	1	3	1000
3316	261	1	3	1000
3316	253	1	3	1000
3316	257	1	3	1000
3316	486	2	3	800
3316	nothing	0	0	0
3317	1050	60	99	800
3317	265	1	3	1000
3317	4196	1	1	800
3317	4195	1	1	900
3317	4197	1	1	1000
3317	4198	1	1	1100
3317	4199	1	1	1200
3317	4376	1	1	1300
3317	4375	1	1	1400
3317	4377	1	1	1500
3317	4378	1	1	1600
3317	4379	1	1	1700
3317	3758	1	10	500
3317	3759	1	10	500
3317	3760	1	10	500
3317	3761	1	10	500
3317	245	1	3	1000
3317	261	1	3	1000
3317	253	1	3	1000
3317	257	1	3	1000
3317	486	2	5	800
3317	472	3	5	800
3317	nothing	0	0	0
3318	265	2	4	800
3318	4229	1	1	800
3318	4228	1	1	900
3318	4230	1	1	1000
3318	4231	1	1	1100
3318	4232	1	1	1200
3318	4381	1	1	1300
3318	4380	1	1	1400
3318	4382	1	1	1500
3318	4383	1	1	1600
3318	4384	1	1	1700
3318	3758	1	10	500
3318	3759	1	10	500
3318	3760	1	10	500
3318	3761	1	10	500
3318	245	2	4	800
3318	261	2	4	800
3318	253	2	4	800
3318	257	2	4	800
3318	486	4	6	800
3318	464	3	5	800
3318	472	3	5	800
3318	nothing	0	0	0
3319	265	3	5	600
3319	4262	1	1	800
3319	4261	1	1	900
3319	4263	1	1	1000
3319	4264	1	1	1100
3319	4265	1	1	1200
3319	4386	1	1	1300
3319	4385	1	1	1400
3319	4387	1	1	1500
3319	4388	1	1	1600
3319	4389	1	1	1700
3319	3758	1	10	500
3319	3759	1	10	500
3319	3760	1	10	500
3319	3761	1	10	500
3319	245	3	5	600
3319	261	3	5	600
3319	253	3	5	600
3319	257	3	5	600
3319	486	5	10	800
3319	464	3	5	800
3319	472	3	5	1000
3319	266	1	2	300
3319	246	1	2	300
3319	262	1	2	300
3319	254	1	2	300
3319	258	1	2	300
3319	nothing	0	0	0
3320	266	2	3	400
3320	4295	1	1	800
3320	4294	1	1	900
3320	4296	1	1	1000
3320	4297	1	1	1100
3320	4298	1	1	1200
3320	4391	1	1	1300
3320	4390	1	1	1400
3320	4392	1	1	1500
3320	4393	1	1	1600
3320	4394	1	1	1700
3320	3758	1	10	500
