level	exp
1	48
2	158
3	372
4	757
5	1420
6	2534
7	4381
8	7438
9	10470
10	14363
11	19478
12	25948
13	33947
14	44041
15	56663
16	65474
17	83296
18	105583
19	132602
20	207249
21	257843
22	317139
23	389231
24	474844
25	577389
26	699393
27	843615
28	1015115
29	1215487
30	1650743
31	1925368
32	2249315
33	2624333
34	3059762
35	3559049
36	4133017
37	4789850
38	5542944
39	6397621
40	7369174
41	12750022
42	14390226
43	16237806
44	18321002
45	20661831
46	23283573
47	26210802
48	29481101
49	33111446
50	37143664
51	41610151
52	46647403
53	52210134
54	58354839
55	65126230
56	72571154
57	80757911
58	89740794
59	99555241
60	128302093
61	140022907
62	153049879
63	167232628
64	182673884
65	199484782
66	217725524
67	237517081
68	258957020
69	282146793
70	307191810
71	334238859
72	364003209
73	396115469
74	430714141
75	467987475
76	562271197
77	787125873
78	853926180
79	925536085
80	1002292680
81	1264472825
82	1354301962
83	1450446448
84	1553335068
85	1663231468
86	1780596489
87	1905918937
88	2039501785
89	2181869126
90	2333459813
91	2594727409
92	2665687106
93	2847339769
94	3040192635
95	3244768995
96	3461608458
97	3691267208
98	3934471280
99	4191826262
100	4363955800
