TID	ItemName	MakeItem TID	MakeItem Name	Option GroupID	Need Option Rate	Socket Inchant ID	Combine Use Price	Resource TotalCount	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count
1966	威力戒指组合说明书	20345	威力戒指	1	1	2	25000	4	5007	力量戒指	1	5008	银锭	1	5009	沙粉	1	5011	大地精灵石	1									
1967	恩宠戒指组合说明书	20346	恩宠戒指	2	1	2	25000	4	5006	知识戒指	1	5012	银锭	1	5013	沙粉	1	5014	呼吸精灵石	1									
1968	魔力戒指组合说明书	20350	魔力戒指	3	1	2	25000	4	5019	智慧戒指	1	5021	银锭	1	5022	沙粉	1	5016	精神精灵石	1									
1969	超越戒指组合说明书	20351	超越戒指	4	1	2	25000	5	5020	敏捷戒指	1	5023	银锭	1	5024	沙粉	1	5015	火焰精灵石	1	5017	破坏石	1						
1970	光荣项链组合说明书	39510	光荣项链	4	3	2	50000000	5	3951	敏捷戒指	1	1175	金锭	25	1177	星沙粉末	40	2119	冥想精灵石	5	1976	破坏石	30	1977	吸收石	30			
1972	权能项链组合说明书	39810	权能项链	7	1	2	50000000	5	3981	火之项链	1	1175	金锭	25	1177	星沙粉末	40	2119	冥想精灵石	5	1976	破坏石	30	1977	吸收石	30			
1973	大陆项链组合说明书	45220	大陆项链	8	1	2	50000000	5	4522	土地项链	1	1175	金锭	25	1177	星沙粉末	40	2119	冥想精灵石	5	1976	破坏石	30	1977	吸收石	30			
2081	特里斯坦剑组合说明书	44620	特里斯坦剑	99999	1	2	50000000	5	4462	曲剑	1	1175	金锭	25	1177	星沙粉末	40	2119	冥想精灵石	5	1976	破坏石	30	1977	吸收石	30			
2082	卡奥斯钺组合说明书	44920	卡奥斯钺	99999	1	2	50000000	5	4492	粉碎者大斧	1	1175	金锭	25	1177	星沙粉末	40	2119	冥想精灵石	5	1976	破坏石	30	1977	吸收石	30			
2083	劲弩组合说明书	40990	枪矛劲弩	99999	1	2	50000000	5	4099	木质十字弓	1	1175	金锭	25	1177	星沙粉末	40	2119	冥想精灵石	5	1976	破坏石	30	1977	吸收石	30			
2084	血之魔杖组合说明书	44330	血之魔杖	99999	1	2	50000000	5	4433	骨杖	1	1175	金锭	25	1177	星沙粉末	40	2119	冥想精灵石	5	1976	破坏石	30	1977	吸收石	30			
2128	莱斯特名望之剑组合说明书	39170	大陆项链	8	1	2	50000000	5	3917	土地项链	1	1175	金锭	25	1177	星沙粉末	40	2119	冥想精灵石	5	1976	破坏石	30	1977	吸收石	30			
2129	魔力剑组合说明书	2121	魔力剑	99999	1	4	90000	5	2	宽刃剑	1	2118	祝福锤	1	2116	乌利哈肯砧台	1	1976	破坏石	10	1977	吸收石	10						
2130	布兰特尼安之弓组合说明书	2122	布兰特尼安之弓	99999	1	4	90000	5	43	丝光长弓	1	2118	祝福锤	1	2116	乌利哈肯砧台	1	1976	破坏石	10	1977	吸收石	10						
2131	索拉杰之棒组合说明书	2123	战神之棒	99999	1	4	90000	5	44	曲棍棒	1	2118	祝福锤	1	2116	乌利哈肯砧台	1	1976	破坏石	10	1977	吸收石	10						
2132	墓穴王之剑组合说明书	2124	尸王之剑	99999	1	4	300000	5	503	铁剑	1	2119	贪欲之锤	1	2117	诅咒砧台	1	1976	破坏石	10	1977	吸收石	10						
2133	乌云镰斧组合说明书	2125	乌云镰斧	99999	1	4	300000	5	526	嗜血镰斧	1	2119	贪欲之锤	1	2117	诅咒砧台	1	1976	破坏石	10	1977	吸收石	10						
2134	莫格勒弓组合说明书	2126	光明之弓	99999	1	4	300000	5	318	花神弓	1	2119	贪欲之锤	1	2117	诅咒砧台	1	1976	破坏石	10	1977	吸收石	10						
6001	单手剑客头盔组合说明书	4130	单手剑客头盔	9			10000	1	4130	单手剑客头盔	1																		
6002	单手剑客胄甲组合说明书	4129	单手剑客胄甲	10			10000	1	4129	单手剑客胄甲	1																		
6003	单手剑客护手组合说明书	4131	单手剑客护手	11			10000	1	4131	单手剑客护手	1																		
6004	单手剑客护胫甲组合说明书	4132	单手剑客护胫甲	12			10000	1	4132	单手剑客护胫甲	1																		
