name	skill_level	skill_type	skill_type2	buff_type	require_class_knight	require_class_archer	require_class_wizard	require_class_berserker	require_class_hunter	require_class_sorcerer	require_class_assassin	require_class_ranger	require_class_elementaler	require_class_slayer	require_class_scouter	require_class_summoner	require_level	require_point	damage_a	damage_magic	damage_water	damage_air	damage_earth	damage_fire	damage_poison	damage_ice	damage_thunder	damage_c	damage_a_PERCENT	damage_magic_PERCENT	damage_water_PERCENT	damage_air_PERCENT	damage_earth_PERCENT	damage_fire_PERCENT	damage_poison_PERCENT	damage_ice_PERCENT	damage_thunder_PERCENT	damage_c_PERCENT	resist_a	cost_hp	cost_mp	cost_sp	cost_arrow	endskill_cost_hp		cast_time	recast_time	semi_recast_time	duration	interval	show damage	range	area_r	area_f1	area_f2	dot_dmg_a	dot_dmg_magic	dot_dmg_water	dot_dmg_air	dot_dmg_earth	dot_dmg_fire	dot_dmg_poison	dot_dmg_ice	dot_dmg_thunder	dot_dmg_a_PERCENT	dot_dmg_magic_PERCENT	dot_dmg_water_PERCENT	dot_dmg_air_PERCENT	dot_dmg_earth_PERCENT	dot_dmg_fire_PERCENT	dot_dmg_poison_PERCENT	dot_dmg_ice_PERCENT	dot_dmg_thunder_PERCENT	move_distance	reflect_max	defense_max	reflect_con	defense_con	damage_shield	counter_up	counter_reduce	hot	dmg_adjust	dmg_show_divide	hp_recovery	mp_recovery	sp_recovery	warrior_lev	change_monster	block_point	stun_time	critical	skill_range	skill_rate	damage_convert_hp	damage_convert_mp	regen_hp	regen_mp	charge_1	charge_2	charge_3	aggrodoll_hp	dot_damage_time	cost_mp_decrease	cast_time_decrease	skill_levelup	mp_convert_hp	death	skill_cost	skill_upgrade_cost	skill_classify_id	skill_classify_level	velocity	summons_tid	creature_tid	additional_skilltid	additional_duration	max_target_num	limit_quantity	bonus_exp	bonus_money	bonus_drop_rate	ea_damage_physical	ea_damage_magic	ea_damage_water	ea_damage_air	ea_damage_earth	ea_damage_fire	ea_damage_poison	ea_damage_ice	ea_damage_thunder	ea_damage_c	ea_damage_physical_PERCENT	ea_damage_magic_PERCENT	ea_damage_water_PERCENT	ea_damage_air_PERCENT	ea_damage_earth_PERCENT	ea_damage_fire_PERCENT	ea_damage_poison_PERCENT	ea_damage_ice_PERCENT	ea_damage_thunder_PERCENT	ea_damage_c_PERCENT	FACTOR_POINT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	FACTOR_PERCENT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	skill_block	FACTOR_MAGNIFY	movement	atk_speed
일반공격	1	0			1	1	1	1	1	1	1	1	1	1	1	1	1	0																																																																																																																																																																																																																																								
듀얼 슬래시	1	0	1		1			1									4	1											100												10				1450	1450	7450	1450			2	2																																																									80																																																																																																																																													
	2	0	1		1			1									7	1											110												15				1450	1450	7450	1450			2	2																																																										480																																																																																																																																												
	3	0	1		1			1									10	1											120												20				1450	1450	7450	1450			2	2																																																										1440																																																																																																																																												
	4	0	1		1			1									13	1											130												25				1450	1450	7450	1450			2	2																																																										2880																																																																																																																																												
	5	0	1		1			1									16	1											140												30				1450	1450	7450	1450			2	2																																																										4800																																																																																																																																												
	6	0	1		1			1									19	1											150												35				1450	1450	7450	1450			2	2																																																																																																																																																																																																						
	7	0	1		1			1									22	1											160												40				1450	1450	7450	1450			2	2																																																																																																																																																																																																						
	8	0	1		1			1									25	1											170												45				1450	1450	7450	1450			2	2																																																																																																																																																																																																						
	9	0	1		1			1									28	1											180												50				1450	1450	7450	1450			2	2																																																																																																																																																																																																						
	10	0	1		1			1									31	1											190												55				1450	1450	7450	1450			2	2																																																																																																																																																																																																						
리니어 블로우	1	0	1		1			1									10	1											90												20				1380	1380	7380	1380				2		5	3																																																						480																																																																																																																																													
	2	0	1		1			1									13	1											100												25				1380	1380	7380	1380				2		5	3																																																							1440																																																																																																																																												
	3	0	1		1			1									16	1											110												30				1380	1380	7380	1380				2		6	4																																																							2880																																																																																																																																												
	4	0	1		1			1									19	1											120												35				1380	1380	7380	1380				2		6	4																																																							6400																																																																																																																																												
	5	0	1		1			1									22	1											130												40				1380	1380	7380	1380				2		7	5																																																							12000																																																																																																																																												
	6	0	1		1			1									25	1											140												45				1380	1380	7380	1380				2		7	5																																																																																																																																																																																																			
	7	0	1		1			1									28	1											150												50				1380	1380	7380	1380				2		8	6																																																																																																																																																																																																			
	8	0	1		1			1									31	1											160												55				1380	1380	7380	1380	`			2		8	6																																																																																																																																																																																																			
	9	0	1		1			1									34	1											170												60				1380	1380	7380	1380				2		9	7																																																																																																																																																																																																			
	10	0	1		1			1									37	1											180												65				1380	1380	7380	1380				2		9	7																																																																																																																																																																																																			
실드 어택	1	0	1		1			1									10	1											105												12				1260	1260	7260	1260				2																																							3000			15															480																																																																																																																																													
	2	0	1		1			1									13	1											115												15				1260	1260	7260	1260				2																																							3000			20																720																																																																																																																																												
	3	0	1		1			1									16	1											125												18				1260	1260	7260	1260				2																																							3000			25																960																																																																																																																																												
	4	0	1		1			1									19	1											135												21				1260	1260	7260	1260				2																																							3000			30																1600																																																																																																																																												
	5	0	1		1			1									22	1											145												24				1260	1260	7260	1260				2																																							3000			35																2400																																																																																																																																												
	6	0	1		1			1									25	1											155												27				1260	1260	7260	1260				2																																							3000			40																																																																																																																																																												
	7	0	1		1			1									28	1											165												30				1260	1260	7260	1260				2																																							3000			45																																																																																																																																																												
	8	0	1		1			1									31	1											175												33				1260	1260	7260	1260				2																																							3000			50																																																																																																																																																												
	9	0	1		1			1									34	1											185												36				1260	1260	7260	1260				2																																							3000			50																																																																																																																																																												
	10	0	1		1			1									37	1											195												39				1260	1260	7260	1260				2																																							3000			75																																																																																																																																																												
트리플 슬래시	1	0	1		1			1									16	1											120												30				1490	1490	7490	1490			3																																																										960																																																																																																																																													
	2	0	1		1			1									19	1											130												35				1490	1490	7490	1490			3																																																											3200																																																																																																																																												
	3	0	1		1			1									22	1											140												40				1490	1490	7490	1490			3																																																											7200																																																																																																																																												
	4	0	1		1			1									25	1											150												45				1490	1490	7490	1490			3																																																											12800																																																																																																																																												
	5	0	1		1			1									28	1											160												50				1490	1490	7490	1490			3																																																											28000																																																																																																																																												
	6	0	1		1			1									31	1											170												55				1490	1490	7490	1490			3																																																																																																																																																																																																							
	7	0	1		1			1									34	1											180												60				1490	1490	7490	1490			3																																																																																																																																																																																																							
	8	0	1		1			1									37	1											190												65				1490	1490	7490	1490			3																																																																																																																																																																																																							
	9	0	1		1			1									40	1											200												70				1490	1490	7490	1490			3																																																																																																																																																																																																							
	10	0	1		1			1									43	1											210												75				1490	1490	7490	1490			3																																																																																																																																																																																																							
블레이드 스팅	1	0	1		1			1									22	1											210	80											40				1320	1320	7320	1320																																																													2400																																																																																																																																													
	2	0	1		1			1									25	1											220	85											45				1320	1320	7320	1320					2																																																									6400																																																																																																																																												
	3	0	1		1			1									28	1											230	90											50				1320	1320	7320	1320				2																																																										16800																																																																																																																																												
	4	0	1		1			1									31	1											240	95											55				1320	1320	7320	1320				2																																																										32000																																																																																																																																												
	5	0	1		1			1									34	1											250	100											60				1320	1320	7320	1320				2																																																										80000																																																																																																																																												
	6	0	1		1			1									37	1											260	105											65				1320	1320	7320	1320				2																																																																																																																																																																																																						
	7	0	1		1			1									40	1											270	110											70				1320	1320	7320	1320				2																																																																																																																																																																																																						
	8	0	1		1			1									43	1											280	115											75				1320	1320	7320	1320				2																																																																																																																																																																																																						
	9	0	1		1			1									46	1											290	120											80				1320	1320	7320	1320				2																																																																																																																																																																																																						
	10	0	1		1			1									49	1											300	125											85				1320	1320	7320	1320				2																																																																																																																																																																																																						
스턴 스매셔	1	0	1		1			1									22	1											140												40				1330	1330	7330	1330				2																																							3000			15															2400																																																																																																																																													
	2	0	1		1			1									25	1											150												45				1330	1330	7330	1330				2																																							3000			20																6400																																																																																																																																												
	3	0	1		1			1									28	1											160												50				1330	1330	7330	1330				2																																							3000			25																16800																																																																																																																																												
	4	0	1		1			1									31	1											170												55				1330	1330	7330	1330				2																																							3000			30																32000																																																																																																																																												
	5	0	1		1			1									34	1											180												60				1330	1330	7330	1330				2																																							3000			35																80000																																																																																																																																												
	6	0	1		1			1									37	1											190												65				1330	1330	7330	1330				2																																							3000			40																																																																																																																																																												
	7	0	1		1			1									40	1											200												70				1330	1330	7330	1330				2																																							3000			45																																																																																																																																																												
	8	0	1		1			1									43	1											210												75				1330	1330	7330	1330				2																																							3000			50																																																																																																																																																												
	9	0	1		1			1									46	1											220												80				1330	1330	7330	1330				2																																							3000			70																																																																																																																																																												
	10	0	1		1			1									49	1											230												85				1330	1330	7330	1330				2																																							3000			75																																																																																																																																																												
스윙 암즈	1	0	1		1			1									22	1											200												40				1260	1260	7260	1260				2		2	4																																																						2400																																																																																																																																													
	2	0	1		1			1									25	1											210												45				1260	1260	7260	1260				2		2	4																																																							6400																																																																																																																																												
	3	0	1		1			1									28	1											220												50				1260	1260	7260	1260				2		2	4																																																							16800																																																																																																																																												
	4	0	1		1			1									31	1											230												55				1260	1260	7260	1260				2		2	4																																																							32000																																																																																																																																												
	5	0	1		1			1									34	1											240												60				1260	1260	7260	1260				2		2	4																																																							80000																																																																																																																																												
	6	0	1		1			1									37	1											250												65				1260	1260	7260	1260				2		2	4																																																																																																																																																																																																			
	7	0	1		1			1									40	1											260												70				1260	1260	7260	1260				2		2	4																																																																																																																																																																																																			
	8	0	1		1			1									43	1											270												75				1260	1260	7260	1260				2		2	4																																																																																																																																																																																																			
	9	0	1		1			1									46	1											280												80				1260	1260	7260	1260				2		2	4																																																																																																																																																																																																			
	10	0	1		1			1									49	1											290												85				1260	1260	7260	1260				2		2	4																																																																																																																																																																																																			
브리드 액스	1	0	1		1			1									22	1											150												40				1330	1330	7330	1330	6000			2				60																																															2000						2400																																																																																																																																													
	2	0	1		1			1									25	1											160												45				1330	1330	7330	1330	9000			2				70																																															2000							6400																																																																																																																																												
	3	0	1		1			1									28	1											170												50				1330	1330	7330	1330	12000			2				80																																															2000							16800																																																																																																																																												
	4	0	1		1			1									31	1											180												55				1330	1330	7330	1330	15000			2				90																																															2000							32000																																																																																																																																												
	5	0	1		1			1									34	1											190												60				1330	1330	7330	1330	18000			2				100																																															2000							80000																																																																																																																																												
	6	0	1		1			1									37	1											200												65				1330	1330	7330	1330	21000			2				110																																															2000																																																																																																																																																			
	7	0	1		1			1									40	1											210												70				1330	1330	7330	1330	24000			2				120																																															2000																																																																																																																																																			
	8	0	1		1			1									43	1											220												75				1330	1330	7330	1330	27000			2				130																																															2000																																																																																																																																																			
	9	0	1		1			1									46	1											230												80				1330	1330	7330	1330	30000			2				140																																															2000																																																																																																																																																			
