tid	ø…º«≥ªøÎ	∞©ø ªÛ√º	∞©ø «œ√º	π´±‚	πÊ∆–	≈ı±∏	π›¡ˆ	∏Ò∞…¿Ã	Ω≈πﬂ	¿Â∞©	Type	PointType	Level_limit	Rank_limit	»Æ∑¸	Skill_level	Skill_id	ATK_Range_bonus	ATK_Speed_bonus	Movement_Run_bonus	PhysicalDamage	PhysicalAttackResist	SkillBlockRate	MagicDamage	WaterDamage	FireDamage	EarthDamage	AirDamage	PoisonDamage	IceDamage	LinghtningDamage	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Hp_Bonus_Point	Mp_Bonus_Point	Hp_Bonus_Percent	Mp_Bonus_Percent	Str_Bonus_Point	Dex_Bonus_Point	Int_Bonus_Point	Con_Bonus_Point	Wis_Bonus_Point	PhysicalRank	visible																			
1	Physical Attack +5			O							1		1	1	450						5																																									°€																			
2	Physical Attack +7			O							1		1	1	400						7																																									°€																			
3	Physical Attack +10			O							1		1	1	100						10																																									°€																			
4	Physical Attack +12			O							1		1	1	40						12																																									°€																			
5	Physical Attack +15			O							1		1	1	10						15																																									°€																			
6	Physical Attack +17			O							1		1	1	5						17																																									°€																			
7	Physical Attack +20			O							1		1	1	4						20																																									°€																			
8	Physical Attack +22			O							1		1	1	3						22																																									°€																			
9	Physical Attack +25			O							1		1	1	2						25																																									°€																			
10	Physical Attack +25			O							1		1	1	1						27																																									°€																			
11	Resistance against Physical Attack +5%		O								2		1	1	500							5																																								°€																			
12	Resistance against Physical Attack +6%		O								2		1	1	400							6																																								°€																			
13	Resistance against Physical Attack +7%		O								2		1	1	100							7																																								°€																			
14	Resistance against Physical Attack +8%		O								2		1	1	50							8																																								°€																			
15	Resistance against Physical Attack +9%		O								2		1	1	5							9																																								°€																			
16	Skill Block +1%	O			O						3		1	1	500								1																																							°€																			
17	Skill Block +2%	O			O						3		1	1	400								2																																							°€																			
18	Skill Block +3%	O			O						3		1	1	100								3																																							°€																			
19	Skill Block +4%	O			O						3		1	1	50								4																																							°€																			
20	Skill Block +5%	O			O						3		1	1	5								5																																							°€																			
21	HP +100		O								4		1	1	500																																					100										°€																			
22	HP +120		O								4		1	1	400																																					120										°€																			
23	HP +150		O								4		1	1	100																																					150										°€																			
24	HP +170		O								4		1	1	50																																					170										°€																			
25	HP +200		O								4		1	1	5																																					200										°€																			
26	MP +100		O								5		1	1	500																																						100									°€																			
27	MP +120		O								5		1	1	400																																						120									°€																			
