ID	tname	npcid list	npc name list	傍烹措荤犬伏	傍烹措荤	Mob 去楞富	犬伏	傍拜	犬伏	PC 鸥南泼	犬伏	Mob die	犬伏	Mob 胶迄	犬伏	Mob 眠利	犬伏	Mob miss	犬伏
1	绊喉赴	68	绊喉赴 沥蔓磊			猎杀鹿，挺好玩的~打野猪也挺有趣！！可是..小鬼…太可怕了~	0.3	 嘿嘿~怎么样！！	0.1	 嘻嘻~那边长得挺逗的那个是谁呀？	0.1	嘎嘎嘎…就死在这儿了？原来是死在这儿了呀！!哈哈哈	0.3	嘎嘎嘎…这里似乎应该有更有趣的~	0.3	胆小鬼！！跑了！！咯咯咯	0.3	咯咯~连这个都猜不着！傻了吧~嘎嘎	0.3
		69	绊喉赴 饭牢历			嘻嘻~这样游山玩水，可比开采宝石有趣多哦~		~嘿~涮人的滋味！！咯咯咯~		噢~好像要发生有趣的事情哦！哥布~		哇~我不想就这么死掉！！		嘎嘎…今天打猎打什么呢~		嘿嘿~开始抓人了！！好，好~我来抓你!!		哇~~没打着！没打着！！呜哈哈	
		640	绊喉赴 龋困捍			我好喜欢这种悠闲的生活哦~哥布哥布		疼吗？嘎嘎~ 疼！当然得疼了！		哇~~那个挺吊胃口的家伙，会是什么呢？嗨!打打看！		哇~这个不好玩！！！		嘎嘎..已经有一个家伙被抓到滚刀哥布林那边去了~笨蛋.咔咔咔 		哇~什么东西跑的那么快呀？以为我抓不到吗？嘻嘻~ 		切~这也太简单了！！再使点劲攻击！！	
						咯咯..有没有新鲜的兔肉啊？我比较喜欢嫩肉~不然，新鲜的鱼也行啊~		哇!!!! 太容易受到攻击了吧~哥布!! 		哇~那家伙长得真逗！！哥布~ 		呜~死没什么意思啊！		~哦耶!这个地方好像要比昨天去的地方好玩哦~		我喜欢这种狙击战~来！！跑吧！我一会儿就能抓住你！！！		嘎嘎!! 你看~别小看哥布林！！	
						真是的..凭什么只有酋长才可以坐那些有趣的东西啊？我也想坐！好想坐哦！		你还想挨打啊？？打中的模样太可笑了！！！		什么家伙在我的园子里呢？									
						哼哼~在如此暖和的天气里~最适合哥布林玩了~！		好香的鲜肉味道~哥布哥布 		我实在是忍受不了那个长的奇奇怪怪的家伙了！！									
						过去，有挺多好玩的东西~可~如今得到处找~哥布													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	绊喉赴 眠厘	275	绊喉赴 眠厘			~耶呼~我好喜欢这些新坐骑~	0.3	嘿嘿...你要是敢小瞧哥布林的话，小心会死在我的手里！！！	0.1	嘎嘎..你这家伙，你知道你现在把脚伸到哪儿吗？	0.1	上了年纪… 嘿嘿	0.3	去看看滚刀哥布林这些家伙是不是又跑到我们领域来了！这帮家伙总不把我们当回事儿！！	0.3	嘎嘎!! 不是欺负我长的小吗？怎么又跑了！！！站住！！	0.3	哼！！我多灵活啊！！哈哈!!	0.3
						再用点劲拉啊！！！太慢了，这种速度一点不刺激！		你看这攻击如何！！！肯定躲不掉~~~嘎嘎				哈哈..死，可不如干活… 		哼~我们才是真正的传统哥布林… 你们这些滚刀哥布林家伙，别自以为长的大，就自以为是！！		嘻嘻~看你还能往哪儿跑！		嘎嘎嘎!! 要是那样攻击的话，能打中谁呀？	
						~咯咯咯…这个地方就应该只有咱们这些哥布林！这世界时属于我们哥布林的！！哥布哥布				嘿嘿…  我得抓住你，让你做我的奴隶！！		这些无聊的家伙…		让你们瞧瞧我们这些哥布林活的有多自在~		嘿嘿嘿~喂!那家伙还真挺快的！！		嘿~这些家伙挺有意思的！！再打一个！！	
						嘿嘿嘿…今天要欺负什么家伙呢？				嘿嘿~ 我得赶在滚刀哥布林前抓住！！									
						啊..还得再找几个拽轮车的！奴隶越多越好啊！哼哼哼~													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3	醛绊喉赴	79	醛绊喉赴			打死那些过路的家伙，然后再抢它们的东西，真刺激啊... 嘻嘻嘻               	0.3	哈哈~打死你！！打死你！！	0.1	嘿嘿..敢到这儿！！胆子也太大了！	0.1	呃… 不能就这么死了！！不行！！不行！！	0.3	哥布林这帮家伙竟敢到滚刀哥布林领域里撒野…切..	0.3	比哥布林的腿长，跑的也就那样！还能跑哪儿去！！ 	0.3	哈哈…看看能不能打我？	0.3
		81	醛绊喉赴 府歹			看到我们就吓得发抖的家伙们…呵呵…真好玩~		嘎嘎~把你的包递给我~ 		嘿嘿…那看起来挺重的包~恩~肯定有许多宝石！！		呃… 我滚刀哥布林，竟然要死在这里！！当初那个家伙逃跑的时候，我应该放过它…呃…      		切…我不喜欢那些小哥布林！它们还算不上哥布林！！		嘿嘿!!那家伙到底要跑到什么地方去！		哎~喝酒了？你打不到我，还不得死在我的手里！！咔咔咔 	
						咯咯…那些胆小鬼，只要我一追上去，它们就跑了…		哼哼…正好我这两天闲着呢！		嘿嘿…只要是让我盯上了，那肯定是跑不掉了！		呃... 啊…太小瞧对手的了…  		嘎嘎…今天还去打猎…幺嗥		哼!! 看你往哪儿跑！		跟我玩？哥布哥布~ 	
						咯咯…凡是进入我视线的，全都是我的…都是我的！		嘎嘎嘎!!比起欺负哥布林，这个更好玩！！		哇!!  今天的猎物！！		呃…啊…这..家..伙..		嘿..那些小哥布林，是我们种族的耻辱！！		哦~  抓那些逃命的家伙，也挺刺激的！！ 		嘿嘿~这个太~弱了！！	
						我决不饶恕把我看成小哥布林的家伙们！！我有那么小吗？一帮蠢货！！    													
						知道哥布林的黄金箱子在哪里吗?? 不知道吧? 不会知道的~你这样的人怎么知道? 告诉你? 我不告诉你!!!													
						谁说要视金如土?? 我喜欢钱!!! 是不是以为哥布林不喜欢钱? 哈哈!! 													
						为什么世上有这么多发亮的东西?? 嗯嗯~ 只要是发亮的的东西我都要抢!! 哇哈哈!! 													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4	醛绊喉赴 眠厘	334	醛 绊喉赴 练厘			嘎嘎…虐待抓来的奴隶真好玩~ 	0.3	来!!投降吧!做我们哥布林的奴隶吧!	0.1	哈哈..那个家伙很适合当奴隶!	0.1	啊…我不能在这死，我还没有参加过酋长竞选呢…	0.3	最近哥布林的行动有些可疑！他们肯定谋划着什么阴谋！	0.3	哈哈哈…如果你肯做我们的奴隶，我们会包你吃住哦！不要妄想逃跑！	0.3	可恶的家伙！我这个酋长可不是白当的！	0.3
						应该不会有比我们更会虐待人的家伙了~嘎嘎嘎		只要踏入滚刀哥布林的领域，就要成为滚刀哥布林的奴隶，这是这里的规矩!!		重新过一把打猎的瘾！！		哎…我要是死了，谁引领滚刀哥布林啊…		哈哈..弱的种族一定要让他们当我们的奴隶!! 嘎嘎..		追逃跑的家伙也挺累!!		既然向我挑衅了你就好好攻击吧!! 嘎嘎嘎~	
						嘎嘎..看到皮包骨的奴隶说什么..好呢..会非常高兴~		哈哈哈!! 在我们哥布林当中也是最强大的!!		抓那样的货色应该是不成问题！		哎..我什么时候变得这么脆弱了…		嘎嘎嘎~谁说我们是丑恶的滚刀哥布林!!		嘎嘎…我骑的轮车会更快哦!		咔咔!我们可不是只爱玩的哥布林!  	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	官捞欺	117	况磐官捞欺			啊~!!..这惊险的感觉!!战斗前的兴奋!!正是这个!!!	0.3	哈哈! 这就是莽撞的代价! 	0.1	嗨~这小子老是晃来晃去.来这儿偷什么东西的!!	0.1	哎…栽在这类家伙手里..真丢人那!	0.3	哈哈~ 以后这里就是我们的狩猎场!!	0.3	让那家伙跑了一定会叫来别的家伙!! 	0.3	呵~你还不知道覆盖我身体的鳞片有多坚固吧!	0.3
		36	官捞欺			不要放过对我们产生威胁的家伙！		啊啊啊~也不知道看上什么了，在这里晃来晃去!		唉…在这里抓祭物那是正确的!路过这里的家伙很多!		哎…竟然输给了这些还未完全进化的家伙!!!		血的圆月升起之时我们蛇族的力量就会增加!		让那长腿的家伙跑了是蛇族的羞耻!!		至今为止，我还是第一次碰到像你这样莫名其妙攻击人的家伙！	
		119	况磐官捞欺 皋捞瘤			我们会歼灭将我们种族推入危险境界的所有种族！		咿呀啊!!! 我要为三个月前被你们种族杀死的同胞报仇!!		啊…这味道!! 便是狩猎!!		嗯…挺强悍的家伙.得想法子向大王禀报..		我们才是真正的战士!		那么来回跑很难追到啊!! 		像你这样的战士对我来说什么都不是!	
		71	官捞欺 傈荤			哦哦哦..这新的狩猎场非常让人满意!		哈哈哈!…这就是战斗!		喂…让你看看我的实力吧!!		哎…低估了…呃		任何猎物我们都不会放弃!		哈..在这里你是跑不掉的!		哈…你这家伙不懂什么叫战斗!	
		118	况磐官捞欺 傈荤			没有尾巴的种族是没有生存价值的!!没主心骨的家伙..													
		72	官捞欺 皋捞瘤			 那些没用的腿~直接退化掉即可!!													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6	官捞欺欧	337	官捞欺欧			呃~~…蛇族和那些要死的家伙都得服从我的命令!	0.3	踏入这个领域，是你这一生最大的失误!!	0.1	哼哼… 在月圆之际，这里就是我们的狩猎场了！	0.1	呃啊…虽说我在这里死掉你也不能活着出..去…	0.3	吭…蛇族的力量正逐渐削弱!	0.3	哎呀! 居然跑掉!! 狡猾的家伙!! 	0.3	哼..就那程度的攻击是穿透不了我这坚硬的鳞片!	0.3
						不能.. 结..束.. 战斗!蛇族的生..存是... 基于..战斗.. 的!		呜呼..抵..挡..不了.这..寒冷..		怒！…还是上次在这里溜达的那个家伙!今天一定要教训他一下!!		呃…别以为我死了，我们种族会在这里灭亡…		大陆我们的领域渐渐的缩小!		哼哼..你能跑就跑吧!你是跑不掉的!		嘿…就算你拼命! 也白扯!	
						抗拒... 我..的... 人..只有…死!		呜呼.. 在这里死掉..就是…你的..命运!		我怒! 你这家伙把这里当成什么地方了!		啊!!…这..是…绝对不会发生..的..事…		吭嗯… 所有的血腥之灾未结束之前，任何人都不能路过这里！		哼…这是给蛇族的土地!!赋予你的只有诅咒!		哈哈! 还没有赢过大王的!!	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	胶奶饭沛	32	胶奶饭沛			嘎嘎嘎~这么光着走,真是舒服!!	0.3	嘎嘎~~尝尝骨头的厉害!!	0.1	嘿嘿~你已经跑不掉了! 	0.1	哼哼哼…你以为杀掉我了吗? 哼…我们后会有期!!	0.3	嘎嘎嘎~死了才几天..又重新活过来了?? 	0.3	嘿嘿..这次还要逃啊! 	0.3	嘎嘎嘎~看看动作!! 慢!真慢!!	0.3
		121	弊饭捞宏 胶奶饭沛			通通杀掉!!在我眼前晃悠的家伙.都要变成我这样! 嘎嘎嘎~		嘿嘿..以为我死了吧..可我还活着…呵呵呵		哎!! 站住~ 和我进行一场决斗如何?别看我这样，我很厉害~~~		嗯…这样死的场面好像在哪里见过…50年前?还是80年前? 啊…记不起来了…		跟我长相一样的真多~嘎嘎嘎		呼呼…真能跑啊!!! 追你追的关节都酸了!!		像那种的攻击是没用的!! 嘎嘎嘎~	
