ProductID	ItemTID	Count	Price	SpecialFlag	Description	BuyMessage
51	1830	10	99		可以传送到比奇的卷首10个)	
52	1832	10	99		可以传送到盟重的卷轴10个)	
53	1834	10	99		可以传送到封魔谷的卷轴10个)	
54	1838	1	99		可以打开金宝物箱的钥匙1个)	
55	1838	5	495		可以打开金宝物箱的钥匙5个)	
56	1840	1	69		可以打开银宝物箱的钥匙1个)	
57	1840	10	690		可以打开银宝物箱的钥匙10个)	
58	1842	10	400	Hot	角色死亡时丆防止物品掉落 10个)	
59	1846	500	50		增加攻击力及技能施展速度 20%丆 减少技能暂停时间 20% 的道具丆所有技能攻击及一般攻击攻击时都会使用宝石透镜500个)	
60	1846	5000	500		增加攻击力及技能施展速度 20%丆 减少技能暂停时间 20% 的道具丆所有技能攻击及一般攻击攻击时都会使用宝石透镜5000个)	
61	615	5	499		30分钟内提升生命值上限 40% 5个)	
62	593	5	249		30分钟内提升攻击速度 20% 5个)	
63	602	5	249		30分钟内提升防御力 10 5个)	
64	596	5	249		30分钟内提升移动速度 25% 5个)	
65	618	5	499		30分钟内提升闪躲率 28%技能格挡 20% 5个)	
70	842	5	200	Hot	可以原地进行复活5个)	
71	842	10	400	Hot	可以原地进行复活的道具10个)	
72	1174	10	400		召唤所有同意传送的组员 10个)	
73	1171	1	199		初始化所选择的技能1个)	
76	3906	1	99		给所有服务器内的玩家发送信息 1个) /scream 	
77	3906	10	995		给所有服务器内的玩家发送信息 10个) /scream 	
78	3911	10	1999		给全服的人发送信息 10个)	
79	4600	1	39		用于合成攻击符石Lv1 1个)	
80	4601	1	59		用于合成攻击符石Lv2 1个)	
81	4602	1	39		用于合成防御符石Lv1 1个)	
82	4603	1	59		用于合成防御符石Lv2 1个)	
84	4606	10	79		使用道具后会有爆竹效果 10个)	
85	4607	1	599		可以镶嵌在项链的符石丆提升移动速度10% 1个)	
86	4571	1	599		可以镶嵌在项链的符石丆提升移动速度10% 1个)	
87	4572	1	49		给予基本道具强化 1个)	
88	4568	10	300		通过命令直接传送到对方角色旁边10个)	
89	4569	10	199		道具组合/精制/强化/改造时的成功率增加 10个)	
122	842	1	180		不会掉落经验并且原地复活 1个)	
123	1174	1	80		将所有队员召唤到使用道具的队员身旁 1个)	
124	6425	1	1999		将所有技能变回初始状态. 1个)	
125	6401	1	29	Hot	可往返最后停留的村庄以及狩猎地 1个)	
126	6401	10	290	Hot	可往返最后停留的村庄以及狩猎地 10个)	
127	6424	1	1999		可以扩张个人仓库的道具服务器内所有角色共用)	
128	1846	50000	5000	Hot	增加20%的攻击力以及技能施展速度与减少技能冷却时间 20% 50000次)	
129	6402	1	180	Hot	1小时内可获得额外的 50%经验. 1个)	
130	6403	1	480		1日内可获得额外的 50%经验. 1个)	
131	6404	1	880		3日内可获得额外的 50%经验. 1个)	
132	6405	1	1380	Hot	14日内可获得额外的 50%经验. 1个)	
136	615	1	89		30分钟内最大生命值上升 40% 1个)	
137	618	1	99		30分钟内 回避率上升 28% 技能格挡率 20%上升 1个)	
138	602	1	39		30分钟内 防御力上升 10 1个)	
139	596	1	39		30分钟内 移动速度上升 25% 1个)	
140	593	1	39		30分钟内 攻击速度上升 20% 1个)	
148	6430	1			骑士用绝对者的甲衣. 可以停止使用. 1个)	
149	6434	1			法师用天使的甲衣. 可以停止使用. 1个)	
150	6415	1	380		新手专用包裹. 复苏魔杖 1个 + 觉醒符咒1小时 + 超大型巨人药水 1个	
151	6416	1	600		成长型包裹. 复苏魔杖 1个 + 觉醒符咒1小时 + 宝石透视镜 200个 + 超大型巨人药水 1个 + 超大型光速药水 1个	
152	6417	1	1380		长时间游戏的包裹. 复苏魔杖 1个 + 真觉醒符咒1日 + 宝石透视镜 200个 + 超大型巨人药水 5个	
153	6418	1	2000		只在周末游戏的包裹. 复苏魔杖 5个 + 真觉醒符咒3日 + 宝石透视镜 500个 + 超大型巨人药水 5个	
154	6419	1	2820		以霸王为目标的包裹. 复苏魔杖 5个 + 真觉醒符咒14日 + 宝石透视镜 1000个 + 超大型巨人药水 5个	
155	6420	1	4000		骑士用绝对者的翅膀 + 绝对者的甲衣	
156	6421	1	4000		法师用天使的翅膀 + 天使的甲衣	
157	6422	1	300		超大型巨人药水 + 超大型光速药水 + 超大型防御药水 + 超大型回避药水 + 超大型攻速药水  各 1个)	
158	6423	1	1400		超大型巨人药水 + 超大型光速药水 + 超大型防御药水 + 超大型回避药水 + 超大型攻速药水  各 5个)	
161	3900	99	14		魔力恢复 450 （99个）每组使用完必须手动替换	
162	6007	5000	800	Hot	可以提高自己能力的强威力魔法石 在攻击和使用技能时消耗。物理攻击力 +20%技能速度 +30% 技能等待时间 30%	
163	6413	1			生命恢复 450 1个)	
164	6413	10			生命恢复 450 10个)	
165	6413	99	9		生命恢复 450 99个)每组使用完必须手动替换	
166	6414	1			生命恢复 50% 1个)	
167	6414	10			生命恢复 50% 10个)	
168	6414	99	100		生命恢复 50% 99个)每组使用完必须手动替换	
169	1840	5	450	Hot	可以打开怪物掉落的银宝物箱的钥匙 5个)	
178	6448	1	49		1小时内打怪经验额外获得 20%. 1个)	
179	6449	1	490		1日内打怪经验额外获得 20%. 1个)	
180	6450	1	580		3日内打怪经验额外获得 20%. 1个)	
181	6451	1	980		14日内打怪经验额外获得 20%. 1个)	
182	6426	1	49		1小时内额外获得 20%的金币掉落量与额外获得 50%的 奖励掉率. 1个)	
183	6427	1	490		1日内额外获得 20%的金币掉落量与额外获得 50%的 奖励掉率. 1个)	
184	6428	1	2970		3日内额外获得 20%的金币掉落量与额外获得 50%的 奖励掉率. 1个)	
185	6429	1	9980	Hot	14日内额外获得 20%的金币掉落量与额外获得 50%的 奖励掉率. 1个)	
186	6452	1	699		使用后 7日内 身上带有翅膀并且移动速度增加 10% . 可停止使用. 1个)	
187	7490	1	200		莽古的召唤书 可以停用 但在停止时间内仍然计算时间 不可喂养	
188	6454	1	699		使用后 7日内 身上带有翅膀并且移动速度增加 10% . 可停止使用. 1个)	
189	7480	1	500		岁罗泽兰Lv4的召唤书  经验值3倍 持续时间1小时 可以停用 但在停止时间内仍然计算时间 不可喂养	
190	6456	1	699		装备披风之后 7日内 火属性攻击力 +5/抵抗力 +8%. 可停止使用. 1个)	
191	6457	1	699		装备披风之后 7日内 水属性攻击力 +5/抵抗力 +8%. 可停止使用. 1个)	
192	6458	1	699		装备披风之后 7日内 空气属性攻击力 +5/抵抗力 +8%. 可停止使用. 1个)	
193	6459	1	699		装备披风之后 7日内 地属性攻击力 +5/抵抗力 +8%. 可停止使用. 1个)	
194	6460	1	699		装备披风之后 7日内 魔法属性攻击力 +5/抵抗力 +8%. 可停止使用. 1个)	
195	6461	1	699		装备披风之后 7日内 冰冻属性攻击力 +5/抵抗力 +8%. 可停止使用. 1个)	
196	6462	1	699		装备披风之后 7日内 闪电属性攻击力 +5/抵抗力 +8%. 可停止使用. 1个)	
197	6463	1	699		装备披风之后 7日内 毒属性攻击力 +5/抵抗力 +8%. 可停止使用. 1个)	
198	6464	1			装备披风之后 30日内 所有属性攻击力 +5以及 所有属性抵抗力 +8%. 可停止使用. 1个)	
199	6420	1	4000		弓箭手用绝对者的翅膀 + 绝对者的甲衣	
200	6420	1	4000		狂战士用绝对者的翅膀 + 绝对者的甲衣	
201	6420	1	4000		术士用绝对者的翅膀 + 绝对者的甲衣	
202	6421	1	4000		猎人用天使的翅膀 + 天使的甲衣	
203	6421	1	4000		召唤使用天使的翅膀 + 天使的甲衣	
204	6421	1	4000		游侠用天使的翅膀 + 天使的甲衣	
205	6431	1			弓箭手用绝对者的甲衣. 可以停止使用. 1个)	
206	6432	1			狂战士用绝对者的甲衣. 可以停止使用. 1个)	
207	6433	1			术士用绝对者的甲衣. 可以停止使用. 1个)	
208	6435	1			猎人用天使的甲衣. 可以停止使用. 1个)	
209	6436	1			召唤使用天使的甲衣. 可以停止使用. 1个)	
210	6437	1			游侠用天使的甲衣. 可以停止使用. 1个)	
211	7000	1	49		在整容师处将脸型与头型改变时所需的使用券 1个)	
214	4875	1	200	New	角色头顶上任意添加8个字节以下的封号/nick	
226	4875	10	2000	New	角色头顶上任意添加8个字节以下的封号/nick	
227	1836	5	49	Hot	大量销毁PK值的物品. 可交易. 5个)	
228	6242	1	1199	New	随机出现任意一款翅膀类道具	
237	6055	10	99	New	可直接移动到遗忘坟墓的卷轴. 10个)	
238	6056	10	99	New	可直接移动到禁止矿山的卷轴. 10个)	
239	6057	10	99	New	可直接移动到炎浪洞穴的卷轴. 10个)	
240	6058	10	99	New	可直接移动到死者坟墓的卷轴. 10个)	
241	6059	10	99	New	可直接移动到封印矿山的卷轴. 10个)	
242	6060	10	99	New	可直接移动到焰火洞穴的卷轴. 10个)	
243	6061	10	99	New	可直接移动到无名者坟墓的卷轴. 10个)	
244	6062	10	99	New	可直接移动到关闭的矿山的卷轴. 10个)	
245	6063	10	99	New	可直接移动到灼热洞穴的卷轴. 10个)	
246	6064	10	99	New	可直接移动到钢铁之屋的卷轴. 10个)	
266	6378	1	1	New	骑士用红色圣诞服装. 散发着圣诞气息! 1个)	
267	6379	1	1	New	弓箭手用红色圣诞服装. 散发着圣诞气息! 1个)	
268	6380	1	1	New	法师用红色圣诞服装. 散发着圣诞气息! 1个)	
269	6381	1	1	New	狂战士用红色圣诞服装. 散发着圣诞气息! 1个)	
270	6382	1	1	New	猎人用红色圣诞服装. 散发着圣诞气息! 1个)	
271	6383	1	1	New	术士用红色圣诞服装. 散发着圣诞气息! 1个)	
273	6385	1	1	New	游侠用红色圣诞服装. 散发着圣诞气息! 1个)	
274	6386	1	1	New	召唤使用红色圣诞服装. 散发着圣诞气息! 1个)	
275	1846	3000	420	New	增加20%的攻击力以及技能施展速度与减少技能冷却时间 20% 3000个)	
278	7085	1	499	New	骑士用绝对者的甲衣. 大幅度强壮角色. 1个)	
279	7086	1	2000	New	骑士用绝对者的甲衣. 增强所有能力. 1个)	
280	7087	1	4000	New	可延长骑士用绝对者的甲衣的穿戴时间! 1个)	
283	7090	1	499	New	弓箭手用绝对者的甲衣. 大幅度强壮角色. 1个)	
284	7091	1	2000	New	弓箭手用绝对者的甲衣. 增强所有能力. 1个)	
285	7092	1	4000	New	可延长弓箭手用绝对者的甲衣的穿戴时间! 1个)	
288	7095	1	499	New	法师用天使的甲衣. 大幅度强壮角色. 1个)	
289	7096	1	2000	New	法师用天使的甲衣. 增强所有能力. 1个)	
290	7097	1	4000	New	可延长法师用天使的甲衣的穿戴时间! 1个)	
293	7100	1	499	New	狂战士用绝对者的甲衣. 大幅度强壮角色. 1个)	
294	7101	1	2000	New	狂战士用绝对者的甲衣. 增强所有能力. 1个)	
295	7102	1	4000	New	可延长狂战士用绝对者的甲衣的穿戴时间! 1个)	
298	7105	1	499	New	猎人用天使的甲衣. 大幅度强壮角色. 1个)	
299	7106	1	2000	New	猎人用天使的甲衣. 增强所有能力. 1个)	
300	7107	1	4000	New	可延长猎人用天使的甲衣的穿戴时间! 1个)	
303	7110	1	499	New	术士用绝对者的甲衣. 大幅度强壮角色. 1个)	
304	7111	1	2000	New	术士用绝对者的甲衣. 增强所有能力. 1个)	
305	7112	1	4000	New	可延长术士用绝对者的甲衣的穿戴时间! 1个)	
308	7120	1	499	New	游侠用天使的甲衣. 大幅度强壮角色. 1个)	
309	7121	1	2000	New	游侠用天使的甲衣. 增强所有能力. 1个)	
310	7122	1	4000	New	可延长游侠用天使的甲衣的穿戴时间! 1个)	
313	7125	1	499	New	召唤使用天使的甲衣. 大幅度强壮角色. 1个)	
314	7126	1	2000	New	召唤使用天使的甲衣. 增强所有能力. 1个)	
315	7127	1	4000	New	可延长召唤使用天使的甲衣的穿戴时间! 1个)	
316	6608	1	388	New	30级以下角色可使用的强化效果类装备	
317	6609	1	388	New	30级以下角色可使用的强化效果类装备	
318	6610	1	388	New	30级以下角色可使用的强化效果类装备	
319	6611	1	388	New	30级以下角色可使用的强化效果类装备	
320	6612	1	388	New	30级以下角色可使用的强化效果类装备	
321	6613	1	388	New	30级以下角色可使用的强化效果类装备	
322	6614	1	388	New	30级以下角色可使用的强化效果类装备	
325	7390	99	39	New	只有在精灵系使用的中型精灵药水. 99个)	
326	7391	99	69	New	只有在精灵系使用的大型精灵药水. 99个)	
327	6615	1	388	New	30级以下角色可使用的强化效果类装备	
328	6616	1	388	New	30级以下角色可使用的强化效果类装备	
