	新品上架	药水道具类	强化道具类	传送便捷类	特殊道具类	个性时装类
ProductID	805	165	701	703	694	724
	806	161	702	704	685	725
	807	168	87	125	686	726
	808	325	79	126	687	727
	809	326	80	51	688	728
	810	136	81	52	71	729
	811	138	82	53	73	730
	812	139		237	76	731
	813	140		238	77	732
	814			239	227	733
	815			240	178	793
	816			241	179	794
	817			242	182	795
	818			243	183	796
	819			244	680	797
	820			245	681	798
	821			246	682	799
	822				683	800
	823				684	801
	824				124	802
	803				228	713
	804				54	316
	695				55	317
	696				56	318
	697				57	319
	698				89	320
	699				466	321
	700				467	322
	711				468	327
	58				211	328
	59					186
	60					188
	162					
	189					
	187					
	72					
	691					
	214					
	226					
