	ID	EID	OFFSET_X	OFFSET_Y	OFFSET_Z	SCALE	NODE_ID	GAP	EFFECT01	EFFECT02	EFFECT03	EFFECT04	EFFECT05
SPAWN	1	3612	0	0	0	1	0	0					
LV_UP	2	3610	0	0	0	1	0	0					
LV_UP	3	3611	0	0	0	1	0	0					
LEARN_SK	4	3614	0	0	0	1	0	0					
TRANSFORM	5	3613	0	0	0	1	0	0					
Q_NEW	6	3619	0	0	0	1	-2	0					
Q_COMPLETE	7	3620	0	0	0	1	-2	0					
Q_INCOMPLETE	8	3632	0	0	0	1	-2	0					
Q_DONE	9	3614	0	0	0	1	0	0					
EVENT	10	3631	0	0	0	1	-2	0					
STUN	11	3451	0	0	0	1	-2	0					
SLOW	12	3468	0	0	0	1	0	0					
POISON	13	3477	0	0	0	1	-2	0					
TIMEATTACK	14	11017	0	150	0	1	0	0					
TELEPORT	15	11021	0	0	0	1	0	0					
FLAMEFORCE	16	11048	0	150	0	1	0	0					
FIRESUMMON	17	3052	0	150	0	1	0	0					
ABSORBMANA	18	11584	0	180	0	0.3	0	0					
ABSORBLIFE	19	11585	0	180	0	0.3	0	0					
FROSTAMOR	20	11546	0	150	0	1	0	0					
EARTHMOB	21	3202	0	150	0	2	0	0					
FIREMOB	22	3053	0	150	0	1	0	0					
WATERMOB	23	3103	0	150	0	1	0	0					
AIRMOB	24	3153	0	150	0	1	0	0					
MAGICMOB	25	3004	0	150	0	1	0	0					
LIGHTENINGMOB	26	3251	0	150	0	1	0	0					
POISONMOB	27	3352	0	150	0	1	0	0					
ICEMOB	28	3302	0	150	0	1	0	0					
MENTALCIRCUIT	29	8532	0	0	0	1	0	0					
VITALCHAGE	30	8044	0	150	0	1	0	0					
PULLINGMANNA	31	4644	0	150	0	1	0	0					
CONSULT	32	3639	0	0	0	0.5	-2	0					
LENS_STONE	33	3559	0	0	0	1	-4	0					
RESURRECTION_ORB	34	3616	0	0	0	1	0	0					
GIFT_BOX	35	3651	0	0	0	1	-2	0					
WINGS_OF_KING	36	3563	10	0	20	0.5	13	0					
WINGS_OF_KING_O_S	37	3563	25	0	30	0.6	13	0					
WINGS_OF_KING_O_W	38	3563	27	0	33	0.65	12	0					
FIRECRACKER	39	3637	0	150	0	1.5	0	0					
WINGS_OF_ANGEL	40	3569	16	0	10	0.34	13	0					
WINGS_OF_ANGEL_O_S	41	3569	32	0	20	0.41	13	0					
WINGS_OF_ANGEL_O_W	42	3569	34	0	18	0.45	12	0					
DETECT_SCROLL	43	3570	0	0	0	1	0	0					
GIFT_FIRE	44	3650	0	0	0	1	-2	0					
WINGS_OF_BAT	45	3577	0	0	-20	0.4	13	0					
WINGS_OF_BAT_O_S	46	3577	10	0	-18	0.46	13	0					
WINGS_OF_BAT_O_W	47	3577	15	0	-22	0.52	12	0					
WINGS_OF_DEVIL	48	3578	16	0	10	0.34	13	0					
WINGS_OF_DEVIL_O_S	49	3578	32	0	20	0.41	13	0					
WINGS_OF_DEVIL_O_W	50	3578	34	0	18	0.45	12	0					
FIRECRACKER_S_L	51	3656	0	0	0	1	0	0	3657				
FIRECRACKER_S_M	52	3656	0	0	0	1	0	0	3657	3658			
FIRECRACKER_S_H	53	3656	0	0	0	1	0	0	3659	3661	3662	3663	3664
HEART_EMOTICON	54	3660	0	0	0	1	0	0					
SHERBET	55	3665	0	0	0	1	-2	0					
VICTIM_IN	56	8024	0	0	0	1	-4	0					
VICTIM_DI	57	5078	0	0	0	1	-4	0					
SONGPYEN	58	3667	0	0	0	1	-2	0					
FIRECRACKER_S_L_01	59	3657	0	0	0	1	0	0					
FIRECRACKER_S_M_01	60	3658	0	0	0	1	0	0					
FIRECRACKER_S_H_01	61	3659	0	0	0	1	0	0					
FIRECRACKER_S_H_02	62	3661	0	0	0	1	0	0					
FIRECRACKER_S_H_03	63	3662	0	0	0	1	0	0					
FIRECRACKER_S_H_04	64	3663	0	0	0	1	0	0					
FIRECRACKER_S_H_05	65	3664	0	0	0	1	0	0					
WINGS_OF_15	66	3586	17	0	7	0.9	13	0					
WINGS_OF_15_O_S	67	3586	30	0	15	1	13	0					
WINGS_OF_15_O_W	68	3586	35	0	15	1.2	12	0					
WINGS_OF_JUDGE	69	3576	4	0	5	0.55	13	0					
WINGS_OF_JUDGE_O_S	70	3576	17	0	10	0.6	13	0					
WINGS_OF_JUDGE_O_W	71	3576	15	0	10	0.68	12	0					
WINGS_OF_MESSIAH	72	3575	16	0	9	0.4	13	0					
WINGS_OF_MESSIAH_O_S	73	3575	32	0	16	0.42	13	0					
WINGS_OF_MESSIAH_O_W	74	3575	34	0	17	0.44	12	0					
BUK_PORKET	75	3668	0	0	0	1	-2	0					
ARCHLORD_3RD	76	3669	0	0	0	1	-2	0					
GOMARK	77	3700	0	0	0	1	-2	0					
CURE	78	2157	0	0	0	1	0	0					
MOON	79	3674	0	0	0	1	-2	0					
AIR_CLOAK_HK	80	3561	22.5	0	10	1.4	13	0					
AIR_CLOAK_HA	81	3561	23	0	8	1.3	13	0					
AIR_CLOAK_HM	82	3561	22	0	10	1.2	13	0					
AIR_CLOAK_OB	83	3561	44.5	0	12	1.6	12	0					
AIR_CLOAK_OH	84	3561	22	0	6	1.2	13	0					
AIR_CLOAK_OS	85	3561	39	0	11	1.5	13	0					
AIR_CLOAK_MS	86	3561	22	0	8	1.1	13	0					
AIR_CLOAK_MR	87	3561	24	0	8	1	13	0					
AIR_CLOAK_ME	88	3561	20	0	8	1	13	0					
FIRE_CLOAK_HK	89	3562	22.5	0	10	1.4	13	0					
FIRE_CLOAK_HA	90	3562	23	0	8	1.3	13	0					
FIRE_CLOAK_HM	91	3562	22	0	10	1.2	13	0					
FIRE_CLOAK_OB	92	3562	44.5	0	12	1.6	12	0					
FIRE_CLOAK_OH	93	3562	22	0	6	1.2	13	0					
FIRE_CLOAK_OS	94	3562	39	0	11	1.5	13	0					
FIRE_CLOAK_MS	95	3562	22	0	8	1.1	13	0					
FIRE_CLOAK_MR	96	3562	24	0	8	1	13	0					
FIRE_CLOAK_ME	97	3562	20	0	8	1	13	0					
MAGIC_CLOAK_HK	98	3566	22.5	0	10	1.4	13	0					
MAGIC_CLOAK_HA	99	3566	23	0	8	1.3	13	0					
MAGIC_CLOAK_HM	100	3566	22	0	10	1.2	13	0					
MAGIC_CLOAK_OB	101	3566	44.5	0	12	1.6	12	0					
MAGIC_CLOAK_OH	102	3566	22	0	6	1.2	13	0					
MAGIC_CLOAK_OS	103	3566	39	0	11	1.5	13	0					
MAGIC_CLOAK_MS	104	3566	22	0	8	1.1	13	0					
MAGIC_CLOAK_MR	105	3566	24	0	8	1	13	0					
MAGIC_CLOAK_ME	106	3566	20	0	8	1	13	0					
GROUND_CLOAK_HK	107	3567	22.5	0	10	1.4	13	0					
GROUND_CLOAK_HA	108	3567	23	0	8	1.3	13	0					
GROUND_CLOAK_HM	109	3567	22	0	10	1.2	13	0					
GROUND_CLOAK_OB	110	3567	44.5	0	12	1.6	12	0					
GROUND_CLOAK_OH	111	3567	22	0	6	1.2	13	0					
GROUND_CLOAK_OS	112	3567	39	0	11	1.5	13	0					
GROUND_CLOAK_MS	113	3567	22	0	8	1.1	13	0					
GROUND_CLOAK_MR	114	3567	24	0	8	1	13	0					
GROUND_CLOAK_ME	115	3567	20	0	8	1	13	0					
WATER_CLOAK_HK	116	3568	22.5	0	10	1.4	13	0					
WATER_CLOAK_HA	117	3568	23	0	8	1.3	13	0					
WATER_CLOAK_HM	118	3568	22	0	10	1.2	13	0					
WATER_CLOAK_OB	119	3568	44.5	0	12	1.6	12	0					
WATER_CLOAK_OH	120	3568	22	0	6	1.2	13	0					
WATER_CLOAK_OS	121	3568	39	0	11	1.5	13	0					
WATER_CLOAK_MS	122	3568	22	0	8	1.1	13	0					
WATER_CLOAK_MR	123	3568	24	0	8	1	13	0					
WATER_CLOAK_ME	124	3568	20	0	8	1	13	0					
SOUL_CLOAK_HK	125	3571	22.5	0	10	1	13	0					
SOUL_CLOAK_HA	126	3571	23	0	8	1	13	0					
SOUL_CLOAK_HM	127	3571	22	0	10	0.9	13	0					
SOUL_CLOAK_OB	128	3571	44.5	0	15	1.15	12	0					
SOUL_CLOAK_OH	129	3571	22	0	6	1	13	0					
SOUL_CLOAK_OS	130	3571	33	0	16.5	1.08	13	0					
SOUL_CLOAK_MS	131	3571	18	0	8	0.95	13	0					
SOUL_CLOAK_MR	132	3571	24	0	8	0.86	13	0					
SOUL_CLOAK_ME	133	3580	20	0	8	0.8	13	0					
POISON_CLOAK_HK	134	3574	22.5	0	10	1.4	13	0					
POISON_CLOAK_HA	135	3574	23	0	8	1.3	13	0					
POISON_CLOAK_HM	136	3574	22	0	10	1.2	13	0					
POISON_CLOAK_OB	137	3574	44.5	0	12	1.6	12	0					
POISON_CLOAK_OH	138	3574	22	0	6	1.2	13	0					
POISON_CLOAK_OS	139	3574	39	0	11	1.5	13	0					
POISON_CLOAK_MS	140	3574	22	0	8	1.1	13	0					
POISON_CLOAK_MR	141	3574	24	0	8	1	13	0					
POISON_CLOAK_ME	142	3574	20	0	8	1	13	0					
SOUL2_CLOAK_HK	143	3579	22.5	0	10	1	13	0					
SOUL2_CLOAK_HA	144	3579	23	0	8	1	13	0					
SOUL2_CLOAK_HM	145	3579	22	0	10	0.9	13	0					
SOUL2_CLOAK_OB	146	3579	44.5	0	15	1.15	12	0					
SOUL2_CLOAK_OH	147	3579	22	0	6	1	13	0					
SOUL2_CLOAK_OS	148	3579	33	0	16.5	1.08	13	0					
