SPIRIT_STONE	POINT	EID	OFFSET_X	OFFSET_Y	OFFSET_Z	SCALE	NODE_ID	GAP	RGBA	PARTICLE	ATOMIC_EMITTER
EARTH	2	3201	0	0	0	1	0	0	"255,255,255,255"	1	1
FIRE	2	3051	0	0	0	1	0	0	"255,255,255,255"	1	1
WATER	2	3101	0	0	0	1	0	0	"255,255,255,255"	1	1
AIR	2	3151	0	0	0	1	0	0	"255,255,255,255"	1	1
MAGIC	2	3001	0	0	0	1	0	0	"255,255,255,255"	1	1
PHYSICAL	2	3381	0	0	0	1	0	0	"255,255,255,255"	1	1
RUNE	2	3371	0	0	0	1	0	0	"255,255,255,255"	1	1
EARTH	20	3208	0	0	0	1	0	0	"255,255,255,255"	1	1
FIRE	20	3056	0	0	0	1	0	0	"255,255,255,255"	1	1
WATER	20	3105	0	0	0	1	0	0	"255,255,255,255"	1	1
AIR	20	3155	0	0	0	1	0	0	"255,255,255,255"	1	1
MAGIC	20	3006	0	0	0	1	0	0	"255,255,255,255"	1	1
PHYSICAL	20	3382	0	0	0	1	0	0	"255,255,255,255"	1	1
RUNE	20	3372	0	0	0	1	0	0	"255,255,255,255"	1	1
EARTH	30	3208	0	0	0	1	0	0	"255,255,255,255"	1	1
FIRE	30	3056	0	0	0	1	0	0	"255,255,255,255"	1	1
WATER	30	3105	0	0	0	1	0	0	"255,255,255,255"	1	1
AIR	30	3155	0	0	0	1	0	0	"255,255,255,255"	1	1
MAGIC	30	3006	0	0	0	1	0	0	"255,255,255,255"	1	1
PHYSICAL	30	3382	0	0	0	1	0	0	"255,255,255,255"	1	1
RUNE	30	3372	0	0	0	1	0	0	"255,255,255,255"	1	1
EARTH	45	3209	0	0	0	1	0	0	"255,255,255,255"	1	1
FIRE	45	3057	0	0	0	1	0	0	"255,255,255,255"	1	1
WATER	45	3106	0	0	0	1	0	0	"255,255,255,255"	1	1
AIR	45	3156	0	0	0	1	0	0	"255,255,255,255"	1	1
MAGIC	45	3007	0	0	0	1	0	0	"255,255,255,255"	1	1
PHYSICAL	45	3383	0	0	0	1	0	0	"255,255,255,255"	1	1
RUNE	45	3373	0	0	0	1	0	0	"255,255,255,255"	1	1
EARTH	60	3209	0	0	0	1	0	0	"255,255,255,255"	1	1
FIRE	60	3057	0	0	0	1	0	0	"255,255,255,255"	1	1
WATER	60	3106	0	0	0	1	0	0	"255,255,255,255"	1	1
AIR	60	3156	0	0	0	1	0	0	"255,255,255,255"	1	1
MAGIC	60	3007	0	0	0	1	0	0	"255,255,255,255"	1	1
PHYSICAL	60	3383	0	0	0	1	0	0	"255,255,255,255"	1	1
RUNE	60	3373	0	0	0	1	0	0	"255,255,255,255"	1	1
