Character_Lv	Gacha_ItemTID	Gacha_Item_Number	Gacha_Cost	Rank1	Rank2	Rank3	Rank4
1	7433	1		9000	970	30	0
2	7433	1		9000	970	30	0
3	7433	1		9000	970	30	0
4	7433	1		9000	970	30	0
5	7433	1		9000	970	30	0
6	7433	1		9000	970	30	0
7	7433	1		9000	970	30	0
8	7433	1		9000	970	30	0
9	7433	1		9000	970	30	0
10	7433	1		9000	970	30	0
11	7433	1		9000	970	30	0
12	7433	1		9000	970	30	0
13	7433	1		9000	970	30	0
14	7433	1		9000	970	30	0
15	7433	1		9000	970	30	0
16	7433	1		9000	970	30	0
17	7433	1		9000	970	30	0
18	7433	1		9000	970	30	0
19	7433	1		9000	970	30	0
20	7433	1		9000	970	30	0
21	7433	1		9000	970	30	0
22	7433	1		9000	970	30	0
23	7433	1		9000	970	30	0
24	7433	1		9000	970	30	0
25	7433	1		9000	970	30	0
26	7433	1		9000	970	30	0
27	7433	1		9000	970	30	0
28	7433	1		9000	970	30	0
29	7433	1		9000	970	30	0
30	7433	1		9000	970	30	0
31	7433	1		9000	970	30	0
32	7433	1		9000	970	30	0
33	7433	1		9000	970	30	0
34	7433	1		9000	970	30	0
35	7433	1		9000	970	30	0
36	7433	1		9000	970	30	0
37	7433	1		9000	970	30	0
38	7433	1		9000	970	30	0
39	7433	1		9000	970	30	0
40	7433	1		9000	970	30	0
41	7433	1		9000	970	30	0
42	7433	1		9000	970	30	0
43	7433	1		9000	970	30	0
44	7433	1		9000	970	30	0
45	7433	1		9000	970	30	0
46	7433	1		9000	970	30	0
47	7433	1		9000	970	30	0
48	7433	1		9000	970	30	0
49	7433	1		9000	970	30	0
50	7433	1		9000	970	30	0
51	7433	1		9000	970	30	0
52	7433	1		9000	970	30	0
53	7433	1		9000	970	30	0
54	7433	1		9000	970	30	0
55	7433	1		9000	970	30	0
56	7433	1		9000	970	30	0
57	7433	1		9000	970	30	0
58	7433	1		9000	970	30	0
59	7433	1		9000	970	30	0
60	7433	1		9000	970	30	0
61	7433	1		9000	970	30	0
62	7433	1		9000	970	30	0
63	7433	1		9000	970	30	0
64	7433	1		9000	970	30	0
65	7433	1		9000	970	30	0
66	7433	1		9000	970	30	0
67	7433	1		9000	970	30	0
68	7433	1		9000	970	30	0
69	7433	1		9000	970	30	0
70	7433	1		9000	970	30	0
71	7433	1		9000	970	30	0
72	7433	1		9000	970	30	0
73	7433	1		9000	970	30	0
74	7433	1		9000	970	30	0
75	7433	1		9000	970	30	0
76	7433	1		9000	970	30	0
77	7433	1		9000	970	30	0
78	7433	1		9000	970	30	0
79	7433	1		9000	970	30	0
80	7433	1		9000	970	30	0
81	7433	1		9000	970	30	0
82	7433	1		9000	970	30	0
83	7433	1		9000	970	30	0
84	7433	1		9000	970	30	0
85	7433	1		9000	970	30	0
86	7433	1		9000	970	30	0
87	7433	1		9000	970	30	0
88	7433	1		9000	970	30	0
89	7433	1		9000	970	30	0
90	7433	1		9000	970	30	0
91	7433	1		9000	970	30	0
92	7433	1		9000	970	30	0
93	7433	1		9000	970	30	0
94	7433	1		9000	970	30	0
95	7433	1		9000	970	30	0
96	7433	1		9000	970	30	0
97	7433	1		9000	970	30	0
98	7433	1		9000	970	30	0
99	7433	1		9000	970	30	0
