Character_Lv	Gacha_ItemTID	Gacha_Item_Number	Gacha_Cost	Rank1	Rank2	Rank3	Rank4
1	7433	1		7000	3000	0	0
2	7433	1		7000	3000	0	0
3	7433	1		7000	3000	0	0
4	7433	1		7000	2200	500	300
5	7433	1		7000	2200	500	300
6	7433	1		7000	2200	500	300
7	7433	1		7000	2200	500	300
8	7433	1		7000	2200	500	300
9	7433	1		7000	2200	500	300
10	7433	1		7000	2200	500	300
11	7433	1		7000	2200	500	300
12	7433	1		7000	2200	500	300
13	7433	1		7000	2200	500	300
14	7433	1		7000	2200	500	300
15	7433	1		7000	2200	500	300
16	7433	1		7000	2200	500	300
17	7433	1		7000	2200	500	300
18	7433	1		7000	2200	500	300
19	7433	1		7000	2200	500	300
20	7433	1		7000	2200	500	300
21	7433	1		7000	2200	500	300
22	7433	1		7000	2200	500	300
23	7433	1		7000	2200	500	300
24	7433	1		7000	2200	500	300
25	7433	1		7000	2200	500	300
26	7433	1		7000	2200	500	300
27	7433	1		7000	2200	500	300
28	7433	1		7000	2200	500	300
29	7433	1		7000	2200	500	300
30	7433	1		7000	2200	500	300
31	7433	1		7000	2200	500	300
32	7433	1		7000	2200	500	300
33	7433	1		7000	2200	500	300
34	7433	1		7000	2200	500	300
35	7433	1		7000	2200	500	300
36	7433	1		7000	2200	500	300
37	7433	1		7000	2200	500	300
38	7433	1		7000	2200	500	300
39	7433	1		7000	2200	500	300
40	7433	1		7000	2200	500	300
41	7433	1		7000	2200	500	300
42	7433	1		7000	2200	500	300
43	7433	1		7000	2200	500	300
44	7433	1		7000	2200	500	300
45	7433	1		7000	2200	500	300
46	7433	1		7000	2200	500	300
47	7433	1		7000	2200	500	300
48	7433	1		7000	2200	500	300
49	7433	1		7000	2200	500	300
50	7433	1		7000	2200	500	300
51	7433	1		7000	2200	500	300
52	7433	1		7000	2200	500	300
53	7433	1		7000	2200	500	300
54	7433	1		7000	2200	500	300
55	7433	1		7000	2200	500	300
56	7433	1		7000	2200	500	300
57	7433	1		7000	2200	500	300
58	7433	1		7000	2200	500	300
59	7433	1		7000	2200	500	300
60	7433	1		7000	2200	500	300
61	7433	1		7000	2200	500	300
62	7433	1		7000	2200	500	300
63	7433	1		7000	2200	500	300
64	7433	1		7000	2200	500	300
65	7433	1		7000	2200	500	300
66	7433	1		7000	2200	500	300
67	7433	1		7000	2200	500	300
68	7433	1		7000	2200	500	300
69	7433	1		7000	2200	500	300
70	7433	1		7000	2200	500	300
71	7433	1		7000	2200	500	300
72	7433	1		7000	2200	500	300
73	7433	1		7000	2200	500	300
74	7433	1		7000	2200	500	300
75	7433	1		7000	2200	500	300
76	7433	1		7000	2200	500	300
77	7433	1		7000	2200	500	300
78	7433	1		7000	2200	500	300
79	7433	1		7000	2200	500	300
80	7433	1		7000	2200	500	300
81	7433	1		7000	2200	500	300
82	7433	1		7000	2200	500	300
83	7433	1		7000	2200	500	300
84	7433	1		7000	2200	500	300
85	7433	1		7000	2200	500	300
86	7433	1		7000	2200	500	300
87	7433	1		7000	2200	500	300
88	7433	1		7000	2200	500	300
89	7433	1		7000	2200	500	300
90	7433	1		7000	2200	500	300
91	7433	1		7000	2200	500	300
92	7433	1		7000	2200	500	300
93	7433	1		7000	2200	500	300
94	7433	1		0	7000	2000	1000
95	7433	1		0	7000	2000	1000
96	7433	1		0	0	7000	3000
97	7433	1		0	0	7000	3000
98	7433	1		0	0	7000	3000
99	7433	1		0	0	7000	3000
