Character_Lv	Gacha_ItemTID	Gacha_Item_Number	Gacha_Cost	Rank1	Rank2	Rank3	Rank4
1	7433	1		9980	0	0	20
2	7433	1		9980	0	0	20
3	7433	1		9980	0	0	20
4	7433	1		9980	0	0	20
5	7433	1		9980	0	0	20
6	7433	1		9980	0	0	20
7	7433	1		9980	0	0	20
8	7433	1		9980	0	0	20
9	7433	1		9980	0	0	20
10	7433	1		9980	0	0	20
11	7433	1		9980	0	0	20
12	7433	1		9980	0	0	20
13	7433	1		9980	0	0	20
14	7433	1		9980	0	0	20
15	7433	1		9980	0	0	20
16	7433	1		9980	0	0	20
17	7433	1		9980	0	0	20
18	7433	1		9980	0	0	20
19	7433	1		9980	0	0	20
20	7433	1		9980	0	0	20
21	7433	1		9980	0	0	20
22	7433	1		9980	0	0	20
23	7433	1		9980	0	0	20
24	7433	1		9980	0	0	20
25	7433	1		9980	0	0	20
26	7433	1		9980	0	0	20
27	7433	1		9980	0	0	20
28	7433	1		9980	0	0	20
29	7433	1		9980	0	0	20
30	7433	1		9980	0	0	20
31	7433	1		9980	0	0	20
32	7433	1		9980	0	0	20
33	7433	1		9980	0	0	20
34	7433	1		9980	0	0	20
35	7433	1		9980	0	0	20
36	7433	1		9980	0	0	20
37	7433	1		9980	0	0	20
38	7433	1		9980	0	0	20
39	7433	1		9980	0	0	20
40	7433	1		9980	0	0	20
41	7433	1		9980	0	0	20
42	7433	1		9980	0	0	20
43	7433	1		9980	0	0	20
44	7433	1		9980	0	0	20
45	7433	1		9980	0	0	20
46	7433	1		9980	0	0	20
47	7433	1		9980	0	0	20
48	7433	1		9980	0	0	20
49	7433	1		9980	0	0	20
50	7433	1		9980	0	0	20
51	7433	1		9980	0	0	20
52	7433	1		9980	0	0	20
53	7433	1		9980	0	0	20
54	7433	1		9980	0	0	20
55	7433	1		9980	0	0	20
56	7433	1		9980	0	0	20
57	7433	1		9980	0	0	20
58	7433	1		9980	0	0	20
59	7433	1		9980	0	0	20
60	7433	1		9980	0	0	20
61	7433	1		9980	0	0	20
62	7433	1		9980	0	0	20
63	7433	1		9980	0	0	20
64	7433	1		9980	0	0	20
65	7433	1		9980	0	0	20
66	7433	1		9980	0	0	20
67	7433	1		9980	0	0	20
68	7433	1		9980	0	0	20
69	7433	1		9980	0	0	20
70	7433	1		9980	0	0	20
71	7433	1		9980	0	0	20
72	7433	1		9980	0	0	20
73	7433	1		9980	0	0	20
74	7433	1		9980	0	0	20
75	7433	1		9980	0	0	20
76	7433	1		9980	0	0	20
77	7433	1		9980	0	0	20
78	7433	1		9980	0	0	20
79	7433	1		9980	0	0	20
80	7433	1		9980	0	0	20
81	7433	1		9980	0	0	20
82	7433	1		9980	0	0	20
83	7433	1		9980	0	0	20
84	7433	1		9980	0	0	20
85	7433	1		9980	0	0	20
86	7433	1		9980	0	0	20
87	7433	1		9980	0	0	20
88	7433	1		9980	0	0	20
89	7433	1		9980	0	0	20
90	7433	1		9980	0	0	20
91	7433	1		9980	0	0	20
92	7433	1		9980	0	0	20
93	7433	1		9980	0	0	20
94	7433	1		9980	0	0	20
95	7433	1		9980	0	0	20
96	7433	1		9980	0	0	20
97	7433	1		9980	0	0	20
98	7433	1		9980	0	0	20
99	7433	1		9980	0	0	20
