GroupID	DropRate	LevelBonus10	LevelBonus20	LevelBonus30	LevelBonus40	LevelBonus50	LevelBonus60	LevelBonus70	LevelBonus80	LevelBonus90	LevelBonus100
1	61000	61000	0	0	0	0	0	0	0	0	0
2	11000	1100	0	0	0	0	0	0	0	0	0
3	12000	1200	0	0	0	0	0	0	0	0	0
4	10000	1000	0	0	0	0	0	0	0	0	0
5	3000	300	0	0	0	0	0	0	0	0	0
6	70000	70000	0	0	0	0	0	0	0	0	0
7	15000	1500	0	0	0	0	0	0	0	0	0
8	40000	4000	0	0	0	0	0	0	0	0	0
9	2000	200	0	0	0	0	0	0	0	0	0
10	9100	310	0	0	0	0	0	0	0	0	0
11	6000	600	0	0	0	0	0	0	0	0	0
12	4000	400	0	0	0	0	0	0	0	0	0
13	14000	500	0	0	0	0	0	0	0	0	0
15	60000	60000	0	0	0	0	0	0	0	0	0
16	2000	2000	0	0	0	0	0	0	0	0	0
20	7000	6000	0	0	0	0	0	0	0	0	0
21	7500	5000	0	0	0	0	0	0	0	0	0
22	3000	3000	0	0	0	0	0	0	0	0	0
