Item	Depth	Content
단축키 세트	0	
ESC키	1	게임 종료 메뉴를 호출하며 "<HFF7272FA>게임으로 돌아가기<HFFFFFFFF>", "<HFF7272FA>캐릭터 선택하기<HFFFFFFFF>", "<HFF7272FA>옵션<HFFFFFFFF>", "<HFF7272FA>Archlord 종료<HFFFFFFFF>" 메뉴로 구성되어 있습니다.
1키	1	<HFF7272FA>'생명물약'<HFFFFFFFF> 전용으로 숫자 1번키가 설정되어 있습니다. <HFF7272FA>소형 생명물약<HFFFFFFFF>, <HFF7272FA>중형 생명물약<HFFFFFFFF>, <HFF7272FA>대형 생명물약<HFFFFFFFF>을 사용할 수 있습니다. 물약의 종류를 변경하기 위해서는 인벤토리에서 아이콘을 끌어 화면 좌측 하단의 1번 칸에 놓아야 합니다.
2키	1	<HFF7272FA>'마나물약'<HFFFFFFFF> 전용으로 숫자 2번키가 설정되어 있습니다. <HFF7272FA>소형 마나물약<HFFFFFFFF>, <HFF7272FA>중형 마나물약<HFFFFFFFF>, <HFF7272FA>대형 마나물약<HFFFFFFFF>을 사용할 수 있습니다. 물약의 종류를 변경하기 위해서는 인벤토리에서 아이콘을 끌어 화면 좌측 하단의 2번 칸에 놓아야 합니다.
~키	1	단축 창 세트를 <HFF7272FA>순차적으로 변경<HFFFFFFFF>할 수 있습니다. ~키를 누를 때마다 화면 가운데 아래의 단축 창 세트가 1에서 4번 세트로 변경하는 걸 볼 수 있습니다. 단축 창 좌측의 아래 방향 화살표와 기능이 같습니다.
Shift+~키	1	단축 창 세트를 <HFF7272FA>역순으로 변경<HFFFFFFFF>할 수 있습니다. Shift와 ~키를 누를 때마다  화면 가운데 아래의 단축 창 세트가 4에서 1번 세트로 변경하는 걸 볼 수 있습니다. 단축 창 좌측의 위 방향 화살표와 기능이 같습니다.
C키	1	<HFF7272FA>캐릭터 정보 창<HFFFFFFFF>을 불러낼 수 있습니다. 캐릭터 정보 창에서는 캐릭터의 상태와 장비, 경험치와 레벨 등을 확인 가능합니다. C키를 다시 누르면 창을 닫을 수 있습니다. 화면 오른쪽 아래의 캐릭터 버튼을 누르면 나타나는 메뉴에서도 캐릭터 정보 창은 열 수 있습니다.
K키	1	<HFF7272FA>전투 스킬 창<HFFFFFFFF>을 불러낼 수 있습니다. 전투 스킬 창에서는 자신의 캐릭터가 지금까지 배운 스킬과, 잔여 스킬 포인트가 확인 가능합니다. K키를 다시 누르면 창을 닫을 수 있습니다. 화면 오른쪽 아래의 캐릭터 버튼을 누르면 나타나는 메뉴에서도 전투 스킬 창은 열 수 있습니다.
J키	1	<HFF7272FA>생산 스킬 창<HFFFFFFFF>을 불러낼 수 있습니다. 생산 스킬 창에서는 자신의 캐릭터가 지금까지 배운 채집, 요리, 연금술 등의 생산 스킬을 확인할 수 있습니다. J키를 다시 누르면 창을 닫을 수 있습니다. 화면 오른쪽 아래의 캐릭터 버튼을 누르면 나타나는 메뉴에서도 생산 스킬 창은 열 수 있습니다. 
I키	1	<HFF7272FA>인벤토리 창<HFFFFFFFF>을 불러낼 수 있습니다. 인벤토리 창에서는 자신의 캐릭터가 현재 지니고 있는 아이템과 겔드를 모두 확인할 수 있습니다. 네 개의 가방으로 나뉘어 있으며, 가방의 이름을 눌러서 각 내용물의 확인이 가능합니다. I키를 다시 누르면 창을 닫을 수 있습니다. 화면 오른쪽 아래의 캐릭터 버튼을 누르면 나타나는 메뉴에서도 인벤토리 창은 열 수 있습니다.
