TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Type	SubType	ExtraType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide	Buyer_Type	Using_Type	OptionTID	PotionType2	Link_id	Skill_plus	Gambling	QuestItem	Gacha_Type_Numer	GachaRank	StaminaCure	RemainPetStamina	GachaMinLv	GachaMaxLv	Item_section_num	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
20003	Administrator's Prayer Stone	1						9	0									11968874						1																																																																																			3253															
11	Short Sword	1	1	6	1	1;2;3		0							1	400	1			100	5		1	1	88	1	4	1	3	180	71	11	13																																																						1	Normal Weapon	11	One-Handed Sword	8																				1		1	1			1	6				
1965	Assassin Short Sword	1	1	6	1	1;2;3		0							2	400	1	16777040		800	20		1	2	88	2	6	2	4	180	71	15	17																																																						3	Rare Weapon	31	One-Handed Sword	9																				1		1	2			1	6				
18	Kris	5	1	10	1	1;2;3		0							1	400	1			2000	50		1	1	88	1	4	1	3	180	71	17	19																																																						1	Normal Weapon	11	One-Handed Sword	8																				1		1	1			1	10				
488	Wave Kris	8	2	13	1	1;2;3		0							2	400	1	16777040		2400	60		1	2	88	2	6	2	4	180	71	21	23																																																						3	Rare Weapon	31	One-Handed Sword	9																				1		1	2			2	13				
1895	Cruel Kris	11	5	16	1	1;2;3		0							3	100	3	11968874		2800	70		1	3	123	4	8	3	5	180	71	25	27																																																						5	Unique Weapon	51	One-Handed Sword	10																			1;57;7	1		1	3			5	16				
4001	Cruel Kris	11	5	16	1	1;2;3		0							4	100	4	11427313		2800	70		1	4	158	4	8	3	5	180	71	35	37																																																						7	Elite Weapon	71	One-Handed Sword	11																			1;57;7	1		1	4			5	16				
31	Scimitar	14	8	19	1	1;2;3		0							1	400	1			6000	150		1	1	88	1	4	1	3	180	71	26	28																																																						1	Normal Weapon	11	One-Handed Sword	9																				1		1	1			8	19				
1045	Empire Scimitar	17	11	22	1	1;2;3		0							2	300	2	16777040		7200	180		1	2	106	2	6	2	4	180	71	30	32																																																						3	Rare Weapon	31	One-Handed Sword	10																				1		1	2			11	22				
2221	Burning Butcher Scimitar	20	14	25	1	1;2;3		0							3	100	3	11968874		8400	210		1	3	123	4	8	3	5	180	71	34	36																																																						5	Unique Weapon	51	One-Handed Sword	11																			57;7;49;223;224;225;226	1		1	3			14	25				
4002	Burning Butcher Scimitar	20	14	25	1	1;2;3		0							4	100	4	11427313		8400	210		1	4	158	4	8	3	5	180	71	44	46																																																						7	Elite Weapon	71	One-Handed Sword	12																			57;7;49;223;224;225;226	1		1	4			14	25				
502	Falchion	23	17	28	1	1;2;3		0							1	400	1			21000	525		1	1	88	1	4	1	3	180	71	37	39																																																						1	Normal Weapon	11	One-Handed Sword	10																				1		1	1			17	28				
1896	Mirror Blade	26	20	31	1	1;2;3		0							2	300	2	16777040		25200	630		1	2	106	2	6	2	4	180	71	41	43																																																						3	Rare Weapon	31	One-Handed Sword	11																				1		1	2			20	31				
1897	Bounce Falchion	29	23	34	1	1;2;3		0							3	100	3	11968874		29400	735		1	3	123	4	8	3	5	180	71	45	47																																																						5	Unique Weapon	51	One-Handed Sword	12																			49;223;224;225;226;126;128	1		1	3			23	34				
4003	Bounce Falchion	29	23	34	1	1;2;3		0							4	100	4	11427313		29400	735		1	4	158	4	8	3	5	180	71	55	57																																																						7	Elite Weapon	71	One-Handed Sword	13																			49;223;224;225;226;126;128	1		1	4			23	34				
