TID	捞抚	汲疙
1047	神话棒	魔法属性攻击力 ＋3
198	回城卷轴	移动到最近一次停留的村庄
200	土地精灵石	第一阶段土地属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
201	水精灵石	第一阶段水属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
202	空气精灵石	第一阶段空气属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
203	火精灵石	第一阶段火属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
204	魔法精灵石	第一阶段魔法属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
213	往返回城卷轴	可以往返于最近一次停留的村庄与战场之间
3857	往返回城卷轴	新手用往返卷轴\n可以往返于最近一次停留的村庄与战场之间\n\n无法在商店或跟玩家进行交易
244	呼吸精灵石	第二阶段空气属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
245	微风精灵石	第三阶段空气属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
246	沉默精灵石	第四阶段空气属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
247	无义精灵石	第五阶段空气属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
252	大地精灵石	第二阶段土地属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
253	土精灵石	第三阶段土地属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
254	山精灵石	第四阶段土地属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
255	星星精灵石	第五阶段土地属性的精灵石\n可以放在武器或盔甲上
256	精神精灵石	第二阶段魔法属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
257	冥想精灵石	第三阶段魔法属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
258	超越精灵石	第四阶段魔法属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
259	涅磐精灵石	第五阶段魔法属性的精灵石\n可以放在武器或盔甲上
260	云精灵石	第二阶段水属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
261	雾精灵石	第三阶段水属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
262	瀑布精灵石	第四阶段水属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
263	大海精灵石	第五阶段水属性的精灵石\n可以放在武器或盔甲上
264	火焰精灵石	第二阶段火属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
265	灼热精灵石	第三阶段火属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
266	盐海精灵石	第四阶段火属性的精灵石\n可以放在武器或盔甲上\n也可以在精灵石提炼器提炼为\n上级精灵石
267	流星精灵石	第五阶段火属性的精灵石\n可以放在武器或盔甲上
396	鹿变身药水	变身为鹿 持续四分钟\n追加攻击力+28\n追加移动速度40%
397	蝙蝠变身药水	变身为蝙蝠 持续四分钟\n追加攻击力+24\n追加移动速度33%
398	野猪变身药水	变身为野猪 持续四分钟\n追加攻击力+30\n追加移动速度50%
399	蠕虫变身药水	可以变身为蠕虫\n提高攻击力和命中率
400	毒蛇变身药水	变身为毒蛇 持续四分钟\n追加攻击力+36\n追加HP+132
401	飞蛾变身药水	有助于变身为巨型飞蛾
402	骷髅变身药水	变身为骷髅 持续四分钟\n追加攻击力+54\n追加防御力+21\n移动速度减少17%
403	哥布林变身药水	变身为哥布林 持续四分钟\n追加攻击力+35
404	滚刀哥布林变身药水	有助于变身为滚刀哥布林
405	熊变身药水	变身为熊 持续四分钟\n追加攻击力+60\n追加HP+244
406	蜘蛛变身药水	变身为蜘蛛 持续四分钟\n追加攻击力+28
407	蛇神变身药水	变身为蛇神 持续四分钟\n追加攻击力+78\n追加防御力+27\n移动速度减少34%
408	鸡变身药水	有助于变身为母鸡\n变身后不能参加战斗\n不会死
409	牛变身药水	有助于变身为牛\n变身后不能参加战斗\n不会死
410	马变身药水	有助于变身为马\n变身后不能参加战斗\n不会死
411	羊变身药水	有助于变身为羊\n变身后不能参加战斗\n不会死
412	山羊变身药水	有助于变身为山羊\n变身后不能参加战斗\n不会死
413	猫变身药水	有助于变身为猫\n变身后不能参加战斗\n不会死
414	犀牛变身药水	有助于变身为犀牛\n变身后不能参加战斗\n不会死
415	猪变身药水	有助于变身为猪\n变身后不能参加战斗\n不会死
416	狗变身药水	有助于变身为狗\n变身后不能参加战斗\n不会死
417	鹿变身配方	提高鹿变身药水的制作成功率
418	蝙蝠变身配方	提高蝙蝠变身药水的制作成功率
419	野猪变身配方	提高野猪变身药水的制作成功率
420	蠕虫变身配方	提高蠕虫变身药水的制作成功率
421	毒蛇变身配方	提高毒蛇变身药水的制作成功率
422	飞蛾变身配方	提高飞蛾变身药水的制作成功率
423	骷髅变身配方	提高骷髅变身药水的制作成功率
424	哥布林变身配方	提高妖怪变身药水的制作成功率
425	滚刀哥布林变身配方	提高怪物变身药水的制作成功率
426	熊变身配方	提高熊变身药水的制作成功率
427	蜘蛛变身配方	提高蜘蛛变身药水的制作成功率
428	蛇神变身配方	提高蛇神变身药水的制作成功率
429	鸡变身配方	提高鸡变身药水的制作成功率
430	牛变身配方	提高牛变身药水的制作成功率
431	马变身配方	提高马变身药水的制作成功率
432	狗变身配方	提高狗变身药水的制作成功率
433	羊变身配方	提高羊变身药水的制作成功率
434	山羊变身配方	提高山羊变身药水的制作成功率
435	猫变身配方	提高猫变身药水的制作成功率
436	犀牛变身配方	提高犀牛变身药水的制作成功率
437	猪变身配方	提高猪变身药水的制作成功率
438	精灵水	精灵祝福停留的泉水
439	鹿草	鹿喜欢的草
440	洞穴石	蝙蝠居住的洞穴内钟乳石碎块
441	粘土粉末	野猪生活的地方干枯的泥土
442	食腐兽尸体	蠕虫制造的茧子碎片
443	剧毒鳞	毒蛇脱皮时脱落的鳞片
444	飞蛾毒粉	飞蛾的翅膀上洒落的有毒粉末
445	坟墓土	骷髅诞生的坟墓的泥土
446	芦苇果	哥布林居住的河边芦苇果实
447	沼泽岑树	滚刀哥布林喜欢的软白蜡木块
448	熊血	熊流出的血沫
449	坚韧蜘蛛网	蜘蛛产生的蜘蛛网团　
450	蛇神骨粉	用蛇神腐烂的骨头磨成的粉末
451	鸡蛋	母鸡下的鸡蛋
452	牛角	成年公牛的犄角
453	马鬃	太阳刚升起的凌晨剪断的马鬃
454	忠犬链	长时间跟随主人的狗的项圈
455	羊毛	第25次剔出的羊毛
456	山羊胡须	袭击过主人的山羊胡须　
457	猫毛团	死猫的毛团
458	犀牛角	年迈犀牛的独角
459	猪尾	喜欢逃跑的猪的尾巴
622	甜味佐料	用于增加甜味的调味料\n提高几种料理的成功概率
623	咸味佐料	用于增加咸味的调味料\n提高几种料理的成功概率
624	苦味佐料	用于增加苦味的调味料\n提高几种料理的成功概率
625	酸味佐料	用于增加酸味的调味料\n提高几种料理的成功概率
626	辣味佐料	用于增加辣味的调味料\n提高几种料理的成功概率
627	清凉佐料	用于增加鲜味的调味料\n提高几种料理的成功概率
628	迷惑佐料	除了味道更是针对中毒效果的调味料\n提高几种料理的成功概率
629	清淡香辛料	用于增加清爽香味的香料\n提高几种料理的成功概率
630	微辣香辛料	用于增加辣味的香料\n提高几种料理的成功概率
632	洋生菜	提高料理新鲜度的材料\n用于几种料理的辅助材料
633	欧芹	与洋生菜一起用于各种料理的材料\n用于几种料理的辅助材料
634	大葱	又辣又爽口的材料\n用于几种料理的辅助材料
635	大蒜	具有辣味的材料\n用于几种料理的辅助材料
636	辣大蒜	最辣的蒜\n用于几种料理的辅助材料
637	蘑菇	藤或树荫下生长的菌丝植物\n用于几种料理的辅助材料
638	洞穴蘑菇	在洞穴内生长的蘑菇\n用于几种料理的辅助材料
639	牛奶	家畜新鲜的牛奶\n用于几种料理的辅助材料
640	地瓜	耕地里种植的甜地瓜\n用于几种料理的辅助材料
641	土豆	高地里种植的土豆\n用于几种料理的辅助材料
642	肉	腌制的储存用肉\n用于几种料理的辅助材料
643	肉干	为了储存而在阳光下晒干的肉\n用于几种料理的辅助材料
