ItemTid	Tid	level	Name	Movement Run	ATK Speed	Max_HP	Max_MP	Defence	Min_Damage	Max_Damage
406	272	1	거미						26	28
397	82	2	박쥐	2000					18	24
396	299	3	사슴	2500					22	28
403	640	4	고블린						31	35
398	13	5	멧돼지	3000					24	30
400	118	6	바이퍼			132			30	36
1030	622	7	늑대	3500					30	36
1095	748	7	마릴리스						45	49
1029	644	10	드래곤					15	34	42
1032	295	10	리자드맨			188			40	48
1093	731	10	뱀파이어					18	40	48
1094	742	11	라미아						50	56
402	75	11	스켈레톤	-1000				21	46	54
1034	643	12	만티코어	4000					46	54
405	127	17	곰			244			52	60
1092	738	18	구울					24	52	60
1033	454	19	트롤			276			58	66
1031	282	22	도적						71	77
407	85	25	좀비	-2000				27	68	78
1035	17	28	가고일			312			68	78
1036	456	32	그리폰	4000					74	84
1165	637	36	스프리건						92	98
1091	316	42	고르곤			348			74	84
1166	712	57	골렘					30	74	84
2684	501	7	놀			132			30	36
2686	509	11	밴딜리언					21	46	54
2687	516	12	브로큰			216			46	54
2689	496	12	크로우			244			52	60
2685	474	1	바릭						71	77
136	838	64	파라오	-2000		468			120	126
143	929	71	기글러	2000				42	89	100
141	924	71	비셔스	2500					102	110
137	915	71	샤드댄서	-1000		540			138	147
142	922	72	블룬독					42	119	132
138	923	72	암브로드	4000		552			121	136
139	1209	73	에텐	-1000				42	140	154
140	928	75	레퀴메스	2000					143	161
3909	1276	70	아크로드							
4620	918	1	Mysterio		-12	50				
4621	656	1	Pharaoh King			50		10		
4622	811	1	Erinyes General	1500		150				
4623	16	1	Bronze Dragon Seed			100		10		
4778	1316	1	네크로스 네트							
4779	1360	1	루인워리어							
4780	928	1	레퀴메스							
4781	822	1	리치							
4782	1306	1	바운드							
4783	477	1	볼텍스							
4784	1309	1	블란트							
4785	777	1	아이볼							
4786	1358	1	오우거							
4787	651	1	서큐버스							
4788	645	1	앤트							
4789	781	1	에리니에스							
4790	832	1	에우리알레							
4791	1294	1	제부스							
4792	723	1	켄타우르스							
4793	648	1	큐브							
4794	1313	1	크랩틸							
4795	642	1	프리지 본드맨							
4796	1352	1	하트로더							
4797	816	1	호크애로우							
6118	427	70	아크로드			700		60	200	220
6354	1399	60	스워시버클러			600		50	180	200
7067	1589	1	세이버 마릴리스	1000		200		15	60	70
7068	1586	1	래틀 바이퍼 	5000		100		10	40	50
7069	1572	1	랩틸리안 솔져	1000		300		20	50	60
7070	1512	1	프로스트 혼드 데스뮤트	3000		200		15	70	80
7071	1573	1	볼케이노 울프 폼 	1000		100		10	50	60
9033	1722	1	슬레이어							
9034	1723	1	오비터							
9035	1732	1	서머너							
10178	1726	1	하이포링스 변신물약							
10179	1729	1	그라인더 변신물약							
10180	1736	1	글루톤 변신물약							
10181	1734	1	아이리온 변신물약							
10182	1742	1	코어마스터 변신물약							
10183	1739	1	페트리엇 변신물약							
10184	1758	1	트래커 변신물약							
10185	1745	1	블러드베스 변신물약							
10186	1760	1	액스큐터 변신물약							
10187	1766	1	체리엇 변신물약							
10188	1769	1	피스메이커 변신물약							
10189	1772	1	골드게더러 변신물약							
10190	1775	1	포세이큰 변신물약							
10191	1778	1	할로우 변신물약							
10192	1781	1	랜턴라이더 변신물약							
10193	1784	1	드래거 변신물약							
10194	1763	1	그리더 변신물약							
