ID	tname	npcid list	npc name list	공통대사확률	공통대사	Mob 혼잣말	확률	공격	확률	PC 타켓팅	확률	Mob die	확률	Mob 스폰	확률	Mob 추적	확률	Mob miss	확률
1	고블린	68	고블린 정찰자			어디선가 수상한 냄새가 난다! 싱싱한 피의 냄새가 난단 말이야!	0.3	낄낄~어떠냐!! 	0.1	히히~저기 저 재밌게 생긴 놈은 뭐지? 	0.1	클클클…여기서 죽는건가? 여기서 죽는거구나!! 으하하	0.3	낄낄낄…여기선 뭔가 더 재밌는걸 할 수 있을거 같은데~	0.3	쿠헤헤헤!! 겁쟁이!! 도망가고 있잖아!! 낄낄낄	0.3	낄낄~이것도 못 맞추네! 멍청이 같으니~낄낄	0.3
		69	고블린 레인저			오늘은 어디로 사냥을 나갈까?		아~남을 괴롭히는 이 맛!! 낄낄낄~		적이다!		우앙~여기서 이런식으로 죽고 싶지 않다구!!		낄낄…오늘은 어떤 놈을 사냥해볼까~		히히~이젠 잡기 놀이를 하는건가!! 좋아 좋아~내가 잡아주지!!		우아앙~~못맞췄다! 못맞췄다!! 우헤헤 	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	고블린 추장	275	고블린 추장			이야호~이 새로운 탈 것이 난 정말 마음에 들어~	0.3	크크..고블린을 작다고 우습게 봤다가는 내 손에 죽는수가 있다고!!!	0.1	낄낄..네 놈이 지금 어디에 발을 들여 놓았는지 아는거냐?	0.1	나이가 들었나…헥헥	0.3	홉고블린들이 또 우리 영역에 넘어오는지 봐야지! 놈들은 항상 우릴 우습게 보고 있어!!	0.3	킬킬!! 작다고 덤빌때는 언제고 이젠 도망을 가다니!! 섰거라!!	0.3	흥!! 내가 얼마나 재빠른데!! 클클클!!	0.3
						수레를 좀 더 세게 끌고 가보라고!! 전혀 속도감이 없잖아!		이 공격은 어때!!! 피할 수 없을걸~~~낄낄				으윽..죽는건 일하는것 보다 싫은데…		흥~우리야말로 정통 고블린이지..어쭙잖게 크다고 잘난척하는 홉고블린 녀석들!!		히히~네 놈이 두 다리로 뛰어봤자지! 		낄낄낄!! 그런식으로 공격하면 누가 맞겠어!!	
						낄낄낄…이 곳은 우리 고블린만이 있어야해! 세상은 고블린의 것이다!! 고블고블~				히히…널 잡아서 내 노예로 써야겠다!!		꾸르륵…이런 재미없는 놈들 같으니..으으…		우리 고블린들이 얼마나 재밌게 살고 있는지 보라고~		히히히~이야! 저 놈 참 빠르네!!		히히~꽤 재밌는 녀석일세!! 더 쳐보라구!!	
						으흐흐..오늘은 어떤 놈을 괴롭혀주지?				히히~홉고블린 놈들한테 뺏기기 전에 내가 먼저 잡아야지!!									
						아..역시 수레를 끄는 놈이 더 있어야겠어! 노예는 많을수록 쓸모가 많단말야! 크크크~													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3	홉고블린	79 	홉고블린			지나가는 놈들을 죽이고 가진걸 뺏는건 정말 스릴이 넘치지..히히히	0.3	그르르~맞아봐!! 맞아봐!!	0.1	킬킬..여기까지 오다니!! 겁도 없는 놈일세!	0.1	으…이렇게 죽을수는 없어!! 안돼!! 안돼!!	0.3	홉고블린의 영역에 고블린 녀석들이 들어오다니..크..	0.3	크크크~~고블린보다 다리는 긴 녀석이 뛰는게 저정도밖에 안되다니! 뛰어봤자지!!	0.3	클클클..어디 날 때릴 수 있나 볼까?	0.3
		81 	홉고블린 리더			우릴 보면 무서워 벌벌떠는 놈들을 보면..크크…재밌단말야~ 		낄낄~그 가방 좀 나한테 넘겨봐~		킬킬…저 무거워보이는 가방~우잉~보석이 많은게 틀림없어!!		으…홉고블린인 내가 여기서 죽다니!! 저 놈이 도망갈때 그냥 보내는건데…으..		치칫…난 작은 고블린들이 싫어! 그 녀석들은 고블린도 아니야!!		헥헥!! 저 놈이 어딜까지 도망가려는거지! 		이봐이봐~술 마셨나? 그렇게 헛방치면 내 손에 죽을 수 밖에!! 클클클	
						킬킬…겁쟁이들은 다 내가 쫓아가기만해도 도망간단말야..		크흐흐…요즘 심심하던 차에 잘됐군! 		크크..내 눈에 걸린 이상 곱게 보낼 수야 없지!!		으..윽..놈을 너무 얕잡아 봤었어.		킬킬..오늘도 사냥을 해볼까..우흣		크르륵!! 어딜 도망가냐!		나랑 놀자는건가! 고블고블~	
						킬킬..내 눈에 들어오는 건 다 내꺼야..다 내꺼!		킬킬킬!! 고블린 녀석을 괴롭히는 것보다 이건 훨씬 재밌군!!		크큭!! 오늘의 사냥감이다!!		크…으…욱..이..놈..		킬킬..쬐그만 고블린 녀석들은 우리 종족의 수치야!! 		쿠헤~도망가는 놈을 다시 잡는 재미도 괜찮지!!		킬킬~이건 너무~약해!!	
						날 작은 고블린놈들하고 같이 취급하는건 용서못해!! 내가 그렇게 작은줄 알아? 바보 같은 놈들!!													
						고블린의 황금 항아리가 어딨는줄 알아?? 모~르지? 모를꺼야~너 같은 놈들이 그걸 어떻게 알겠어? 알려줄까? 흥~싫어!!!													
						돈 보기를 돌보듯 하라고 누가 그래?? 난 돈이 좋단말야!!! 고블린이 돈을 싫어할 줄 알았지? 흥흥!! 													
						세상에 반짝이는게 왜 이리 많을까?? 음음~ 반짝반짝 빛나는건 다 뺏을거야!! 우헤헤!! 													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
