ID	tname	npcid list	npc name list	°øÅëÈ®·ü	°øÅë´ë»ç	¸»Ç³¼± ´ë»ç	Min_Time	Max_Time	¾Ç´ç 1´Ü°è ´ë»çÈ®·ü	¾Ç´ç 1´Ü°è ´ë»ç	¾Ç´ç 2´Ü°è ´ë»çÈ®·ü	¾Ç´ç 2´Ü°è ´ë»ç	¾Ç´ç 3´Ü°è ´ë»çÈ®·ü	¾Ç´ç 3´Ü°è ´ë»ç
1	<Merchant> Darryl		<Merchant> Darryl	100	I'm Darryl, a merchant. I sell various merchandise to the people of Anchorville and to travelers. Being a native to this village, I have a lot of information I can share with you. So drop by from time to time. You don't always have to buy a weapon.				100	Hmm...? Now... This is a customer I really don't want to deal with.... I don't know what you need, but if you visit the Pardoner, he'll help you.	100	He... hey! I don't have anything to sell to you! He... hey!
"	100	He... hey! I don't have anything to sell to you! He... hey!
"
					I really enjoy listening to travelers' stories. Anything interesting or fun, I share with my family. Sometimes, when I hear a very long story I forget some of the information and end up getting it wrong. Actually, I'm like that in general. Hahaha!									
					Sometimes, I pass on incorrect information to travelers and get them in trouble. So when I'm asked a question, I try to be as attentive as I can. But at the spur of the moment, I accidentally spit out the wrong information. Gosh, maybe I should go see a pharmacist in the big city.									
					As a merchant, I sell all sorts of things. But I've found that too many choices tend to confuse travelers like you. So I only display main necessities like this. If there's something you need...... try suggesting it in the forum.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	<Warrior Weapons Merchant> Shorty		<Warrior Weapons Merchant> Shorty	100	My name...... is Shorty. I got that name because I was very small when I was born. I'm a warrior weapons merchant. Umm, I'm sure you'll figure it out, but if you're traveling here for the first time...... I'd suggest you buy some weapons from me.				100	Oh... You... Yes... I see.... What... What was that? Look around.... That's okay... but... The prices... are... not cheap....	100	What....?	100	What....?
					My hearing isn't too good and sometimes I have trouble understanding people. A lot of travelers try to cheat me...... but I'm a too quick to be fooled.									
					What? I can't hear you. Can you speak a little louder? Why did I become a warrior weapons merchant? Well, because there's lots of profit to be made. Old or new, warrior arms can be obtained in lots of different ways. Repairing and reselling them is pretty profitable. That's how I make heaps of money.									
					I used to travel a lot, too, so I understand how hard it can be. When I meet travelers like you...... I want to help. I can't give you merchandise for free, but I can give you a lot of useful information. Huh? You'd like to hear some now? ...... Well, I don't have anything useful to tell you right now.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3	<Archer Weapons Merchant> White		<Archer Weapons Merchant> White	100	I'm White and I'm an archer weapons merchant in this village. Armor and weapons are sold separately in the big cities. But in small towns like this, we sell them together. That doesn't mean they're inferior in quality though. Take a look.				100	Huh... I shouldn't sell anything to you. But since I'm not innocent either I can't just ignore you. But that doesn't mean that I approve of you. The Pardoner will help you with your sins.	100	I spent time with humans. But the blood of righteousness still runs in my veins. I don't have anything to sell to you.	100	I spent time with humans. But the blood of righteousness still runs in my veins. I don't have anything to sell to you.
					White doesn't sound like an Elf's name? No, it doesn't. I wandered into this village when I was young and was taken in by Rembrandt, the head of this village. He's like my father now. He's highly respected by the townspeople. And of course, I respect him.									
					Black, who's a warrior trainer, is Rembrandt's daughter. She and I don't get along so well. There was an unfortunate incident when we were staying in Delfaras. Since then, she really hates me. With time, we grew farther apart. I'm thinking of making up with her at some point.									
					The merchandise I sell, I get from my friend. He works as a blacksmith in Delfaras. I always wanted to be like him. But I guess we all have our own place...... I just ended up getting into trouble in the city and came here. I'm always grateful to my father for saving me from that life.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4	<Magic Weapons Merchant> Paula		<Magic Weapons Merchant> Paula	100	(coughs) I'm Paula, the magic weapons merchant. I used to be healthy, but fell ill after getting pneumonia when I was young. So now, I'm always coughing. I've never left this village in my life, but someday I will do, and I'll see the world.				100	Argh... Uh... Cough, cough! Hmm... Hmm. Wha... what does someone like you want here? Cough, cough! Items... cough! You can buy them. But very they're ex... cough! Expensive... Cough, cough, cough... Cough!	100	Cough, cough, cough...	100	Cough, cough, cough...
					People say I have weak 'chi', or life energy. I don't know what the difference is between having weak 'chi' and having a weak body. Well, because of this, I've been looked down upon since I was young. Oh, this is depressing. (coughs) I wish this coughing would stop. (coughs)									
					To be honest, I was dumped by someone I love. (coughs) The reason is because I'm not diligent. I took a lot of days off because I was sick. Well, I realized it was affecting my image...... and I've been working hard on it ever since. I plan to become healthy and try harder in the future. You can do it, too! (coughs)									
					Why did I become a magic weapons merchant? Oh, hehe. (coughs) W-well, you might laugh when you hear this, but I wanted to find a magic potion that would cure me. I figured I could find the right potion if I met different merchants. (coughs) But I guess there's no potion that can completely cure an old illness.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	<Warrior Trainer> Black		<Warrior Trainer> Black	100	My name is Black and I'm a warrior trainer. Have you met White? Are you close with her? Then I have nothing much to say to you. White and I are enemies. She's an elf and I'm a human. It's a family issue between two different races. I don't want to talk about it.				100	I can make you stronger, but first you should go and meet the Pardoner. If you're done here, please be on your way.	100	I don't want to help anyone like you to get stronger.	100	I don't want to help anyone like you to get stronger.
					I lived in Delfaras for a long time. I have no special attachment to this small village. Yes, my father lives here, but this town is too small to fulfill my big dreams. Delfaras is entirely different from here. I wanted to learn new things that match up to my potential, but...... For now, I'm just a warrior trainer in this village.									
					Why do I hate White? She's been a troublemaker since she was young. She got into plenty of trouble when we were in Delfaras. I ended up being 'the older sister of a troublemaker' and had to leave Delfaras. The only reason she was released is because my father has ties with the mayor of Delfaras. That's why I despise her.									
					At lower levels, you can't use your skills. It's just like giving a child a complex toy. This rule also applies to my skills even though I'm a novice skills trainer. Remember, it takes a lot of effort to learn even the most basic-looking skills. Undermine this rule and you'll get hurt									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6	<Archer Trainer> Terran		<Archer Trainer> Terran	100	I'm Terran, the Archer Trainer. I'm an excellent master, if I may say so myself, and I also offer various information useful to traveling archers. Many of my past students have now become respectable archers. Ehem. Do you wish to learn from me, too? It's 'eat or be eaten in this world'! Learn from me and become strong enough to survive! Yes, indeed!				100	Hmm! The strong prey on the weak in this world, and you're living proof of that. I'm afraid you might use the skills I teach you for something else. If you insist, I can teach you. But you need to remember that your way is the wrong way! Hmm! Hmm!	100	Ha! You... I cannot teach.	100	Ha! You... I cannot teach.
					Ah... yes. Most people have both friends and foes in this village. Sure, there are people like that, but I'm sure lots of people don't see eye to eye with me but it doesn't matter because it's 'kill or be killed' in this world! Ehem. The weak can say what they want, but it won't matter.									
					An archer's skill mainly lies in his/her ability to focus, just like a sorcerer. At the same time, you need to have strength in your steps just like a warrior. Ehem! Archers are the best suited for surviving in this dog eat dog world! Strength determines everything!									
					Attacking from far away definitely has its advantages. You can kill the enemy before he/she gets to you. Don't get cocky though - if your enemy has the same ability, you could go down first. Hm! I guess it is natural that the weak perish first. After all, strength is everything!									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	<Magic Trainer> Jin Tonik		<Magic Trainer> Jin Tonik	100	I'm Jin Tonik, the magic skills trainer. Want to take me on? Let me just say that I used to be a warrior, so I know how to handle a sword, too. I also have a fast understanding of my opponent's weapon, so watch out! I can be as wild as a bronco. Haha.				100	Hey... Are you here to mess with me? Eh? No? You really don't seem like the peaceful type. I could teach you some skills, but you don't seem like a good person!	100	Eh? What's wrong with you?	100	Eh? What's wrong with you?
					The world of magic is rotten. Sorcerers are more concerned with obtaining good magic books and nice clothes than studying different types of magic and finding ways to hone their abilities. That's why I don't bother to attend any magician gatherings.									
					There are always people you don't like even in a small village like this. I really hate Holly, the Safe Keeper. Why?? Because she's flippant! Everyone is entitled to their own way of thinking. But I just can't stand it that she's my neighbor!									
					If a sorcerer is powerful, warriors will fall even before they approach him. Oh, that brings back a painful memory. I gave up being a warrior and became a sorcerer because of this one guy... the magician that handed me my first defeat. I can't wait to see him again.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8	<Safe Keeper> Holly		<Safe Keeper> Holly	100	Hi, I'm Holly and I'm a safe keeper. I'm originally from a big city far away. I used to be rich because my father was a big merchant. But I got hooked on gambling and ended up broke. I was hounded by creditors and fled all the way here.				100	I don't want to store your stuff. But I'll do it anyway.	100	Just tell me what you need and get out.	100	Just tell me what you need and get out.
					The first reason I like Anchorville is because it's surrounded by mountains and has such a peaceful atmosphere. The sunset view from the western coastline is magnificent. Secluding myself in such a beautiful environment allows me to forget about gambling... Oh, my. What was I saying? Hehe.									
					I like travelers because they tell you a lot of interesting stories. Lately, there's been much talk about the Archons amongst the travelers. Rumors about the Archons and the Archlord have been around for a while. Maybe it's a sign that something is about to happen?									
					Even if I wanted to, I wouldn't go to the big city because it's full of gamblers. I've had it with gambling. But I admit just hearing the word makes my heart pound. I must be weak-willed. At this rate, I might be stuck here forever.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	<Blacksmith> Halo		<Blacksmith> Halo	100	I'm Halo, a blacksmith. My family's been in the blacksmith trade for generations in this village. The trade is originally passed onto the eldest son, but my brothers all left for the big city to pursue their dreams. So I ended up taking on the trade. I don't blame them too much. But, I do have my own dreams...				100	You're here to fix a weapon? Well, since you gave me money, I'll help.... Argh... This should do, so get out of here!	100	Zzz... Zzz... Eh? Argh! You scared me...! I won't sell someone of your standing anything!	100	Zzz... Zzz... Eh? Argh! You scared me...! I won't sell someone of your standing anything!
					Falling asleep too often is one of my weak points. Sometimes, I'll be standing like this and...zz...zz doze off, or, so they tell me. It really is a bad habit. It's definitely not good... zzz ... zzz...									
					Have you heard of the metal deonite? According to legend, it's been around since the birth of Chantra. It doesn't exist anywhere else and appears only under the permission of the Elementals. Weapons and armor made from this metal are said to be indestructible. It also increases the power of your soul when you wear it, allowing you to destroy your enemy in one blow.									
					Some travelers complain about having to pay for me to make a 'Link of Agreement.' They should know I'm putting in a lot more effort and energy than usual. It's actually cheap considering the labor involved. Will you resent me, too, when you want a 'Ring of Agreement?'									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
10	<Item Trader> Fotherbee		<Item Trader> Fotherbee	100	I'm Sotherby, I'm a licensed Items Trader. There are several reasons to befriend me. I always have a large inventory of items sold to me by different people and I quickly have them ready for travelers to buy.				100	Ah... You scared me.... Wha... what... do you want? What? Ah... You want to buy items...? Ah... Okay... Sulk, sulk...	100	I'm... I'm sorry, but I cannot trade with you!	100	I'm... I'm sorry, but I cannot trade with you!
					I hate that this world is full of wars, fights and violence. I'm afflicted with a weak body and a small heart, in fact, I faint at the drop of a hat. You travelers scare me as well, but I'm doing my best to hide it.									
					Be prudent when you choose to buy items. Without general knowledge of market prices, you'll get taken advantage of. How much you save will determine a lot of things down the road. Remember, keep close tabs on your finances.									
					Good merchandise always has a price. If a weapon you've obtained isn't suitable for your class or if you feel that you need a better weapon, bring all your old weapons to me.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	<Alchemist> Bios		<Alchemist> Bios	100	I'm Bios, an alchemist. Should anyone ask me to turn things into gold, I will turn them into gold! My chosen vocation is no mean feat!				100	I'm Bios, an alchemist. Should anyone ask me to turn things into gold, I will turn them into gold! My chosen vocation is no mean feat!	100	I'm Bios, an alchemist. Should anyone ask me to turn things into gold, I will turn them into gold! My chosen vocation is no mean feat!	100	I'm Bios, an alchemist. Should anyone ask me to turn things into gold, I will turn them into gold! My chosen vocation is no mean feat!
					My main job is creating value out of useless things. I create something out of nothing. That's why alchemists are so extraordinary!					My main job is creating value out of useless things. I create something out of nothing. That's why alchemists are so extraordinary!		My main job is creating value out of useless things. I create something out of nothing. That's why alchemists are so extraordinary!		My main job is creating value out of useless things. I create something out of nothing. That's why alchemists are so extraordinary!
					Have you heard of the Stone and Sword Society? It's the official name of the alchemists' society. But the name's too long, so we just call it the 'Society.' A certain level of reputation is required to become a member, but that's not so easy, working in such a small village. But, I don't really pay that sort of thing much attention.					Have you heard of the Stone and Sword Society? It's the official name of the alchemists' society. But the name's too long, so we just call it the 'Society.' A certain level of reputation is required to become a member, but that's not so easy, working in such a small village. But, I don't really pay that sort of thing much attention.		Have you heard of the Stone and Sword Society? It's the official name of the alchemists' society. But the name's too long, so we just call it the 'Society.' A certain level of reputation is required to become a member, but that's not so easy, working in such a small village. But, I don't really pay that sort of thing much attention.		Have you heard of the Stone and Sword Society? It's the official name of the alchemists' society. But the name's too long, so we just call it the 'Society.' A certain level of reputation is required to become a member, but that's not so easy, working in such a small village. But, I don't really pay that sort of thing much attention.
					Alchemy is a spiritual study. Without the proper mindset, you can easily fall prey to evil. There have been many alchemists that have brought danger to this world. But you don't have to worry about me, I don't plan on being one of those people. Haha.					Alchemy is a spiritual study. Without the proper mindset, you can easily fall prey to evil. There have been many alchemists that have brought danger to this world. But you don't have to worry about me, I don't plan on being one of those people. Haha.		Alchemy is a spiritual study. Without the proper mindset, you can easily fall prey to evil. There have been many alchemists that have brought danger to this world. But you don't have to worry about me, I don't plan on being one of those people. Haha.		Alchemy is a spiritual study. Without the proper mindset, you can easily fall prey to evil. There have been many alchemists that have brought danger to this world. But you don't have to worry about me, I don't plan on being one of those people. Haha.
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
