스킬종류	레벨	지급경험치 최소값	지급경험치 최대값	성공확률 설정팩터	레벨업경험치	레벨업누적경험치		
Collection Skill	1	5	7	0	103	103		
Collection Skill	2	7	10	2	260	363		
Collection Skill	3	10	13	4	597	960		
Collection Skill	4	15	20	6	1290	2250		
Collection Skill	5	20	25	8	2705	4955		
Collection Skill	6	30	38	10	5582	10537		
Collection Skill	7	40	50	12	11380	21917		
Collection Skill	8	50	65	14	23005	44922		
Collection Skill	9	65	75	16	46375	91297		
Collection Skill	10	75	90	18	93020	184317		
Collection Skill	11	90	100	20	186430	370747		
Collection Skill	12	100	115	22	373155	743902		
Collection Skill	13	115	125	24	746725	1490627		
Collection Skill	14	125	140	26	1493770	2984397		
Collection Skill	15	140	150	28	2987980	5972377		
Cooking	1	5	7	0	50	50
Cooking	2	7	10	2	140	190
Cooking	3	10	13	4	500	690
Cooking	4	15	20	6	1200	1890
Cooking	5	20	25	8	3600	5490
Cooking	6	30	38	10	8400	13890
Cooking	7	40	50	12	16800	30690
Cooking	8	50	65	14	29500	60190
Cooking	9	65	75	16	52650	112840
Cooking	10	75	90	18	81000	193840
Cooking	11	90	100	20	186430	380270
Cooking	12	100	115	22	373155	753425
Cooking	13	115	125	24	746725	1500150
Cooking	14	125	140	26	1493770	2993920
Cooking	15	140	150	28	2987980	5981900
Alchemy	1	5	7	0	50	50
Alchemy	2	7	10	2	140	190
Alchemy	3	10	13	4	500	690
Alchemy	4	15	20	6	1200	1890
Alchemy	5	20	25	8	3600	5490
Alchemy	6	30	38	10	8400	13890
Alchemy	7	40	50	12	16800	30690
Alchemy	8	50	65	14	29500	60190
Alchemy	9	65	75	16	52650	112840
Alchemy	10	75	90	18	81000	193840
Alchemy	11	90	100	20	186430	380270
Alchemy	12	100	115	22	373155	753425
Alchemy	13	115	125	24	746725	1500150
Alchemy	14	125	140	26	1493770	2993920
Alchemy	15	140	150	28	2987980	5981900
