Target Type	Target TID	Class	Skill TID	Probability	Item Set
	33	1;2;3;4	663	90	2
	450	1;2;3;4	663	90	46
	473	1;2;3;4	663	90	24
	14	1;2;3;4	663	90	27
	452	1;2;3;4	663	90	46
	504	1;2;3;4	663	90	24
	129	1;2;3;4	663	90	2
	10	1;2;3;4	663	90	35
	777	1;2;3;4	663	90	48
	20	1;2;3;4	663	90	4
	31	1;2;3;4	663	90	10
	648	1;2;3;4	663	90	52
	11	1;2;3;4	663	90	23
	82	1;2;3;4	663	90	27
	803	1;2;3;4	663	90	48
	68	1;2;3;4	663	90	4
	120	1;2;3;4	663	90	10
	117	1;2;3;4	663	90	26
	36	1;2;3;4	663	90	26
	646	1;2;3;4	663	90	52
	319	1;2;3;4	663	90	13
	715	1;2;3;4	663	90	21
	119	1;2;3;4	663	90	26
	71	1;2;3;4	663	90	26
	471	1;2;3;4	663	90	12
	69	1;2;3;4	663	90	4
	323	1;2;3;4	663	90	13
	89	1;2;3;4	663	90	46
	640	1;2;3;4	663	90	4
	500	1;2;3;4	663	90	12
	275				
	325	1;2;3;4	663	90	13
	118	1;2;3;4	663	90	26
	72	1;2;3;4	663	90	26
	128	1;2;3;4	663	90	27
	84	1;2;3;4	663	90	46
	501	1;2;3;4	663	90	12
	481				
	505	1;2;3;4	663	90	24
	641	1;2;3;4	663	90	13
	451	1;2;3;4	663	90	15
	26	1;2;3;4	663	90	19
	337				
	731	1;2;3;4	663	90	29
	714	1;2;3;4	663	90	16
	299	1;2;3;4	663	90	35
	32	1;2;3;4	663	90	38
	121	1;2;3;4	663	90	38
	37	1;2;3;4	663	90	47
	475	1;2;3;4	663	90	28
	292	1;2;3;4	663	90	19
	643	1;2;3;4	663	90	22
	73	1;2;3;4	663	90	38
	122	1;2;3;4	663	90	38
	331	1;2;3;4	663	90	47
	470	1;2;3;4	663	90	54
	478	1;2;3;4	663	90	31
	644	1;2;3;4	663	90	15
	293	1;2;3;4	663	90	19
	74	1;2;3;4	663	90	38
	123	1;2;3;4	663	90	38
	297	1;2;3;4	663	90	47
	459	1;2;3;4	663	90	62
	479	1;2;3;4	663	90	55
	508	1;2;3;4	663	90	28
	286	1;2;3;4	663	90	35
	75	1;2;3;4	663	90	38
	645	1;2;3;4	663	90	41
	477	1;2;3;4	663	90	30
	295	1;2;3;4	663	90	19
	76				
	622	1;2;3;4	663	90	47
	647	1;2;3;4	663	90	52
	509	1;2;3;4	663	90	28
	484				
	126	1;2;3;4	663	90	4
	294	1;2;3;4	663	90	19
	748	1;2;3;4	663	90	21
	804	1;2;3;4	663	90	48
	326	1;2;3;4	663	90	2
	757	1;2;3;4	663	90	6
	290	1;2;3;4	663	90	19
	805	1;2;3;4	663	90	48
	515	1;2;3;4	663	90	31
	768	1;2;3;4	663	90	7
	742	1;2;3;4	663	90	16
	296	1;2;3;4	663	90	19
	125	1;2;3;4	663	90	4
	301				
	453	1;2;3;4	663	90	56
	516	1;2;3;4	663	90	31
	83	1;2;3;4	663	90	2
	13	1;2;3;4	663	90	23
	311	1;2;3;4	663	90	46
	649	1;2;3;4	663	90	52
	485				
	80	1;2;3;4	663	90	4
	279	1;2;3;4	663	90	13
	720	1;2;3;4	663	90	27
	454	1;2;3;4	663	90	56
	12	1;2;3;4	663	90	14
	749	1;2;3;4	663	90	21
	496	1;2;3;4	663	90	54
	517	1;2;3;4	663	90	55
	738	1;2;3;4	663	90	7
	116	1;2;3;4	663	90	23
	511	1;2;3;4	663	90	30
	78	1;2;3;4	663	90	4
	721	1;2;3;4	663	90	27
	18	1;2;3;4	663	90	41
	34				
	474	1;2;3;4	663	90	24
	127	1;2;3;4	663	90	6
	285	1;2;3;4	663	90	14
	457	1;2;3;4	663	90	15
	16	1;2;3;4	663	90	15
	39	1;2;3;4	663	90	50
	518	1;2;3;4	663	90	55
	512	1;2;3;4	663	90	30
	636	1;2;3;4	663	90	15
	283	1;2;3;4	663	90	14
	327	1;2;3;4	663	90	46
	497	1;2;3;4	663	90	54
	506	1;2;3;4	663	90	24
	307	1;2;3;4	663	90	6
	281	1;2;3;4	663	90	14
	722	1;2;3;4	663	90	27
	472	1;2;3;4	663	90	12
	480	1;2;3;4	663	90	55
	17	1;2;3;4	663	90	1
	284	1;2;3;4	663	90	14
	85	1;2;3;4	663	90	50
	513	1;2;3;4	663	90	30
	507	1;2;3;4	663	90	24
	309	1;2;3;4	663	90	1
	713	1;2;3;4	663	90	7
	282	1;2;3;4	663	90	14
	194	1;2;3;4	663	90	27
	476	1;2;3;4	663	90	28
	498	1;2;3;4	663	90	54
	90	1;2;3;4	663	90	6
	335	1;2;3;4	663	90	14
	29				
	86				
	502	1;2;3;4	663	90	12
	519	1;2;3;4	663	90	55
	483				
	77	1;2;3;4	663	90	23
	499	1;2;3;4	663	90	54
	514	1;2;3;4	663	90	30
	272	1;2;3;4	663	90	2
	456	1;2;3;4	663	90	8
	503	1;2;3;4	663	90	12
	520	1;2;3;4	663	90	55
	274	1;2;3;4	663	90	10
	732	1;2;3;4	663	90	29
	510	1;2;3;4	663	90	28
	482				
	273	1;2;3;4	663	90	2
	124	1;2;3;4	663	90	23
	87	1;2;3;4	663	90	35
	193				
	324	1;2;3;4	663	90	10
	458	1;2;3;4	663	90	13
	336	1;2;3;4	663	90	6
	35	1;2;3;4	663	90	39
	5	1;2;3;4	663	90	39
	743	1;2;3;4	663	90	16
	305	1;2;3;4	663	90	39
	302	1;2;3;4	663	90	39
	19	1;2;3;4	663	90	35
	288	1;2;3;4	663	90	47
	24	1;2;3;4	663	90	62
	304	1;2;3;4	663	90	39
	332	1;2;3;4	663	90	39
	310	1;2;3;4	663	90	41
	298	1;2;3;4	663	90	47
	756	1;2;3;4	663	90	6
	637	1;2;3;4	663	90	39
	308	1;2;3;4	663	90	47
	807	1;2;3;4	663	90	39
	22				
	289	1;2;3;4	663	90	19
	733	1;2;3;4	663	90	29
	650	1;2;3;4	663	90	35
	315	1;2;3;4	663	90	47
	79	1;2;3;4	663	90	4
	754	1;2;3;4	663	90	27
	751	1;2;3;4	663	90	21
	316	1;2;3;4	663	90	3
	291	1;2;3;4	663	90	19
	723	1;2;3;4	663	90	51
	81	1;2;3;4	663	90	4
	321	1;2;3;4	663	90	14
	630	1;2;3;4	663	90	15
	334				
	755	1;2;3;4	663	90	27
	632	1;2;3;4	663	90	13
	750	1;2;3;4	663	90	21
	726	1;2;3;4	663	90	51
	338	1;2;3;4	663	90	14
	744	1;2;3;4	663	90	16
	136	1;2;3;4	663	90	60
	752	1;2;3;4	663	90	21
	314	1;2;3;4	663	90	41
	727	1;2;3;4	663	90	51
	23	1;2;3;4	663	90	60
	753	1;2;3;4	663	90	27
	716	1;2;3;4	663	90	21
	328	1;2;3;4	663	90	35
	330	1;2;3;4	663	90	41
	730	1;2;3;4	663	90	51
	320	1;2;3;4	663	90	60
	711				
	728	1;2;3;4	663	90	51
	710	1;2;3;4	663	90	8
	734	1;2;3;4	663	90	29
	287	1;2;3;4	663	90	41
	729	1;2;3;4	663	90	51
	333	1;2;3;4	663	90	60
	313	1;2;3;4	663	90	3
	846	1;2;3;4	663	90	2
	847	1;2;3;4	663	90	24
	27				
	269				
	135				
	737	1;2;3;4	663	90	29
	848	1;2;3;4	663	90	56
	832	1;2;3;4	663	90	43
	718	1;2;3;4	663	90	8
	736	1;2;3;4	663	90	29
	849	1;2;3;4	663	90	54
	850	1;2;3;4	663	90	24
	745	1;2;3;4	663	90	16
	851	1;2;3;4	663	90	56
	852	1;2;3;4	663	90	54
	724	1;2;3;4	663	90	29
	739	1;2;3;4	663	90	7
	853	1;2;3;4	663	90	24
	854	1;2;3;4	663	90	28
	746	1;2;3;4	663	90	16
	855	1;2;3;4	663	90	28
	856	1;2;3;4	663	90	39
	740	1;2;3;4	663	90	7
	857	1;2;3;4	663	90	39
	816	1;2;3;4	663	90	61
	747				
	712	1;2;3;4	663	90	5
	741	1;2;3;4	663	90	7
	858	1;2;3;4	663	90	39
	859	1;2;3;4	663	90	28
	860	1;2;3;4	663	90	39
	826	1;2;3;4	663	90	61
	725				
	303	1;2;3;4	663	90	5
	861	1;2;3;4	663	90	54
	862	1;2;3;4	663	90	50
	717				
	863	1;2;3;4	663	90	28
	828	1;2;3;4	663	90	61
	833	1;2;3;4	663	90	43
	38	1;2;3;4	663	90	15
	864	1;2;3;4	663	90	54
	865	1;2;3;4	663	90	50
	866	1;2;3;4	663	90	47
	867	1;2;3;4	663	90	27
	830	1;2;3;4	663	90	43
	829	1;2;3;4	663	90	61
	868	1;2;3;4	663	90	7
	869	1;2;3;4	663	90	3
	802	1;2;3;4	663	90	43
	870	1;2;3;4	663	90	46
	815	1;2;3;4	663	90	57
	827	1;2;3;4	663	90	61
	809				
	871	1;2;3;4	663	90	31
	872	1;2;3;4	663	90	1
	838	1;2;3;4	663	90	57
	831	1;2;3;4	663	90	43
	873	1;2;3;4	663	90	31
	874	1;2;3;4	663	90	2
	840	1;2;3;4	663	90	57
	657				
	875	1;2;3;4	663	90	31
	876	1;2;3;4	663	90	5
	839	1;2;3;4	663	90	57
	877	1;2;3;4	663	90	28
	878	1;2;3;4	663	90	2
	841	1;2;3;4	663	90	57
	656				
	879	1;2;3;4	663	90	13
	880	1;2;3;4	663	90	30
	881	1;2;3;4	663	90	54
	882	1;2;3;4	663	90	38
	883	1;2;3;4	663	90	5
	884	1;2;3;4	663	90	12
	845	1;2;3;4	663	90	45
	885				
	929	1;2;3;4	663	90	9
	921	1;2;3;4	663	90	36
	926	1;2;3;4	663	90	34
	930	1;2;3;4	663	90	9
	925	1;2;3;4	663	90	33
	923	1;2;3;4	663	90	40
	915	1;2;3;4	663	90	36
	922	1;2;3;4	663	90	33
	1209	1;2;3;4	663	90	44
	889	1;2;3;4	663	90	40
	895	1;2;3;4	663	90	9
	899	1;2;3;4	663	90	36
	924	1;2;3;4	663	90	34
	1208	1;2;3;4	663	90	44
	914	1;2;3;4	663	90	33
	897	1;2;3;4	663	90	34
	928	1;2;3;4	663	90	18
	931	1;2;3;4	663	90	44
	888				
	920	1;2;3;4	663	90	63
	917				
	919				
	918				
	909				
	910				
	911				
	902				
	913				
	912				
	900				
	901				
	904				
	907				
	908				
	906				
	903				
	927				
	916				
	21				
	25				
	615				
	40				
	41				
	42				
	43				
	618				
	306				
	312				
	620				
	50				
	623				
	638				
	46				
	48				
	30				
	626				
	627				
	44				
	45				
	629				
	55				
	812				
	813				
	814				
	635				
	53				
	54				
	779				
	782				
	49				
	51				
	791				
	52				
	28				
	785				
	786				
	787				
	775				
	771				
	772				
	773				
	47				
	671				
	672				
	673				
	674				
	62				
	88				
	56				
	276				
	329				
	455				
	680				
	271				
	682				
	270				
	842				
	684				
	792				
	685				
	843				
	617				
	64				
	65				
	688				
	61				
	280				
	788				
	95				
	58				
	619				
	806				
	691				
	93				
	767				
	769				
	693				
	92				
	695				
	696				
	697				
	698				
	91				
	776				
	94				
	57				
	621				
	66				
	658				
	67				
	624				
	703				
	625				
	770				
	704				
	659				
	660				
	661				
	705				
	784				
	628				
	662				
	59				
	706				
	653				
	663				
	63				
	774				
	808				
	766				
	631				
	15				
	664				
	665				
	783				
	654				
	60				
	765				
	762				
	707				
	763				
	790				
	764				
	793				
	708				
	794				
	780				
	709	1;2;3;4	663	60	27
	758	1;2;3;4	663	60	5
	761	1;2;3;4	663	60	27
	759	1;2;3;4	663	60	5
	760				
	469	1;2;3;4	663	60	38
	544	1;2;3;4	663	60	38
	545	1;2;3;4	663	60	38
	546	1;2;3;4	663	60	38
	547	1;2;3;4	663	60	38
	548	1;2;3;4	663	60	38
	549	1;2;3;4	663	60	38
	550	1;2;3;4	663	60	38
	551	1;2;3;4	663	60	47
	552	1;2;3;4	663	60	47
	553	1;2;3;4	663	60	47
	554	1;2;3;4	663	60	47
	555	1;2;3;4	663	60	47
	556	1;2;3;4	663	60	2
	557	1;2;3;4	663	60	2
	558	1;2;3;4	663	60	2
	559	1;2;3;4	663	60	27
	560	1;2;3;4	663	60	27
	561	1;2;3;4	663	60	29
	562	1;2;3;4	663	60	29
	563	1;2;3;4	663	60	29
	564	1;2;3;4	663	60	29
	565	1;2;3;4	663	60	29
	566	1;2;3;4	663	60	29
	612	1;2;3;4	663	60	29
	651	1;2;3;4	663	60	37
	834	1;2;3;4	663	60	37
	835	1;2;3;4	663	60	37
	836	1;2;3;4	663	60	37
	837	1;2;3;4	663	60	37
	781	1;2;3;4	663	60	42
	652	1;2;3;4	663	60	42
	810	1;2;3;4	663	60	42
	789	1;2;3;4	663	60	42
	811	1;2;3;4	663	60	42
	655	1;2;3;4	663	60	20
	822	1;2;3;4	663	60	20
	819	1;2;3;4	663	60	20
	820	1;2;3;4	663	60	20
	821	1;2;3;4	663	60	20
	642	1;2;3;4	663	60	58
	818	1;2;3;4	663	60	58
	823	1;2;3;4	663	60	58
	824	1;2;3;4	663	60	58
	825	1;2;3;4	663	60	58
	1210				
	1211				
	1212				
	1213				
	1214				
	1215				
	1216				
	1217				
	1218				
	1219				
	1220				
	1221				
	1222				
	1223				
	1224				
	1225				
	1259				
	1226				
	1227				
	1228				
	1229				
	1230				
	1231				
	1232				
	1233				
	1234				
	1235				
	1236				
	1237				
	1238				
	1239				
	1240				
	1241				
	1242				
	1243				
	1244				
	1245				
	1246				
	1247				
	1248				
	1249				
	1250				
	1251				
	1252				
	1253				
	1254				
	1255				
	1256				
	1257				
	898				
	521	1;2;3;4	663	70	38
	522	1;2;3;4	663	70	38
	525	1;2;3;4	663	70	50
	941	1;2;3;4	663	70	38
	944	1;2;3;4	663	70	50
	947	1;2;3;4	663	70	38
	950				
	523				
	953	1;2;3;4	663	70	2
	956	1;2;3;4	663	70	2
	959	1;2;3;4	663	70	27
	962	1;2;3;4	663	70	2
	965	1;2;3;4	663	70	2
	968	1;2;3;4	663	70	27
	971	1;2;3;4	663	70	28
	974	1;2;3;4	663	70	27
	977	1;2;3;4	663	70	2
	980	1;2;3;4	663	70	27
	983	1;2;3;4	663	70	2
	986				
	989	1;2;3;4	663	70	28
	992				
	995	1;2;3;4	663	70	10
	998	1;2;3;4	663	70	24
	1001	1;2;3;4	663	70	10
	1004	1;2;3;4	663	70	24
	1007	1;2;3;4	663	70	14
	1010	1;2;3;4	663	70	24
	1013	1;2;3;4	663	70	10
	1016	1;2;3;4	663	70	24
	1019	1;2;3;4	663	70	14
	1022	1;2;3;4	663	70	24
	1025	1;2;3;4	663	70	10
	1028	1;2;3;4	663	70	14
	1031				
	526	1;2;3;4	663	70	47
	527	1;2;3;4	663	70	47
	1034	1;2;3;4	663	70	47
	1037	1;2;3;4	663	70	47
	1040	1;2;3;4	663	70	47
	528	1;2;3;4	663	70	47
	1043	1;2;3;4	663	70	47
	530				
	1046	1;2;3;4	663	70	16
	1049	1;2;3;4	663	70	60
	1052	1;2;3;4	663	70	16
	1055	1;2;3;4	663	70	16
	1058	1;2;3;4	663	70	60
	1061	1;2;3;4	663	70	16
	1064	1;2;3;4	663	70	22
	1067	1;2;3;4	663	70	16
	1070	1;2;3;4	663	70	60
	1073	1;2;3;4	663	70	16
	1076	1;2;3;4	663	70	60
