Item Set	Item TID	Probability	Skill Level			
1	4930	40	1			
	4921	30				
	4933	30				
	4930	40	2			
	4921	30				
	4933	30				
	4930	35	3			
	4921	30				
	4933	30				
	4931	5				
	4930	35	4			
	4921	30				
	4933	30				
	4931	5				
	4930	35	5			
	4921	30				
	4933	25				
	4931	5				
	4925	5				
	4930	35	6			
	4921	30				
	4933	25				
	4931	5				
	4925	5				
	4930	35	7			
	4921	25				
	4933	25				
	4931	5				
	4925	5				
	4934	5				
	4930	35	8			
	4921	25				
	4933	25				
	4931	5				
	4925	5				
	4934	5				
	4930	30	9			
	4921	25				
	4933	25				
	4931	5				
	4925	5				
	4934	5				
	4932	5				
	4930	30	10			
	4921	25				
	4933	25				
	4931	5				
	4925	5				
	4934	5				
	4932	5				
	4930	25	11			
	4921	25				
	4933	25				
	4931	10				
	4925	5				
	4934	5				
	4932	5				
	4930	25	12			
	4921	20				
	4933	25				
	4931	10				
	4925	10				
	4934	5				
	4932	5				
	4930	25	13			
	4921	20				
	4933	20				
	4931	10				
	4925	10				
	4934	10				
	4932	5				
	4930	20	14			
	4921	20				
	4933	20				
	4931	10				
	4925	10				
	4934	10				
	4932	10				
	4930	20	15			
	4921	20				
	4933	20				
	4931	10				
	4925	10				
	4934	10				
	4932	10				
2	4963	40	1			
	4960	30				
	4927	30				
	4963	40	2			
	4960	30				
	4927	30				
	4963	35	3			
	4960	30				
	4927	30				
	4964	5				
	4963	35	4			
	4960	30				
	4927	30				
	4964	5				
	4963	35	5			
	4960	30				
	4927	25				
	4964	5				
	4961	5				
	4963	35	6			
	4960	30				
	4927	25				
	4964	5				
	4961	5				
	4963	35	7			
	4960	25				
	4927	25				
	4964	5				
	4961	5				
	4928	5				
	4963	35	8			
	4960	25				
	4927	25				
	4964	5				
	4961	5				
	4928	5				
	4963	30	9			
	4960	25				
	4927	25				
	4964	5				
	4961	5				
	4928	5				
	4965	5				
	4963	30	10			
	4960	25				
	4927	25				
	4964	5				
	4961	5				
	4928	5				
	4965	5				
	4963	25	11			
	4960	25				
	4927	25				
	4964	10				
	4961	5				
	4928	5				
	4965	5				
	4963	25	12			
	4960	20				
	4927	25				
	4964	10				
	4961	10				
	4928	5				
	4965	5				
	4963	25	13			
	4960	20				
	4927	20				
	4964	10				
	4961	10				
	4928	10				
	4965	5				
	4963	20	14			
	4960	20				
	4927	20				
	4964	10				
	4961	10				
	4928	10				
	4965	10				
	4963	20	15			
	4960	20				
	4927	20				
	4964	10				
	4961	10				
	4928	10				
	4965	10				
3	4921	40	1			
	4933	30				
	4930	30				
	4921	40	2			
	4933	30				
	4930	30				
	4921	35	3			
	4933	30				
	4930	30				
	4925	5				
	4921	35	4			
	4933	30				
	4930	30				
	4925	5				
	4921	35	5			
	4933	30				
	4930	25				
	4925	5				
	4934	5				
	4921	35	6			
	4933	30				
	4930	25				
	4925	5				
	4934	5				
	4921	35	7			
	4933	25				
	4930	25				
	4925	5				
	4934	5				
	4931	5				
	4921	35	8			
	4933	25				
	4930	25				
	4925	5				
	4934	5				
	4931	5				
	4921	30	9			
	4933	25				
	4930	25				
	4925	5				
	4934	5				
	4931	5				
	4926	5				
	4921	30	10			
	4933	25				
	4930	25				
	4925	5				
	4934	5				
	4931	5				
	4926	5				
	4921	25	11			
	4933	25				
	4930	25				
	4925	10				
	4934	5				
	4931	5				
	4926	5				
	4921	25	12			
	4933	20				
	4930	25				
	4925	10				
	4934	10				
	4931	5				
	4926	5				
	4921	25	13			
	4933	20				
	4930	20				
	4925	10				
	4934	10				
	4931	10				
	4926	5				
	4921	20	14			
	4933	20				
	4930	20				
	4925	10				
	4934	10				
	4931	10				
	4926	10				
	4921	20	15			
	4933	20				
	4930	20				
	4925	10				
	4934	10				
	4931	10				
	4926	10				
4	4942	40	1			
	4921	30				
	4933	30				
	4942	40	2			
	4921	30				
	4933	30				
	4942	35	3			
	4921	30				
	4933	30				
	4943	5				
	4942	35	4			
	4921	30				
	4933	30				
	4943	5				
	4942	35	5			
	4921	30				
	4933	25				
	4943	5				
	4925	5				
	4942	35	6			
	4921	30				
	4933	25				
	4943	5				
	4925	5				
	4942	35	7			
	4921	25				
	4933	25				
	4943	5				
	4925	5				
	4934	5				
	4942	35	8			
	4921	25				
	4933	25				
	4943	5				
	4925	5				
	4934	5				
	4942	30	9			
	4921	25				
	4933	25				
	4943	5				
	4925	5				
	4934	5				
	4944	5				
	4942	30	10			
	4921	25				
	4933	25				
	4943	5				
	4925	5				
	4934	5				
	4944	5				
	4942	25	11			
	4921	25				
	4933	25				
	4943	10				
	4925	5				
	4934	5				
	4944	5				
	4942	25	12			
