PC레벨차	해골레벨	위험지역드롭확률(%)										
40	1	0										
39	1	1										
38	1	1										
37	1	1										
36	1	1										
35	1	1										
34	1	1										
33	1	1										
32	1	1										
31	1	1										
30	1	1										
29	1	2										
28	1	2										
27	1	2										
26	1	2										
25	1	2										
24	1	2										
23	1	2										
22	1	2										
21	1	2										
20	1	4										
19	1	4										
18	1	4										
17	1	4										
16	1	4										
15	1	6										
14	1	6										
13	1	6										
12	1	6										
11	1	6										
10	1	6										
9	1	8										
8	1	8										
7	1	8										
6	1	8										
5	1	10										
4	1	10										
3	1	10										
2	1	10										
1	1	10										
0	1	10										
-1	1	10										
-2	1	10										
-3	1	10										
-4	1	10										
-5	1	10										
-6	1	8										
-7	1	8										
-8	1	8										
-9	1	8										
-10	1	8										
-11	1	6										
-12	1	6										
-13	1	6										
-14	1	6										
-15	1	6										
-16	1	4										
-17	1	4										
-18	1	4										
-19	1	4										
-20	1	4										
-21	1	2										
-22	1	2										
-23	1	2										
-24	1	2										
-25	1	2										
-26	1	2										
-27	1	2										
-28	1	2										
-29	1	2										
-30	1	1										
-31	1	1										
-32	1	1										
-33	1	1										
-34	1	1										
-35	1	1										
1:40	1	-1										
41:70	2	-1										
71:100	3	-1										
