카테고리	Item TID	결과 Item TID	필요 수량	정제 금액	성공 확률
100	203	264	10	100	100
100	264	265	10	500	100
100	265	266	10	2000	100
100	266	267	10	5000	100
100	202	244	10	100	100
100	244	245	10	500	100
100	245	246	10	2000	100
100	246	247	10	5000	100
100	201	260	10	100	100
100	260	261	10	500	100
100	261	262	10	2000	100
100	262	263	10	5000	100
100	200	252	10	100	100
100	252	253	10	500	100
100	253	254	10	2000	100
100	254	255	10	5000	100
100	204	256	10	100	100
100	256	257	10	500	100
100	257	258	10	2000	100
100	258	259	10	5000	100
200	500	981	10	100	100
200	981	982	10	500	100
200	982	983	10	2000	100
200	983	984	10	5000	100
