Option TID	可记郴侩	Option GroupID	 Inchant Rate
1002	傍拜仿 +3	1	50
1002	傍拜仿 +3	1	150
1088	傍拜仿 +4	1	1545
1088	傍拜仿 +4	1	4000
1088	傍拜仿 +4	1	2000
1088	傍拜仿 +4	1	1244
1088	傍拜仿 +4	1	1000
1003	傍拜仿 +5	1	10
1003	傍拜仿 +5	1	1
1089	规绢仿 +3	2	50
1089	规绢仿 +3	2	150
1090	规绢仿 +4	2	1545
1090	规绢仿 +4	2	4000
1090	规绢仿 +4	2	2000
1090	规绢仿 +4	2	1244
1090	规绢仿 +4	2	1000
1091	规绢仿 +5	2	10
1091	规绢仿 +5	2	1
1025	瘤驱 +6	3	50
1026	瘤驱 +7	3	150
1027	瘤驱 +8	3	1545
1028	瘤驱 +9	3	4000
1029	瘤驱 +10	3	2000
1030	瘤驱 +11	3	1244
1031	瘤驱 +12	3	1000
1032	瘤驱 +13	3	10
1033	瘤驱 +14	3	1
1069	葛电 胶湃 + 2	4	50
1070	葛电 胶湃 + 3	4	150
1071	葛电 胶湃 + 4	4	1545
1072	葛电 胶湃 + 5	4	4000
1073	葛电 胶湃 + 6	4	2000
1092	葛电 胶湃 + 7	4	1244
1093	葛电 胶湃 + 8	4	1000
1094	葛电 胶湃 + 9	4	10
1095	葛电 胶湃 + 10	4	1
1034	塞 +6	5	50
1035	塞 +7	5	150
1036	塞 +8	5	745
1037	塞 +9	5	2000
1038	塞 +10	5	4000
1039	塞 +11	5	2000
1040	塞 +12	5	1000
1041	塞 +13	5	50
1042	塞 +14	5	5
1074	葛电 加己 历亲 + 10%	6	8000
1075	葛电 加己 历亲 + 15%	6	1980
1076	葛电 加己 历亲 + 20%	6	20
1077	葛电 加己 历亲 + 25%	6	0
1078	葛电 加己 历亲 + 30%	6	0
1046	瘤侥 +6	7	50
1047	瘤侥 +7	7	150
1048	瘤侥 +8	7	745
1049	瘤侥 +9	7	2000
1050	瘤侥 +10	7	4000
1051	瘤侥 +11	7	2000
1052	瘤侥 +12	7	1000
1053	瘤侥 +13	7	50
1054	瘤侥 +14	7	5
1055	刮酶 +6	8	50
1056	刮酶 +7	8	150
1057	刮酶 +8	8	745
1058	刮酶 +9	8	2000
1059	刮酶 +10	8	4000
1060	刮酶 +11	8	2000
1061	刮酶 +12	8	1000
1062	刮酶 +13	8	50
1063	刮酶 +14	8	5
1177	3攻击率+2% 所有属性点+2 所有属性抵抗+3	9	10000
1189	3所有属性点+2 最大生命+3% 所有属性攻击+2 物理防御+3	10	9000
1201	3提高攻击速度 +2%  攻击率+2%	11	8000
1213	3物理防御+3 物理攻击抵抗+3% 所有属性点+2	12	10000
1225	3提高移动速度 +2% 所有属性点 +2	13	9000
1226	3提高攻击速度 +2%  攻击率+2% 所有属性点+2 物理攻击+3	14	10000
