기술 명	기술 설명	스킬레벨	스킬타입		세부스킬타입	나이트클래스전용	아처클래스전용	메이지클래스전용	버서커클래스전용	헌터클래스전용	소서러클래스전용	어쌔신클래스전용	레인저클래스전용	엘리멘탈리스트클래스전용	슬레이어클래스전용	스카우터클래스전용	서머너클래스전용	요구레벨	요구스킬포인트	기본 공격포인트	마법 공격포인트	물 공격포인트	공기 공격포인트	땅 공격포인트	불 공격포인트	독 공격포인트	얼음 공격포인트	번개 공격포인트		기본 공격%	마법 공격%	물 공격%	공기 공격%	땅 공격%	불 공격%	독 공격%	얼음 공격%	번개 공격%			소모생명	소모마나		소모화살	생명감소	시전시간	재시전시간		지속시간	인터벌		시전거리	원형범위	직선범위	직선폭	지속공격	마법 지속공격포인트	물 지속공격포인트	공기 지속공격포인트	땅 지속공격포인트	불 지속공격포인트	독 지속공격포인트	얼음 지속공격포인트	번개 지속공격포인트	지속공격%	마법 지속공격%	물 지속공격%	공기 지속공격%	땅 지속공격%	불 지속공격%	독 지속공격%	얼음 지속공격%	번개 지속공격%	밀림거리	공격반사															방패블럭	스턴타임	크리티컬	스킬사정거리	스킬성공률	공격변환생명	공격변환마나	생명증가포인트	마나증가포인트	1차지공격	2차지공격	3차지공격	어그로돌생명	지속공격간격	마나소모감소	시전시간감소	스킬레벨증가	마나변환생명	데스공격	비용	업그레이드비용				소환수			추가지속시간	타겟	최대수	보너스경험치	보너스겔드	추가 기본 공격포인트	추가 마법 공격포인트	추가 물 공격포인트	추가 공기 공격포인트	추가 땅 공격포인트	추가 불 공격포인트	추가 독 공격포인트	추가 얼음 공격포인트	추가 번개 공격포인트		추가 기본 공격%	추가 마법 공격%	추가 물 공격%	추가 공기 공격%	추가 땅 공격%	추가 불 공격%	추가 독 공격%	추가 얼음 공격%	추가 번개 공격%		FACTOR_POINT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	스킬블럭	FACTOR_PERCENT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	스킬블럭				desc
일반공격	선택된 타겟을 공격	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V																																																																																																																																																																																																																																						
듀얼 슬래시	무기로 두번 연속공격	V	V	V		V			V									V	V											V												V				V	V	V			V																																																										V																																																																																																																																												
리니어 블로우	직선 범위내 대상들을 공격	V	V	V		V			V									V	V											V												V				V	V	V						V	V																																																						V																																																																																																																																												
실드 어택	방패로 대상을 공격한후 일정확률로 스턴	V	V	V		V			V									V	V											V												V				V	V	V				V																																							V			V															V																																																																																																																																												
트리플 슬래시	무기로 세번 연속공격	V	V	V		V			V									V	V											V												V				V	V	V			V																																																										V																																																																																																																																												
블레이드 스팅	한손검류로 찌르기 공격	V	V	V		V			V									V	V											V	V											V				V	V	V																																																													V																																																																																																																																												
스턴 스매셔	한손둔기류와 양손둔기류로 스턴공격	V	V	V		V			V									V	V											V												V				V	V	V																																											V			V															V																																																																																																																																												
스윙 암즈	양손무기류(양손둔기제외)로 범위 공격	V	V	V		V			V									V	V											V												V				V	V	V						V	V																																																						V																																																																																																																																												
브리드 액스	한손도끼류로 공격하여 출혈 발생	V	V	V		V			V									V	V											V												V				V	V	V	V							V																																															V						V																																																																																																																																												
데스 모멘트	명중률은 떨어지지만 극단적인 대미지로 공격	V	V	V		V			V									V	V											V												V				V	V	V																																														V															V																																																																																																																																												
후크	원형 범위내 대상에게 추가 공격	V	V	V		V			V									V	V											V												V				V	V	V				V	V																																																								V																																																																																																																																												
빅 휠	원형 범위내 대상들을 회전공격	V	V	V		V			V									V	V											V												V				V	V	V				V	V																																																								V																																																																																																																																												
드래곤 디바이드	무기로 연속공격후 드래곤 출현	V	V	V		V			V									V	V											V												V				V	V	V						V	V																																																						V																																																																																																																																												
퀵커	자신의 공격 속도 증가	V	V		V	V			V									V	V																							V				V	V	V	V																																																												V		V	V																																																																																																		V																																							공격속도증가
컴뱃 에코	일정시간동안 자신과 원형 범위 내 파티의 상태 강화	V	V		V	V			V									V	V																							V				V	V	V	V			V	V																																																								V																																		V	V		V																																																																																																							상태강화
굿 블레이드	한손 검류에 대미지 추가	V	V		V	V			V									V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
굿 액스	한손 도끼류에 대미지 추가	V	V		V	V			V									V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
굿 블런트	한손 둔기와 양손둔기류에 대미지 추가	V	V		V	V			V									V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
굿 암즈	양손검과 양손할버드류에 대미지 추가	V	V		V	V			V									V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
페이스 디펜더	일정시간동안 방패의 블럭률 증가	V	V		V	V			V									V	V																							V				V	V	V	V																																									V																			V																																																																																																																																												블럭률증가
스턴 프로텍트	일정시간동안 스턴공격에 대한 방어증가	V	V		V	V			V									V	V																							V				V	V	V	V																																													V															V																																																																																																																																												스턴방어
샤우팅	일정시간동안 방어력 증가	V	V		V	V												V	V																							V				V	V	V	V																																																												V																																																																										V																																																																		물리방어력증가
