스킬종류	레벨	지급경험치 최소값	지급경험치 최대값	성공요구값	성공확률 최소값	성공확률 최대값	레벨업경험치	레벨업누적경험치
가죽 벗기기	1	4	6	3	40	45	15	15
가죽 벗기기	2	4	6	5	40	45	25	40
가죽 벗기기	3	4	6	10	40	45	50	90
가죽 벗기기	4	4	6	10	40	45	50	140
가죽 벗기기	5	4	6	10	40	45	50	190
가죽 벗기기	6	4	6	15	40	45	75	265
가죽 벗기기	7	4	6	15	40	45	75	340
가죽 벗기기	8	4	6	15	40	45	75	415
가죽 벗기기	9	4	6	15	40	45	75	490
가죽 벗기기	10	4	6	15	40	45	75	565
가죽 벗기기	11	8	10	20	40	45	180	745
가죽 벗기기	12	8	10	20	40	45	180	925
가죽 벗기기	13	8	10	20	40	45	180	1105
가죽 벗기기	14	8	10	20	40	45	180	1285
가죽 벗기기	15	8	10	20	40	45	180	1465
가죽 벗기기	16	8	10	20	40	45	180	1645
가죽 벗기기	17	8	10	20	40	45	180	1825
가죽 벗기기	18	8	10	20	40	45	180	2005
가죽 벗기기	19	8	10	20	40	45	180	2185
가죽 벗기기	20	8	10	20	40	45	180	2365
가죽 벗기기	21	12	14	25	45	50	325	2690
가죽 벗기기	22	12	14	25	45	50	325	3015
가죽 벗기기	23	12	14	25	45	50	325	3340
가죽 벗기기	24	12	14	25	45	50	325	3665
가죽 벗기기	25	12	14	25	45	50	325	3990
가죽 벗기기	26	12	14	25	45	50	325	4315
가죽 벗기기	27	12	14	25	45	50	325	4640
가죽 벗기기	28	12	14	25	45	50	325	4965
가죽 벗기기	29	12	14	25	45	50	325	5290
가죽 벗기기	30	12	14	25	45	50	325	5615
가죽 벗기기	31	16	18	30	50	55	510	6125
가죽 벗기기	32	16	18	30	50	55	510	6635
가죽 벗기기	33	16	18	30	50	55	510	7145
가죽 벗기기	34	16	18	30	50	55	510	7655
가죽 벗기기	35	16	18	30	50	55	510	8165
가죽 벗기기	36	16	18	30	50	55	510	8675
가죽 벗기기	37	16	18	30	50	55	510	9185
가죽 벗기기	38	16	18	30	50	55	510	9695
가죽 벗기기	39	16	18	30	50	55	510	10205
가죽 벗기기	40	16	18	30	50	55	510	10715
가죽 벗기기	41	20	22	40	55	60	840	11555
가죽 벗기기	42	20	22	40	55	60	840	12395
가죽 벗기기	43	20	22	40	55	60	840	13235
가죽 벗기기	44	20	22	40	55	60	840	14075
가죽 벗기기	45	20	22	40	55	60	840	14915
가죽 벗기기	46	20	22	40	55	60	840	15755
가죽 벗기기	47	20	22	40	55	60	840	16595
가죽 벗기기	48	20	22	40	55	60	840	17435
가죽 벗기기	49	20	22	40	55	60	840	18275
가죽 벗기기	50	20	22	40	55	60	840	19115
가죽 벗기기	51	24	26	50	60	65	1250	20365
가죽 벗기기	52	24	26	50	60	65	1250	21615
가죽 벗기기	53	24	26	50	60	65	1250	22865
가죽 벗기기	54	24	26	50	60	65	1250	24115
가죽 벗기기	55	24	26	50	60	65	1250	25365
가죽 벗기기	56	24	26	50	60	65	1250	26615
가죽 벗기기	57	24	26	50	60	65	1250	27865
가죽 벗기기	58	24	26	50	60	65	1250	29115
가죽 벗기기	59	24	26	50	60	65	1250	30365
가죽 벗기기	60	24	26	50	60	65	1250	31615
가죽 벗기기	61	28	30	60	65	70	1740	33355
가죽 벗기기	62	28	30	60	65	70	1740	35095
가죽 벗기기	63	28	30	60	65	70	1740	36835
가죽 벗기기	64	28	30	60	65	70	1740	38575
가죽 벗기기	65	28	30	60	65	70	1740	40315
가죽 벗기기	66	28	30	60	65	70	1740	42055
가죽 벗기기	67	28	30	60	65	70	1740	43795
가죽 벗기기	68	28	30	60	65	70	1740	45535
가죽 벗기기	69	28	30	60	65	70	1740	47275
가죽 벗기기	70	28	30	60	65	70	1740	49015
가죽 벗기기	71	32	34	70	70	75	2310	51325
가죽 벗기기	72	32	34	70	70	75	2310	53635
가죽 벗기기	73	32	34	70	70	75	2310	55945
가죽 벗기기	74	32	34	70	70	75	2310	58255
가죽 벗기기	75	32	34	70	70	75	2310	60565
가죽 벗기기	76	32	34	70	70	75	2310	62875
가죽 벗기기	77	32	34	70	70	75	2310	65185
가죽 벗기기	78	32	34	70	70	75	2310	67495
가죽 벗기기	79	32	34	70	70	75	2310	69805
가죽 벗기기	80	32	34	80	70	75	2640	72445
가죽 벗기기	81	36	38	80	75	80	2960	75405
가죽 벗기기	82	36	38	80	75	80	2960	78365
가죽 벗기기	83	36	38	80	75	80	2960	81325
가죽 벗기기	84	36	38	80	75	80	2960	84285
가죽 벗기기	85	36	38	80	75	80	2960	87245
가죽 벗기기	86	36	38	80	75	80	2960	90205
가죽 벗기기	87	36	38	80	75	80	2960	93165
가죽 벗기기	88	36	38	80	75	80	2960	96125
가죽 벗기기	89	36	38	80	75	80	2960	99085
가죽 벗기기	90	36	38	80	75	80	2960	102045
가죽 벗기기	91	40	42	90	80	85	3690	105735
가죽 벗기기	92	40	42	90	80	85	3690	109425
가죽 벗기기	93	40	42	90	80	85	3690	113115
가죽 벗기기	94	40	42	90	80	85	3690	116805
가죽 벗기기	95	40	42	90	80	85	3690	120495
가죽 벗기기	96	40	42	90	80	85	3690	124185
가죽 벗기기	97	40	42	90	80	85	3690	127875
가죽 벗기기	98	40	42	90	80	85	3690	131565
가죽 벗기기	99	40	42	90	80	85	3690	135255
가죽 벗기기	100	40	42	100	80	85	4100	139355
고기 잘라내기	1	4	6	3	40	45	15	15
고기 잘라내기	2	4	6	5	40	45	25	40
고기 잘라내기	3	4	6	10	40	45	50	90
고기 잘라내기	4	4	6	10	40	45	50	140
고기 잘라내기	5	4	6	10	40	45	50	190
고기 잘라내기	6	4	6	15	40	45	75	265
고기 잘라내기	7	4	6	15	40	45	75	340
고기 잘라내기	8	4	6	15	40	45	75	415
고기 잘라내기	9	4	6	15	40	45	75	490
고기 잘라내기	10	4	6	15	40	45	75	565
고기 잘라내기	11	8	10	20	40	45	180	745
고기 잘라내기	12	8	10	20	40	45	180	925
고기 잘라내기	13	8	10	20	40	45	180	1105
고기 잘라내기	14	8	10	20	40	45	180	1285
고기 잘라내기	15	8	10	20	40	45	180	1465
고기 잘라내기	16	8	10	20	40	45	180	1645
고기 잘라내기	17	8	10	20	40	45	180	1825
고기 잘라내기	18	8	10	20	40	45	180	2005
고기 잘라내기	19	8	10	20	40	45	180	2185
고기 잘라내기	20	8	10	20	40	45	180	2365
고기 잘라내기	21	12	14	25	45	50	325	2690
고기 잘라내기	22	12	14	25	45	50	325	3015
고기 잘라내기	23	12	14	25	45	50	325	3340
고기 잘라내기	24	12	14	25	45	50	325	3665
고기 잘라내기	25	12	14	25	45	50	325	3990
고기 잘라내기	26	12	14	25	45	50	325	4315
고기 잘라내기	27	12	14	25	45	50	325	4640
고기 잘라내기	28	12	14	25	45	50	325	4965
고기 잘라내기	29	12	14	25	45	50	325	5290
고기 잘라내기	30	12	14	25	45	50	325	5615
고기 잘라내기	31	16	18	30	50	55	510	6125
고기 잘라내기	32	16	18	30	50	55	510	6635
고기 잘라내기	33	16	18	30	50	55	510	7145
고기 잘라내기	34	16	18	30	50	55	510	7655
고기 잘라내기	35	16	18	30	50	55	510	8165
고기 잘라내기	36	16	18	30	50	55	510	8675
고기 잘라내기	37	16	18	30	50	55	510	9185
고기 잘라내기	38	16	18	30	50	55	510	9695
고기 잘라내기	39	16	18	30	50	55	510	10205
고기 잘라내기	40	16	18	30	50	55	510	10715
고기 잘라내기	41	20	22	40	55	60	840	11555
고기 잘라내기	42	20	22	40	55	60	840	12395
고기 잘라내기	43	20	22	40	55	60	840	13235
고기 잘라내기	44	20	22	40	55	60	840	14075
고기 잘라내기	45	20	22	40	55	60	840	14915
고기 잘라내기	46	20	22	40	55	60	840	15755
고기 잘라내기	47	20	22	40	55	60	840	16595
고기 잘라내기	48	20	22	40	55	60	840	17435
고기 잘라내기	49	20	22	40	55	60	840	18275
고기 잘라내기	50	20	22	40	55	60	840	19115
고기 잘라내기	51	24	26	50	60	65	1250	20365
고기 잘라내기	52	24	26	50	60	65	1250	21615
고기 잘라내기	53	24	26	50	60	65	1250	22865
고기 잘라내기	54	24	26	50	60	65	1250	24115
고기 잘라내기	55	24	26	50	60	65	1250	25365
고기 잘라내기	56	24	26	50	60	65	1250	26615
고기 잘라내기	57	24	26	50	60	65	1250	27865
고기 잘라내기	58	24	26	50	60	65	1250	29115
고기 잘라내기	59	24	26	50	60	65	1250	30365
고기 잘라내기	60	24	26	50	60	65	1250	31615
고기 잘라내기	61	28	30	60	65	70	1740	33355
고기 잘라내기	62	28	30	60	65	70	1740	35095
고기 잘라내기	63	28	30	60	65	70	1740	36835
고기 잘라내기	64	28	30	60	65	70	1740	38575
고기 잘라내기	65	28	30	60	65	70	1740	40315
고기 잘라내기	66	28	30	60	65	70	1740	42055
고기 잘라내기	67	28	30	60	65	70	1740	43795
고기 잘라내기	68	28	30	60	65	70	1740	45535
고기 잘라내기	69	28	30	60	65	70	1740	47275
고기 잘라내기	70	28	30	60	65	70	1740	49015
고기 잘라내기	71	32	34	70	70	75	2310	51325
고기 잘라내기	72	32	34	70	70	75	2310	53635
고기 잘라내기	73	32	34	70	70	75	2310	55945
고기 잘라내기	74	32	34	70	70	75	2310	58255
고기 잘라내기	75	32	34	70	70	75	2310	60565
고기 잘라내기	76	32	34	70	70	75	2310	62875
고기 잘라내기	77	32	34	70	70	75	2310	65185
고기 잘라내기	78	32	34	70	70	75	2310	67495
고기 잘라내기	79	32	34	70	70	75	2310	69805
고기 잘라내기	80	32	34	80	70	75	2640	72445
고기 잘라내기	81	36	38	80	75	80	2960	75405
고기 잘라내기	82	36	38	80	75	80	2960	78365
고기 잘라내기	83	36	38	80	75	80	2960	81325
고기 잘라내기	84	36	38	80	75	80	2960	84285
고기 잘라내기	85	36	38	80	75	80	2960	87245
고기 잘라내기	86	36	38	80	75	80	2960	90205
고기 잘라내기	87	36	38	80	75	80	2960	93165
고기 잘라내기	88	36	38	80	75	80	2960	96125
고기 잘라내기	89	36	38	80	75	80	2960	99085
고기 잘라내기	90	36	38	80	75	80	2960	102045
고기 잘라내기	91	40	42	90	80	85	3690	105735
고기 잘라내기	92	40	42	90	80	85	3690	109425
고기 잘라내기	93	40	42	90	80	85	3690	113115
고기 잘라내기	94	40	42	90	80	85	3690	116805
고기 잘라내기	95	40	42	90	80	85	3690	120495
고기 잘라내기	96	40	42	90	80	85	3690	124185
고기 잘라내기	97	40	42	90	80	85	3690	127875
고기 잘라내기	98	40	42	90	80	85	3690	131565
고기 잘라내기	99	40	42	90	80	85	3690	135255
고기 잘라내기	100	40	42	100	80	85	4100	139355
요리하기	1	4	6	3	40	45	15	15
요리하기	2	4	6	5	40	45	25	40
요리하기	3	4	6	10	40	45	50	90
요리하기	4	4	6	10	40	45	50	140
요리하기	5	4	6	10	40	45	50	190
요리하기	6	4	6	15	40	45	75	265
요리하기	7	4	6	15	40	45	75	340
요리하기	8	4	6	15	40	45	75	415
요리하기	9	4	6	15	40	45	75	490
요리하기	10	4	6	15	40	45	75	565
요리하기	11	8	10	20	40	45	180	745
요리하기	12	8	10	20	40	45	180	925
요리하기	13	8	10	20	40	45	180	1105
요리하기	14	8	10	20	40	45	180	1285
요리하기	15	8	10	20	40	45	180	1465
요리하기	16	8	10	20	40	45	180	1645
요리하기	17	8	10	20	40	45	180	1825
요리하기	18	8	10	20	40	45	180	2005
요리하기	19	8	10	20	40	45	180	2185
요리하기	20	8	10	20	40	45	180	2365
요리하기	21	12	14	25	45	50	325	2690
요리하기	22	12	14	25	45	50	325	3015
요리하기	23	12	14	25	45	50	325	3340
요리하기	24	12	14	25	45	50	325	3665
요리하기	25	12	14	25	45	50	325	3990
요리하기	26	12	14	25	45	50	325	4315
요리하기	27	12	14	25	45	50	325	4640
요리하기	28	12	14	25	45	50	325	4965
요리하기	29	12	14	25	45	50	325	5290
요리하기	30	12	14	25	45	50	325	5615
요리하기	31	16	18	30	50	55	510	6125
요리하기	32	16	18	30	50	55	510	6635
요리하기	33	16	18	30	50	55	510	7145
요리하기	34	16	18	30	50	55	510	7655
요리하기	35	16	18	30	50	55	510	8165
요리하기	36	16	18	30	50	55	510	8675
요리하기	37	16	18	30	50	55	510	9185
요리하기	38	16	18	30	50	55	510	9695
요리하기	39	16	18	30	50	55	510	10205
요리하기	40	16	18	30	50	55	510	10715
요리하기	41	20	22	40	55	60	840	11555
요리하기	42	20	22	40	55	60	840	12395
요리하기	43	20	22	40	55	60	840	13235
요리하기	44	20	22	40	55	60	840	14075
요리하기	45	20	22	40	55	60	840	14915
요리하기	46	20	22	40	55	60	840	15755
요리하기	47	20	22	40	55	60	840	16595
요리하기	48	20	22	40	55	60	840	17435
요리하기	49	20	22	40	55	60	840	18275
요리하기	50	20	22	40	55	60	840	19115
요리하기	51	24	26	50	60	65	1250	20365
요리하기	52	24	26	50	60	65	1250	21615
요리하기	53	24	26	50	60	65	1250	22865
요리하기	54	24	26	50	60	65	1250	24115
요리하기	55	24	26	50	60	65	1250	25365
요리하기	56	24	26	50	60	65	1250	26615
요리하기	57	24	26	50	60	65	1250	27865
요리하기	58	24	26	50	60	65	1250	29115
요리하기	59	24	26	50	60	65	1250	30365
요리하기	60	24	26	50	60	65	1250	31615
요리하기	61	28	30	60	65	70	1740	33355
요리하기	62	28	30	60	65	70	1740	35095
요리하기	63	28	30	60	65	70	1740	36835
요리하기	64	28	30	60	65	70	1740	38575
요리하기	65	28	30	60	65	70	1740	40315
요리하기	66	28	30	60	65	70	1740	42055
요리하기	67	28	30	60	65	70	1740	43795
요리하기	68	28	30	60	65	70	1740	45535
요리하기	69	28	30	60	65	70	1740	47275
요리하기	70	28	30	60	65	70	1740	49015
요리하기	71	32	34	70	70	75	2310	51325
요리하기	72	32	34	70	70	75	2310	53635
요리하기	73	32	34	70	70	75	2310	55945
요리하기	74	32	34	70	70	75	2310	58255
요리하기	75	32	34	70	70	75	2310	60565
요리하기	76	32	34	70	70	75	2310	62875
요리하기	77	32	34	70	70	75	2310	65185
요리하기	78	32	34	70	70	75	2310	67495
요리하기	79	32	34	70	70	75	2310	69805
요리하기	80	32	34	80	70	75	2640	72445
요리하기	81	36	38	80	75	80	2960	75405
요리하기	82	36	38	80	75	80	2960	78365
요리하기	83	36	38	80	75	80	2960	81325
요리하기	84	36	38	80	75	80	2960	84285
요리하기	85	36	38	80	75	80	2960	87245
요리하기	86	36	38	80	75	80	2960	90205
요리하기	87	36	38	80	75	80	2960	93165
요리하기	88	36	38	80	75	80	2960	96125
요리하기	89	36	38	80	75	80	2960	99085
요리하기	90	36	38	80	75	80	2960	102045
요리하기	91	40	42	90	80	85	3690	105735
요리하기	92	40	42	90	80	85	3690	109425
요리하기	93	40	42	90	80	85	3690	113115
요리하기	94	40	42	90	80	85	3690	116805
요리하기	95	40	42	90	80	85	3690	120495
요리하기	96	40	42	90	80	85	3690	124185
요리하기	97	40	42	90	80	85	3690	127875
요리하기	98	40	42	90	80	85	3690	131565
요리하기	99	40	42	90	80	85	3690	135255
요리하기	100	40	42	100	80	85	4100	139355
