LineDelimiter	___
QuotationMark	\
Comma	`

MessageID	Message

UI_Name_OK	확인
UI_Name_Cancel	취소

Convert_Physical_Confirm	%s에서 %s로 강화할 준비가 되었네.___강화에 실패할 경우___아이템이 초기화되거나 파괴될 수 있다네.___강화하겠는가?
Convert_Physical_Success	단계로 개조되었습니다.
Convert_Physical_KeepCurrent	개조에 실패하였으나 아이템에는 변화가 없습니다.
Convert_Physical_Initialize_Same	아이템의 기본능력치가 초기화되었습니다. [+%d] -> [+0]
Convert_Physical_Initialize	개조에 실패하여 아이템이 초기화되었습니다.
Convert_Physical_Destroy	개조에 실패하여 아이템이 파괴되었습니다.

Convert_Rune_Confirm	%s에 기원석을 장착하면`___다음과 같은 능력이 추가되네.___%s___실패하는 경우 아이템이 초기화 되거나 파괴될 수 있네.___그러니 \확인\이든 \취소\든 선택하시게.
Convert_Rune_Success	이 장착되었습니다.
Convert_Rune_KeepCurrent	개조에 실패하였으나 아이템에는 변화가 없습니다.
Convert_Rune_Initialize_Same	기원석 장착에 실패하여 모든 계약의 고리 내용이 초기화 되었습니다.
Convert_Rune_Initialize	개조에 실패하여 아이템이 초기화되었습니다.
Convert_Rune_Destroy	개조에 실패하여 아이템이 파괴되었습니다.

Convert_Socket_Confirm	이제 %s에 \계약의 고리\를 추가할 것이네.___이 작업이 실패하는 경우 아이템이 초기화되거나`___파괴될 수 있네. 그러니 \확인\하게 되면 추가 작업을___할 것이네만` \취소\하면 기꺼이 그만두겠네.___계속하겠는가?
Convert_Socket_Success	계약의 고리가 %d개로 개조에 성공했습니다.
Convert_Socket_KeepCurrent	개조에 실패하였으나 아이템에는 변화가 없습니다.
Convert_Socket_Initialize_Same	계약의 고리 생성에 실패하여 모든 계약의 고리 내용이 초기화 되었습니다.
Convert_Socket_Initialize	개조에 실패하여 아이템이 초기화되었습니다.
Convert_Socket_Destroy	개조에 실패하여 아이템이 파괴되었습니다.
	
Convert_Init_Title	개조할 아이템을 올리십시오.
Convert_Physical_Improper_Item	개조할 수 없는 아이템입니다.
Convert_Physical_Already_Full	더 이상 개조할 수 없는 아이템입니다.
Convert_Physical_Cost_Catalyst	축성제는 한번에 1개씩 소비됩니다.
Convert_Rune_None	장착하고자 하는 기원석을 올리십시오.
Convert_Rune_Improper_Item	개조할 수 없는 아이템입니다.
Convert_Rune_Already_Full	더 이상 개조할 수 없는 아이템입니다.
Convert_Rune_Low_Item_Level	아이템의 레벨제한이 낮아 해당 기원석을 장착할 수 없습니다.
Convert_Rune_Already_Anti_Conv	해당 기원석은 함께 장착 할 수 없는 기원석입니다.
Convert_Rune_Invalid_Rune	이 기원석으로는 강화할 수 없는 아이템입니다.
Convert_Rune_Cost	기원석은 한번에 1개를 소모합니다.
Convert_Socket_Improper_Item	개조할 수 없는 아이템입니다.
Convert_Socket_Already_Full	더 이상 개조할 수 없는 아이템입니다.
Convert_Socket_NotEnoughMoney	겔드가 부족하여 계약의 고리를 추가 할 수 없습니다.

Money_Name	겔드

Item_Rank	랭크
Item_Equip_Type	아이템 타입
Item_Equip_One_Hand	한 손
Item_Equip_Two_Hand	두 손
Item_Attack_Speed_VerySlow	매우 느림
Item_Attack_Speed_Slow	느림
Item_Attack_Speed_Normal	보통
Item_Attack_Speed_Fast	빠름
Item_Attack_Speed_VeryFast	매우 빠름
Item_Attack_Short_Range	근거리 공격
Item_Attack_Long_Range	원거리 공격

Item_Arrow_Bow	활 계열용
Item_Arrow_CrossBow	석궁 계열용
Item_Arrow_Not_Cost_Katariya	카타리아 시 소모화살 0

Item_Restrict_RaceAll	모든종족
Item_Restrict_RaceHuman	휴먼
Item_Restrict_RaceOrc	오크
Item_Restrict_RaceMoonElf	문엘프
Item_Restrict_ClassAll	모든직업
Item_Restrict_ClassKnight	전사
Item_Restrict_ClassRanger	궁수
Item_Restrict_ClassMage	마법사

Item_Event_Only	이벤트 아이템
Item_PCBang_Only	PC방에서만 사용 가능한 아이템입니다.

Item_Convert_Physical	물리력 강화
Item_Convert_SpiritStone	속   성 강화
Item_Convert_Rune	옵   션 강화
Item_Convert_Step	단계

Item_Convert_Socket_Status	계약의 고리 상태 총 %d/사용 %d
Item_Convert_Set_Attr	장착됨

Item_Bind_On_Acquire	획득시 귀속
Item_Bind_On_Equip	착용시 귀속
Item_Bind_On_Use	사용시 귀속
Item_Bound_On_Owner	귀속아이템
Item_Quest_Type	퀘스트 아이템

Item_Convertable_Physical_Rank	+%d까지 물리 개조가 가능합니다.
Item_Convertable_SpiritStone_Rank	%d단계 정령석까지 개조가 가능합니다.

Item_BuyBankSlotTitle	창고 확장 슬롯 %d 번 구입
Item_BuyBankSlotPrice	구입 금액

