SOCIALTYPE	RACE	CLASS	GENDER	FILE_NAME			
GREETING	HUMAN	KNIGHT	MALE	H_KNI_M_GREET.rws		SOCIAL TYPE	
GREETING	HUMAN	RANGER	MALE	H_ARC_M_GREET.rws			
GREETING	HUMAN	MAGE	FEMALE	H_WIZ_W_GREET.rws		GREETING	인사
GREETING	ORC	KNIGHT	MALE	O_WAR_M_GREET.rws		CELEBRATION	축하
GREETING	ORC	RANGER	FEMALE	O_HUN_W_GREET.rws		GRATITUDE	감사
GREETING	ORC	MAGE	MALE	O_SHA_M_GREET.rws		ENCOURAGEMENT	격려
GREETING	MOONELF	RANGER	FEMALE	M_Hunter_W_GREET.rws		DISREGARD	무시
GREETING	MOONELF	MAGE	FEMALE	M_Sha_W_GREET.rws		DANCING	춤추기
GIGGLER	HUMAN	KNIGHT	MALE	H_KNI_M_GIGL.rws		DOZINESS	졸기
GIGGLER	HUMAN	RANGER	MALE	H_ARC_M_GIGL.rws		STRETCH	기지개
GIGGLER	HUMAN	MAGE	FEMALE	H_WIZ_W_GIGL.rws		LAUGH	웃기
GIGGLER	ORC	KNIGHT	MALE	O_WAR_M_GIGL.rws		WEEPING	울기
GIGGLER	ORC	RANGER	FEMALE	O_HUN_W_GIGL.rws		RAGE	분노
GIGGLER	ORC	MAGE	MALE	O_SHA_M_GIGL.rws		POUT	토라짐
GIGGLER	MOONELF	RANGER	FEMALE	M_Hunter_W_GIGL.rws		APOLOGY	사과
GIGGLER	MOONELF	MAGE	FEMALE	M_Sha_W_GIGL.rws		TOAST	건배	
RAGE	HUMAN	KNIGHT	MALE	H_KNI_M_RAGE.rws		CHEER	환호	
RAGE	HUMAN	RANGER	MALE	H_ARC_M_RAGE.rws		RUSH	돌격	
RAGE	HUMAN	MAGE	FEMALE	H_WIZ_W_RAGE.rws		SIT	앉기	
RAGE	ORC	KNIGHT	MALE	O_WAR_M_RAGE.rws		OKMARIO	옼마리오	
RAGE	ORC	RANGER	FEMALE	O_HUN_W_RAGE.rws		SELECT1	Defalut	
RAGE	ORC	MAGE	MALE	O_SHA_M_RAGE.rws		SELECT2	"""한손검,bow,staff"""	RACE
RAGE	MOONELF	RANGER	FEMALE	M_Hunter_W_RAGE.rws		SELECT3	"한손둔기,c-bow,!staff"	
RAGE	MOONELF	MAGE	FEMALE	M_Sha_W_RAGE.rws		SELECT4	두손검	HUMAN
DANCING	HUMAN	KNIGHT	MALE	H_KNI_M_DANCE.rws		SELECT5	두손둔기	ORC
DANCING	HUMAN	RANGER	MALE	H_ARC_M_DANCE.rws		SELECT6	폴암	MOONELF
DANCING	HUMAN	MAGE	FEMALE	H_WIZ_W_DANCE.rws		SELECT7	싸이쓰	
DANCING	ORC	KNIGHT	MALE	O_WAR_M_DANCE.rws		SELECT1_BACK	Defalut	CLASS
DANCING	ORC	RANGER	FEMALE	O_HUN_W_DANCE.rws		SELECT2_BACK	"""한손검,bow,staff"""	
DANCING	ORC	MAGE	MALE	O_SHA_M_DANCE.rws		SELECT3_BACK	"한손둔기,c-bow,!staff"	KNIGHT
DANCING	MOONELF	RANGER	FEMALE	M_Hunter_W_DANCE.rws		SELECT4_BACK	두손검	RANGER
DANCING	MOONELF	MAGE	FEMALE	M_Sha_W_DANCE.rws		SELECT5_BACK	두손둔기	MONK
CELEBRATION	HUMAN	KNIGHT	MALE	H_KNI_M_CELE.rws		SELECT6_BACK	폴암	MAGE
CELEBRATION	HUMAN	RANGER	MALE	H_ARC_M_CELE.rws		SELECT7_BACK	싸이쓰	CHAKRAM  KATARIYA
CELEBRATION	HUMAN	MAGE	FEMALE	H_WIZ_W_CELE.rws				
CELEBRATION	ORC	KNIGHT	MALE	O_WAR_M_CELE.rws				GENDER
CELEBRATION	ORC	RANGER	FEMALE	O_HUN_W_CELE.rws				
CELEBRATION	ORC	MAGE	MALE	O_SHA_M_CELE.rws				MALE
CELEBRATION	MOONELF	RANGER	FEMALE	M_Hunter_W_CELE.rws				FEMALE
CELEBRATION	MOONELF	MAGE	FEMALE	M_Sha_W_CELE.rws				
DISREGARD	HUMAN	KNIGHT	MALE	H_KNI_M_DIS.rws				
DISREGARD	HUMAN	RANGER	MALE	H_ARC_M_DIS.rws				
DISREGARD	HUMAN	MAGE	FEMALE	H_WIZ_W_DIS.rws				
DISREGARD	ORC	KNIGHT	MALE	O_WAR_M_DIS.rws				
DISREGARD	ORC	RANGER	FEMALE	O_HUN_W_DIS.rws				
DISREGARD	ORC	MAGE	MALE	O_SHA_M_DIS.rws				
DISREGARD	MOONELF	RANGER	FEMALE	M_Hunter_W_DIS.rws				
DISREGARD	MOONELF	MAGE	FEMALE	M_Sha_W_DIS.rws
ENCOURAGEMENT	HUMAN	KNIGHT	MALE	H_KNI_M_ENCO.rws
ENCOURAGEMENT	HUMAN	RANGER	MALE	H_ARC_M_ENCO.rws
ENCOURAGEMENT	HUMAN	MAGE	FEMALE	H_WIZ_W_ENCO.rws
ENCOURAGEMENT	ORC	KNIGHT	MALE	O_WAR_M_ENCO.rws
ENCOURAGEMENT	ORC	RANGER	FEMALE	O_HUN_W_ENCO.rws
ENCOURAGEMENT	ORC	MAGE	MALE	O_SHA_M_ENCO.rws
ENCOURAGEMENT	MOONELF	RANGER	FEMALE	M_Hunter_W_ENCO.rws
ENCOURAGEMENT	MOONELF	MAGE	FEMALE	M_Sha_W_ENCO.rws
DOZINESS	HUMAN	KNIGHT	MALE	H_KNI_M_DOZINESS.rws
DOZINESS	HUMAN	RANGER	MALE	H_ARC_M_DOZINESS.rws
DOZINESS	HUMAN	MAGE	FEMALE	H_WIZ_W_DOZINESS.rws
DOZINESS	ORC	KNIGHT	MALE	O_WAR_M_DOZINESS.rws
DOZINESS	ORC	RANGER	FEMALE	O_HUN_W_DOZINESS.rws
DOZINESS	ORC	MAGE	MALE	O_SHA_M_DOZINESS.rws
DOZINESS	MOONELF	RANGER	FEMALE	M_Hunter_W_DOZINESS.rws
DOZINESS	MOONELF	MAGE	FEMALE	M_Sha_W_DOZINESS.rws
GRATITUDE	HUMAN	KNIGHT	MALE	H_KNI_M_GRATITUDE.rws
GRATITUDE	HUMAN	RANGER	MALE	H_ARC_M_GRATITUDE.rws
GRATITUDE	HUMAN	MAGE	FEMALE	H_WIZ_W_GRATITUDE.rws
GRATITUDE	ORC	KNIGHT	MALE	O_WAR_M_GRATITUDE.rws
GRATITUDE	ORC	RANGER	FEMALE	O_HUN_W_GRATITUDE.rws
GRATITUDE	ORC	MAGE	MALE	O_SHA_M_GRATITUDE.rws
GRATITUDE	MOONELF	RANGER	FEMALE	M_Hunter_W_GRATITUDE.rws
GRATITUDE	MOONELF	MAGE	FEMALE	M_Sha_W_GRATITUDE.rws
POUT	HUMAN	KNIGHT	MALE	H_KNI_M_POUT.rws
POUT	HUMAN	RANGER	MALE	H_ARC_M_POUT.rws
POUT	HUMAN	MAGE	FEMALE	H_WIZ_W_POUT.rws
POUT	ORC	KNIGHT	MALE	O_WAR_M_POUT.rws
POUT	ORC	RANGER	FEMALE	O_HUN_W_POUT.rws
POUT	ORC	MAGE	MALE	O_SHA_M_POUT.rws
POUT	MOONELF	RANGER	FEMALE	M_Hunter_W_POUT.rws
POUT	MOONELF	MAGE	FEMALE	M_Sha_W_POUT.rws
RUSH	HUMAN	KNIGHT	MALE	H_KNI_M_RUSH.rws
RUSH	HUMAN	RANGER	MALE	H_ARC_M_RUSH.rws
RUSH	HUMAN	MAGE	FEMALE	H_WIZ_W_RUSH.rws
RUSH	ORC	KNIGHT	MALE	O_WAR_M_RUSH.rws
RUSH	ORC	RANGER	FEMALE	O_HUN_W_RUSH.rws
RUSH	ORC	MAGE	MALE	O_SHA_M_RUSH.rws
RUSH	MOONELF	RANGER	FEMALE	M_Hunter_W_RUSH.rws
RUSH	MOONELF	MAGE	FEMALE	M_Sha_W_RUSH.rws
SIT	HUMAN	KNIGHT	MALE	H_KNI_M_SIT.rws
SIT	HUMAN	RANGER	MALE	H_ARC_M_SIT.rws
SIT	HUMAN	MAGE	FEMALE	H_WIZ_W_SIT.rws
SIT	ORC	KNIGHT	MALE	O_WAR_M_SIT.rws
SIT	ORC	RANGER	FEMALE	O_HUN_W_SIT.rws
SIT	ORC	MAGE	MALE	O_SHA_M_SIT.rws
SIT	MOONELF	RANGER	FEMALE	M_Hunter_W_SIT.rws
SIT	MOONELF	MAGE	FEMALE	M_Sha_W_SIT.rws
STRETCH	HUMAN	KNIGHT	MALE	H_KNI_M_STRETCH.rws
STRETCH	HUMAN	RANGER	MALE	H_ARC_M_STRETCH.rws
STRETCH	HUMAN	MAGE	FEMALE	H_WIZ_W_STRETCH.rws
STRETCH	ORC	KNIGHT	MALE	O_WAR_M_STRETCH.rws
STRETCH	ORC	RANGER	FEMALE	O_HUN_W_STRETCH.rws
STRETCH	ORC	MAGE	MALE	O_SHA_M_STRETCH.rws
STRETCH	MOONELF	RANGER	FEMALE	M_Hunter_W_STRETCH.rws
STRETCH	MOONELF	MAGE	FEMALE	M_Sha_W_STRETCH.rws
TOAST	HUMAN	KNIGHT	MALE	H_KNI_M_TOAST.rws
TOAST	HUMAN	RANGER	MALE	H_ARC_M_TOAST.rws
