tid	Description	Body	Legs	Weapon	Shield	Head	Ring	Necklace	Boots	Gloves	Refinery	Gacha	Type	PointType	Level_limit	Rank_limit	Probability	Skill_level	Skill_id	ATK_Range_bonus	ATK_Speed_bonus	Movement_Run_bonus	PhysicalDamage	PhysicalAttackResist	SkillBlockRate	MagicDamage	WaterDamage	FireDamage	EarthDamage	AirDamage	PoisonDamage	IceDamage	LinghtningDamage	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Hp_Bonus_Point	Mp_Bonus_Point	Hp_Bonus_Percent	Mp_Bonus_Percent	Str_Bonus_Point	Dex_Bonus_Point	Int_Bonus_Point	Con_Bonus_Point	Wis_Bonus_Point	PhysicalRank	skill_type	duration	skill_rate	Critical	stun_time	damage_convert_hp	regen_hp	regen_mp	dot_damage_time	skill_cast	skill_delay	skill_levelup	bonus_exp	bonus_money	bonus_drop_rate	evade_rate	dodge_rate	visible	Level_min	Level_max	Link_id	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point	Ignore_Physical_Defense_Rate	Ignore_Attribute_Defense_Rate	Critical_Defense_Rate	ReinforcementRate
1	Damage +1												1		1	1	450						1																																																										○										
2	Damage +2												1		1	1	400						2																																																										○										
3	Damage +3												1		1	1	100						3																																																										○										
4	Damage +4												1		1	1	40						4																																																										○										
5	Damage +5												1		1	1	10						5																																																										○										
6	Damage +6												1		1	1	5						6																																																										○										
7	Damage +7												1		1	1	4						7																																																										○										
8	Damage +8												1		1	1	3						8																																																										○										
9	Damage +9												1		1	1	2						9																																																										○										
10	Damage +10												1		1	1	1						10																																																										○										
11	Resistance +2%												2		1	1	500							2																																																									○										
12	Resistance +3%												2		1	1	400							3																																																									○										
13	Resistance +4%												2		1	1	100							4																																																									○										
14	Resistance +5%												2		1	1	50							5																																																									○										
15	Resistance +6%												2		1	1	5							6																																																									○										
16	Skill Block +2%												3		1	1	500								2																																																								○										
17	Skill Block +3%												3		1	1	400								3																																																								○										
18	Skill Block +4%												3		1	1	100								4																																																								○										
19	Skill Block +5%												3		1	1	50								5																																																								○										
20	Skill Block +6%												3		1	1	5								6																																																								○										
21	Max. HP +10												4		1	1	500																																					10																											○										
22	Max. HP +20												4		1	1	400																																					20																											○										
23	Max. HP +30												4		1	1	100																																					30																											○										
24	Max. HP +40												4		1	1	50																																					40																											○										
25	Max. HP +50												4		1	1	5																																					50																											○										
26	Max. Mana +10												5		1	1	500																																						10																										○										
27	Max. Mana +20												5		1	1	400																																						20																										○										
28	Max. Mana +30												5		1	1	100																																						30																										○										
29	Max. Mana +40												5		1	1	50																																						40																										○										
30	Max. Mana +50												5		1	1	5																																						50																										○										
31	Max. HP +4%												6	1	1	1	500																																							4																									○										
32	Max. HP +5%												6	1	1	1	400																																							5																									○										
33	Max. HP +6%												6	1	1	1	100																																							6																									○										
34	Max. HP +7%												6	1	1	1	50																																							7																									○										
35	Max. HP +8%												6	1	1	1	5																																							8																									○										
36	Max. Mana +4%												7	1	1	1	500																																								4																								○										
37	Max. Mana +5%												7	1	1	1	400																																								5																								○										
38	Max. Mana +6%												7	1	1	1	100																																								6																								○										
39	Max. Mana +7%												7	1	1	1	50																																								7																								○										
40	Max. Mana +8%												7	1	1	1	5																																								8																								○										
41	Movement Speed +1%												8	1	1	1	500					1																																																											○										
