MakeItem Total	MakeItem TID	MakeItem Name	MakeItem Count	BonusItem TID	BonusItem Name	Item Option Min	Item Option Max	Socket Inchant Min	Socket Inchant Max	Combine Use Price	timer(msec)	Resource TotalCount	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count
1	837	트리스탄 소드	1			1	3	1	4	20000		5	31	시미터	1	1974	정령의 망치	1	1975	강철의 모루	1	1976	파괴석	10	1977	흡수석	10															
1	1908	카오스 토마호크	1			1	3	1	4	20000		5	491	크러시 배틀 액스	1	1974	정령의 망치	1	1975	강철의 모루	1	1976	파괴석	10	1977	흡수석	10															
1	1945	스피어 아발레스트	1			1	3	1	4	20000		5	34	우드 크로스보우	1	1974	정령의 망치	1	1975	강철의 모루	1	1976	파괴석	10	1977	흡수석	10															
1	1960	블러드 오브	1			1	3	1	4	20000		5	24	본 완드	1	1974	정령의 망치	1	1975	강철의 모루	1	1976	파괴석	10	1977	흡수석	10															
1	2120	러스터페임 소드	1			1	3	1	4	60000		5	502	펄션	1	1974	정령의 망치	2	1975	강철의 모루	2	1976	파괴석	10	1977	흡수석	10															
1	2121	알케미다스 소드	1			1	3	1	4	60000		5	2	바스타드	1	1974	정령의 망치	2	1975	강철의 모루	2	1976	파괴석	10	1977	흡수석	10															
1	2122	브런트니안 보우	1			1	3	1	4	60000		5	43	실크 보우	1	1974	정령의 망치	2	1975	강철의 모루	2	1976	파괴석	10	1977	흡수석	10															
1	2123	솔라이져 스태프	1			1	3	1	4	60000		5	44	트위스트 스태프	1	1974	정령의 망치	2	1975	강철의 모루	2	1976	파괴석	10	1977	흡수석	10															
1	2124	그레이브로드 소드	1			1	3	1	4	120000		5	503	롱 소드	1	1974	정령의 망치	3	1975	강철의 모루	3	1976	파괴석	10	1977	흡수석	10															
1	2125	둠클라우드 사이드	1			1	3	1	4	120000		5	526	블러드 사이드	1	1974	정령의 망치	3	1975	강철의 모루	3	1976	파괴석	10	1977	흡수석	10															
1	2126	모글로어 보우	1			1	3	1	4	120000		5	318	플로랄 보우	1	1974	정령의 망치	3	1975	강철의 모루	3	1976	파괴석	10	1977	흡수석	10															
1	2127	데이브레이커 완드	1			1	3	1	4	120000		5	557	세이지 완드	1	1974	정령의 망치	3	1975	강철의 모루	3	1976	파괴석	10	1977	흡수석	10															
1	5439	페더락 카타리아	1			1	3	1	4	20000		5	2732	더블 카타리아	1	1974	정령의 망치	1	1975	강철의 모루	1	1976	파괴석	10	1977	흡수석	10															
1	5440	나이트 워커 카타리아	1			1	3	1	4	60000		5	2735	숙련자의 카타리아	1	1974	정령의 망치	2	1975	강철의 모루	2	1976	파괴석	10	1977	흡수석	10															
1	5441	랜드 웨이브 카타리아	1			1	3	1	4	120000		5	2738	헤비 카타리아	1	1974	정령의 망치	3	1975	강철의 모루	3	1976	파괴석	10	1977	흡수석	10															
1	5442	윈드팡 차크람	1			1	3	1	4	20000		5	2716	배틀 차크람	1	1974	정령의 망치	1	1975	강철의 모루	1	1976	파괴석	10	1977	흡수석	10															
1	5443	드림 미러 차크람	1			1	3	1	4	60000		5	2719	크로스 차크람	1	1974	정령의 망치	2	1975	강철의 모루	2	1976	파괴석	10	1977	흡수석	10															
1	5444	스핀 하울러 차크람	1			1	3	1	4	120000		5	2722	숙련자의 차크람	1	1974	정령의 망치	3	1975	강철의 모루	3	1976	파괴석	10	1977	흡수석	10															
1	5445	텐드릴러 레이피어	1			1	2	1	3	20000		5	5497	숙련자의 레이피어	1	1974	정령의 망치	1	1975	강철의 모루	1	1976	파괴석	10	1977	흡수석	10															
1	5446	샌드위버 레이피어	1			1	2	1	3	60000		5	5541	미러 레이피어	1	1974	정령의 망치	2	1975	강철의 모루	2	1976	파괴석	10	1977	흡수석	10															
1	5447	데이 라이트 레이피어	1			1	2	1	3	120000		5	5543	거들 팡 레이피어	1	1974	정령의 망치	3	1975	강철의 모루	3	1976	파괴석	10	1977	흡수석	10															
1	5448	텐드릴러 대거	1			1	1	1	1	20000		5	5549	숙련자의 대거	1	1974	정령의 망치	1	1975	강철의 모루	1	1976	파괴석	10	1977	흡수석	10															
1	5449	샌드위버 대거	1			1	1	1	1	60000		5	5553	미러 대거	1	1974	정령의 망치	2	1975	강철의 모루	2	1976	파괴석	10	1977	흡수석	10															
1	5450	데이 라이트 대거	1			1	1	1	1	120000		5	5555	거들 팡 대거	1	1974	정령의 망치	3	1975	강철의 모루	3	1976	파괴석	10	1977	흡수석	10															
1	9694	하드 스틸훅 카론	1			1	3	1	4	20000		5	8092	스틸훅 카론	1	1974	정령의 망치	1	1975	강철의 모루	1	1976	파괴석	10	1977	흡수석	10															
1	9695	깨달음의 카론	1			1	3	1	4	60000		5	8095	진리의 카론	1	1974	정령의 망치	2	1975	강철의 모루	2	1976	파괴석	10	1977	흡수석	10															
1	9696	네이쳐세이드 카론	1			1	3	1	4	120000		5	8098	그린우드 카론	1	1974	정령의 망치	3	1975	강철의 모루	3	1976	파괴석	10	1977	흡수석	10															
1	9703	롱레인지 제논	1			1	3	1	4	20000		5	7910	디스탄스 제논	1	1974	정령의 망치	1	1975	강철의 모루	1	1976	파괴석	10	1977	흡수석	10															
1	9704	트루본 스틸 제논	1			1	3	1	4	60000		5	7915	파워스틸 제논	1	1974	정령의 망치	2	1975	강철의 모루	2	1976	파괴석	10	1977	흡수석	10															
1	9705	데드샷 제논	1			1	3	1	4	120000		5	7920	헌터아이 제논	1	1974	정령의 망치	3	1975	강철의 모루	3	1976	파괴석	10	1977	흡수석	10															
1	6501	바이 트리스탄 소드	1			3	5	4	8	240000		5	837	트리스탄 소드	1	2118	축복의 망치	3	2116	오리할콘 모루	3	1976	파괴석	20	1977	흡수석	20															
1	6502	바이 카오스 토마호크	1			3	5	4	8	240000		5	1908	카오스 토마호크	1	2118	축복의 망치	3	2116	오리할콘 모루	3	1976	파괴석	20	1977	흡수석	20															
1	6503	바이 스피어 아발레스트	1			3	5	4	8	240000		5	1945	스피어 아발레스트	1	2118	축복의 망치	3	2116	오리할콘 모루	3	1976	파괴석	20	1977	흡수석	20															
1	6504	바이 블러드 오브	1			3	5	4	8	240000		5	1960	블러드 오브	1	2118	축복의 망치	3	2116	오리할콘 모루	3	1976	파괴석	20	1977	흡수석	20															
1	6505	바이 러스터페임 소드	1			3	5	4	8	480000		5	2120	러스터페임 소드	1	2118	축복의 망치	4	2116	오리할콘 모루	4	1976	파괴석	20	1977	흡수석	20															
1	6506	바이 알케미다스 소드	1			3	5	4	8	480000		5	2121	알케미다스 소드	1	2118	축복의 망치	4	2116	오리할콘 모루	4	1976	파괴석	20	1977	흡수석	20															
1	6507	바이 브런트니안 보우	1			3	5	4	8	480000		5	2122	브런트니안 보우	1	2118	축복의 망치	4	2116	오리할콘 모루	4	1976	파괴석	20	1977	흡수석	20															
1	6508	바이 솔라이져 스태프	1			3	5	4	8	480000		5	2123	솔라이져 스태프	1	2118	축복의 망치	4	2116	오리할콘 모루	4	1976	파괴석	20	1977	흡수석	20															
