name2	skill_level2	damage_a2	damage_magic2	damage_water2	damage_air2	damage_earth2	damage_fire2	damage_poison2	damage_ice2	damage_thunder2	damage_a_PERCENT2	damage_magic_PERCENT2	damage_water_PERCENT2	damage_air_PERCENT2	damage_earth_PERCENT2	damage_fire_PERCENT2	damage_poison_PERCENT2	damage_ice_PERCENT2	damage_thunder_PERCENT2	damage_c_PERCENT2	cost_hp2	cost_mp2	duration2	interval2	dot_dmg_a2	dot_dmg_magic2	dot_dmg_water2	dot_dmg_air2	dot_dmg_earth2	dot_dmg_fire2	dot_dmg_poison2	dot_dmg_ice2	dot_dmg_thunder2	dot_dmg_a_PERCENT2	dot_dmg_magic_PERCENT2	dot_dmg_water_PERCENT2	dot_dmg_air_PERCENT2	dot_dmg_earth_PERCENT2	dot_dmg_fire_PERCENT2	dot_dmg_poison_PERCENT2	dot_dmg_ice_PERCENT2	dot_dmg_thunder_PERCENT2	stun_time2	skill_rate2	aggrodoll_hp2	dot_damage_time2	death2	specific_skill_levelup2	Connection_TID2	Skill_Union2	Skill_Union_Control2	Max_Skill_Union2	bonus_drop_add_rate2	velocity2	ea_damage_physical2	ea_damage_magic2	ea_damage_water2	ea_damage_air2	ea_damage_earth2	ea_damage_fire2	ea_damage_poison2	ea_damage_ice2	ea_damage_thunder2	ea_damage_c2	ea_damage_physical_PERCENT2	ea_damage_magic_PERCENT2	ea_damage_water_PERCENT2	ea_damage_air_PERCENT2	ea_damage_earth_PERCENT2	ea_damage_fire_PERCENT2	ea_damage_poison_PERCENT2	ea_damage_ice_PERCENT2	ea_damage_thunder_PERCENT2	ea_damage_c_PERCENT2	FACTOR_POINT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	FACTOR_PERCENT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	ignore_physical_defence_percent2	ignore_attribute_defence_percent2	critical_defence_percent2	durability_percent2	durability_num2
Acrobatic Charge	1										25																																																																																																																												-2																																																		
	2										30																																																																																																																												-5																																																		
	3										35																																																																																																																												-8																																																		
	4										40																																																																																																																												-11																																																		
	5										45																																																																																																																												-14																																																		
	6										50																																																																																																																												-17																																																		
	7										55																																																																																																																												-20																																																		
	8										60																																																																																																																												-23																																																		
	9										65																																																																																																																												-26																																																		
	10										70																																																																																																																												-26																																																		
	11										75																																																																																																																												-26																																																		
	12										80																																																																																																																												-26																																																		
	13										85																																																																																																																												-26																																																		
	14										90																																																																																																																												-26																																																		
	15										95																																																																																																																												-26																																																		
Braking Arms	1										25																																						670																																																																																															-1																																									
	2										30																																						670																																																																																															-3																																									
	3										35																																						670																																																																																															-5																																									
	4										40																																						670																																																																																															-7																																									
	5										45																																						670																																																																																															-9																																									
	6										50																																						670																																																																																															-11																																									
	7										55																																						670																																																																																															-13																																									
	8										60																																						670																																																																																															-15																																									
	9										65																																						670																																																																																															-17																																									
	10										70																																						670																																																																																															-17																																									
	11										75																																						670																																																																																															-17																																									
	12										80																																						670																																																																																															-17																																									
	13										85																																						670																																																																																															-17																																									
	14										90																																						670																																																																																															-17																																									
	15										95																																						670																																																																																															-17																																									
Close Skirmish	1										27					14																																	671																																												-1																																																																																												
	2										32					16																																	671																																												-3																																																																																												
	3										37					19																																	671																																												-5																																																																																												
	4										42					21																																	671																																												-7																																																																																												
	5										47					24																																	671																																												-9																																																																																												
	6										52					26																																	671																																												-11																																																																																												
	7										57					29																																	671																																												-13																																																																																												
	8										62					31																																	671																																												-15																																																																																												
	9										67					34																																	671																																												-17																																																																																												
	10										72					36																																	671																																												-17																																																																																												
	11										77					39																																	671																																												-17																																																																																												
	12										82					41																																	671																																												-17																																																																																												
	13										87					44																																	671																																												-17																																																																																												
	14										92					46																																	671																																												-17																																																																																												
	15										97					49																																	671																																												-17																																																																																												
Precise Assault	1										30		15																														3000	30																																																																																																																																													
	2										35		18																														3000	35																																																																																																																																													
	3										40		20																														3000	40																																																																																																																																													
	4										45		23																														3000	45																																																																																																																																													
	5										50		25																														3000	50																																																																																																																																													
	6										55		28																														3000	55																																																																																																																																													
	7										60		30																														3000	60																																																																																																																																													
	8										65		33																														3000	65																																																																																																																																													
	9										70		35																														3000	70																																																																																																																																													
	10										75		38																														3000	75																																																																																																																																													
	11										80		40																														3000	80																																																																																																																																													
	12										85		43																														3000	85																																																																																																																																													
	13										90		45																														3000	90																																																																																																																																													
	14										95		48																														3000	95																																																																																																																																													
	15										100		50																														3000	100																																																																																																																																													
Blue Dire	1										30		15																																																																																-1																																																																																												
	2										35		18																																																																																-3																																																																																												
	3										40		20																																																																																-5																																																																																												
	4										45		23																																																																																-7																																																																																												
	5										50		25																																																																																-9																																																																																												
	6										55		28																																																																																-11																																																																																												
	7										60		30																																																																																-13																																																																																												
	8										65		33																																																																																-15																																																																																												
	9										70		35																																																																																-17																																																																																												
	10										75		38																																																																																-17																																																																																												
	11										80		40																																																																																-17																																																																																												
	12										85		43																																																																																-17																																																																																												
	13										90		45																																																																																-17																																																																																												
	14										95		48																																																																																-17																																																																																												
	15										100		50																																																																																-17																																																																																												
Recite of Breeze	1										30														15																								673																																																																																																																																								
	2										35														18																								673																																																																																																																																								
	3										40														20																								673																																																																																																																																								
	4										45														23																								673																																																																																																																																								
