½ΊΕ³Έν	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb																																																																																																																																																																																																	
Speed Attack	10	1	2	100	1	1														116																					2																																																																																																																																																																																																																								
Dual Slash	1	1	1	1	202	1								101																																																																																																																																																																																																																																																			
Triple Slash	1	1	1	1	202	1								101																																																																																																																																																																																																																																																			
Linear Blow	1	1	1	1	1404	1								101																											2																																																																																																																																																																																																																								
Strike Of Death	1	1	1	1	202	1								101																											2																																																																																																																																																																																																																								
Lethal Attack	10	1	2	100	1	1															4														2						2																																																																																																																																																																																																																								
Big Wheel	1	1	1	101	304	1								101																																																																																																																																																																																																																																																			
Shield Bash	1	1	1	1	202	3	1000							101			1																								2																																																																																																																																																																																																																								
Hook	1	1	1	1	304	1								108																											2																																																																																																																																																																																																																								
Blade Sting	1	1	1	1	202	5								101																											2																																																																																																																																																																																																																								
Stun Shock	1	1	1	1	202	7	1000							101			1																								2																																																																																																																																																																																																																								
Swing shot	1	1	1	1	1404	8								101																											2																																																																																																																																																																																																																								
Axe Smash	11	1	1	1	202	6								101																10001											2																																																																																																																																																																																																																								
Dragon Divide	1	1	1	1	1404	1								101																																																																																																																																																																																																																																																			
Bellow	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Provoke	20	1		1	202	1														10																					2																																																																																																																																																																																																																								
Resistance	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Zone Provoke	20	1		1	1304	1														10																					2																																																																																																																																																																																																																								
Power Blade	10	1	2	100	1	5			1											107																					2																																																																																																																																																																																																																								
Power Axe	10	1	2	100	1	6			2											107																					2																																																																																																																																																																																																																								
Bludgeon	10	1	2	100	1	7			3											107																					2																																																																																																																																																																																																																								
Brute Force	10	1	2	100	1	8			4											107																					2																																																																																																																																																																																																																								
Faith Defender	10	1	2	100	1	3			5											107																					2																																																																																																																																																																																																																								
Combat Echo	10	1	2	100	303	1														10																					2																																																																																																																																																																																																																								
Debilitate	10	1	1	1	202	1																													3						2																																																																																																																																																																																																																								
Spirit Shield	10	1	2	100	1	3			9											107																					2																																																																																																																																																																																																																								
Stun Protection	10	1	2	100	1	3											8																								2																																																																																																																																																																																																																								
Power Drain	10	1	1	1	202	1														10																					2																																																																																																																																																																																																																								
Twin Hand	10	1	2	100	1	1																																			2																																																																																																																																																																																																																								
Sacrifice	10	1	1	100	1	1														10																					2																																																																																																																																																																																																																								
Immortal Calling	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Paint With Blood	10	1	2	100	1	1	1000							106																											2																																																																																																																																																																																																																								
Razor Sharp	10	1	2	100	1	1														10																					2																																																																																																																																																																																																																								
Sprint	10	1	2	100	1	1														116																					2																																																																																																																																																																																																																								
Berserker	10	1	2	100	1	1														116																					2																																																																																																																																																																																																																								
Natural Warrior	10	1	2	100	1	1														10				4																	2																																																																																																																																																																																																																								
Body Break	10	1	1	1	1304	1														10																					2																																																																																																																																																																																																																								
Panic	10	1	1	1	1202	1														10																					2																																																																																																																																																																																																																								
Vital Charge	10	1	2	100	1	1	1000																														1				2																																																																																																																																																																																																																								
Defense Hold	9	1	2	111	1															10																																																																																																																																																																																																																																													
Supreme Damage	9	1	2	111	1		1000		5	150				106																																																																																																																																																																																																																																																			
Red Heat	9	1	2	111	1															10																																																																																																																																																																																																																																													
Counter Attack	9	1	2	111	1		1000		2															2																																																																																																																																																																																																																																									
Heavy Counter Attack	9	1	2	111	1				5															2																																																																																																																																																																																																																																									
Mighty Counter Attack	9	1	2	111	1				10															2																																																																																																																																																																																																																																									
Death Strike	9	1	2	111	1		1000		2					107																																																																																																																																																																																																																																																			
Hell Strike	9	1	2	111	1				5					107																																																																																																																																																																																																																																																			
Health Burst	9	1	2	111	1															10																																																																																																																																																																																																																																													
Spirit Snap	9	1	2	111	1															10																																																																																																																																																																																																																																													
Dual Shot	1	1	1	1	202	1								101																											1																																																																																																																																																																																																																								
Triple Shot	1	1	1	1	202	1								101																											1																																																																																																																																																																																																																								
Piercing Shot	1	1	1	1	1404	1								101																											1																																																																																																																																																																																																																								
