Class TID	Skill TID	Skill Name	ConditionA	ConditionB	ConditionC	ConditionD
96						
	1435	아이언 실드				
	1438	마티르즈 리트리뷰션				10;
	1440	스트라이크 오브 저지먼트	1438;3			20;
	1436	저스티스 오브 배틀				5;
	1439	포스드 마치	1436;3			10;
	1442	브릴리언트 스피릿	1439;3			25;
	1437	실드 오브 더 프론트				5;
	1441	라이터스 스마이트	1437;3			20;
	1443	테레파잉 네메시스	1441;3			25;
	1444	인엑서러블 스트라이크				40;
						
1						
	1445	슬라이트 오브 보우				
	1448	고스트 온 더 애로우				10;
	1450	스콜피온 트랩	1448;3			20;
	1446	바이팅 스트라이크				5;
	1449	일루젼 스트라이드	1446;3			10;
	1452	아처즈 아이	1449;3			25;
	1447	보우 오브 메디테이션				5;
	1451	클라우드 오브 애로우	1447;3			20;
	1453	인티미데이트 블로우	1451;3			25;
	1454	허리케인 오브 데스				40;
						
6						
	1455	매지컬 트래디션				
	1458	타이탄 크러셔				10;
	1460	바이트 오브 스톰	1458;3			20;
	1456	랜스 오브 라이트닝				5;
	1459	아이언 스태프	1456;3			10;
	1462	스파이럴 비전	1459;3			25;
	1457	라디안트 비전				5;
	1461	드레드 어설트	1457;3			20;
	1463	디지즈 오브 블랙 스태프	1461;3			25;
	1464	소울 베인				40;
						
4						
	1465	테러블 스케일				
	1468	바이올런트 크러셔				10;
	1470	플라이트풀 사이트	1468;3			20;
	1466	크루엘 슬래시				5;
	1469	인세인 하울링	1466;3			10;
	1472	인도미터블 소울	1469;3			25;
	1467	배틀 포커스				5;
	1471	포스드 더 배틀	1467;3			20;
	1473	디소더 크라이	1471;3			25;
	1474	울티메이트 레이지				40;
						
8						
	1475	님블 모빌러티				
	1478	트릭키 샷				10;
	1480	페인팅 어택	1478;3			20;
	1476	아크로바틱 샷				5;
	1479	블러디 워크	1476;3			10;
	1482	에너미 베인 스탠스	1479;3			25;
	1477	덴져러스 포지션				5;
	1481	크림슨 아이	1477;3			20;
	1483	쉬링킹 스네이크 샷	1481;3			25;
	1484	익스퀴지트 페인				40;
						
3						
	1485	나이트메어 비젼				
	1488	다크 파이어우드				10;
	1490	바이트 오브 베놈	1488;3			20;
	1486	소울 번				5;
	1489	쉬러드 오브 다크니스	1486;3			10;
	1492	루인 오브 호러	1489;3			25;
	1487	크라운 오브 매드니스				5;
	1491	라이프 블랙 파이어	1487;3			20;
	1493	존 오브 테러블 콥스	1491;3			25;
	1494	데드맨 어웨이큰				40;
						
377						
	1495	인도미터블 대거				
	1498	프리시젼 소드 러쉬				10;
	1500	익스트림 블레이드	1498;3			20;
	1496	데들리 피어싱				5;
	1499	프론트라인 스텝	1496;3			10;
	1502	스태드패스트 소드	1499;3			25;
	1497	포티튜드 소울				5;
	1501	서든 트위스트 어택	1497;3			20;
	1503	미리어드 크레센트 슬래싱	1501;3			25;
	1504	임파시블 웨폰 소울				40;
						
460						
	1505	이베이드 슬래싱				
	1508	블러드 하울링 스트라이크				10;
	1510	레이지 토네이도	1508;3			20;
	1506	슬래셔즈 샷				5;
	1509	퀵 리로드	1506;3			10;
	1512	콰리 오브 레인져	1509;3			25;
	1507	포레스트 소울 바리어				5;
	1511	헤일 오브 쏜즈	1507;3			20;
	1513	아이 오브 레드 레인져	1511;3			25;
	1514	언스톱퍼블 피어스 샷				40;
						
9						
	1515	엘레멘탈 마기				
	1518	클라우드 오브 프로스트				10;
	1520	엘레멘탈 텐타클	1518;3			20;
	1516	크랩 오브 파이어리				5;
	1519	엘레멘탈 리쥬베네이션	1516;3			10;
	1522	아이언 프로텍터	1519;3			25;
	1517	블레싱 엘레멘탈				5;
	1521	스펙트럴 스톰	1517;3			20;
	1523	프리즈마틱 체인	1521;3			25;
	1524	앱솔루트 테리토리				40;
						
1722						
	1525	와딩 슬레이어				
	1528	딜레이드 블로우				10;
	1530	펀치 오브 쉬링킹	1528;3			20;
	1526	브릴리언트 배라지				5;
	1529	룰 오브 슬레이어	1526;3			10;
	1532	핸드 오브 저스티스	1529;3			25;
	1527	파워풀 라이트				5;
	1531	데이라이트 스마이트	1527;3			20;
	1533	리스트레인트 스트라이크	1531;3			25;
	1534	첼린지 더 저스티스				40;
						
1723						
	1535	파든 오브 바이스				
	1538	브랜드 오브 크라임				10;
	1540	리사운딩 디스트로이어	1538;3			20;
	1536	파이어리 샷				5;
	1539	퍼니쉬 크라임	1536;3			10;
	1542	엘레멘탈 레스큐	1539;3			25;
	1537	드래곤즈  분				5;
	1541	라이트닝 프렌지 어설트	1537;3			20;
	1543	위더링 나이트 샷	1541;3			25;
	1544	리포즈 오브 빅팀				40;
						
1732						
	1545	스케일 프로텍션				
	1548	크러쉬 립 어택				10;
	1550	플라이트풀 윙 오버	1548;3			20;
	1546	아이언 클로 붐				5;
	1549	블러드 베인	1546;3			10;
	1552	드래곤 프레즌스	1549;3			25;
	1547	오버 더 드래곤				5;
	1551	어프레시브 블로우	1547;3			20;
	1553	엘레멘탈 메일스톰	1551;3			25;
	1554	옵리터레이팅 브레스				40;
						
