Class TID	Skill TID	Skill Name	ConditionA	ConditionB	ConditionC	ConditionD
96						
	526	마칭송				
	525	라이트닝 베인	526;4			
	527	홀드 업 더 컬러즈	526;4			
	555	하울 오브 나이트	525;3			
	558	실드 마스터리	525;2	527;2		
	630	파워 스마이트	527;3			
	556	이베이젼	555;2	558;2		
	554	리듀스 그라운드	630;2	558;2		
	598	스킨 터치	556;3			
	599	디펜스 매직	556;2	554;2		
	600	디바인 프로텍션	554;3			
						
1						
	560	제로 샷				
	529	레이 아웃	560;4			
	530	리무브 파워	560;4			
	559	선더볼트	529;3			
	563	보우 마스터리	529;2	530;2		
	528	블래스	530;3			
	561	보이드 엘레멘탈	559;2	563;2		
	29	베네딕션	528;2	563;2		
	601	아이스 웨이브	561;3			
	602	이레이져	561;2	29;2		
	603	샤웃 오브 빅토리	29;3			
						
6						
	533	트루 사이트				
	631	솔리드 후크	533;4			
	532	벨라스티 큐어	533;4			
	566	배틀 로어	631;3			
	568	스태프 마스터리	631;2	532;2		
	564	워터 엣지	532;3			
	567	매직 컷	566;2	568;2		
	565	드레인 헬스	564;2	568;2		
	604	스파인 포레스트	567;3			
	605	라이즈 매직 파워	567;2	565;2		
	606	퍼펙트	565;3			
						
4						
	535	맨탈 실드				
	632	샤웃트 오브 워	535;4			
	534	헤비 레리어트	535;4			
	569	랜드 버스트	632;3			
	573	웨폰 마스터리	632;2	534;2		
	572	블록 업턴	534;3			
	570	커스 엘레멘탈	569;2	573;2		
	571	디사이시브 블로우	572;2	573;2		
	609	트라이엄프	570;3			
	607	데스 블로우	570;2	571;2		
	608	인트래피드 스피릿	571;3			
						
8						
	537	슈팅 스타				
	538	블레이즈 피어	537;4			
	633	큐어 컨디션	537;4			
	634	엘레멘탈 피버	538;3			
	578	크로스 보우 마스터리	538;2	633;2		
	574	글루미 핸드	633;3			
	575	어네더마	634;2	578;2		
	635	사이코맨시	574;2	578;2		
	610	디미니쉬	575;3			
	636	익스플로시브 테리토리	575;2	635;2		
	637	기믈릿 레이	635;3			
						
3						
	541	블레이드				
	540	클라우드 파이어	541;4			
	638	크리에이트 스켈레톤	541;4			
	639	레퀴엠	540;3			
	583	완드 마스터리	540;2	638;2		
	640	네크로맨시 스켈레톤 파워	638;3			
	641	하이브 마인드	639;2	583;2		
	611	미라클	640;2	583;2		
	613	윈드 크러쉬	641;3			
	642	프리징 소울	641;2	611;2		
	615	캄 슬립	611;3			
						
460						
	543	톡신 핸드				
	643	크리스탈 문 워크	543;4			
	545	포 더 갈라	543;4			
	644	서든 스트라이크	643;3			
	588	카타리아 마스터리	643;2	545;2		
	584	댄싱 투게더	545;3			
	585	서제스트 스피드	644;2	588;2		
	645	트래듀스 파워	584;2	588;2		
	617	엘레멘탈 프렌들리	585;3			
	616	풀 다운 샷	585;2	645;2		
	618	쉐도우 일루젼	645;3			
						
9						
	547	디스펠 업스트럭션				
	548	레이 러브	547;4			
	546	윌 셀터	547;4			
	646	에어 스매쉬	548;3			
	593	차크람 마스터리	548;2	546;2		
	590	엘레멘탈 헤이스트	546;3			
	592	커즈 파워	646;2	593;2		
	591	엘레멘탈 배리어	590;2	593;2		
	620	타이푼	592;3			
	619	빅팀 오브 글로리	592;2	591;2		
	621	스트라이크 마크	591;3			
						
377						
	747	하이드 인 사이트				
	740	인비지블 블레이드 엑스	747;4			
	749	리스토레이션	747;4			
	748	어드벤트 레전드	740;3			
	750	투웨폰 마스터리	740;2	749;2		
	745	세이프가드	749;3			
	742	피어스 블로우	748;2	750;2		
	744	히로이즘 마이트	745;2	750;2		
	746	부스트 업	742;3			
	741	라이트닝 러쉬	742;2	744;2		
	743	클로즈 핀 에어	744;3			
						
1724						
	222	일반공격				
	1136	디스터브				
	1137	허트머슬	1136;2			
	1145	헤이터	1137;2			
	1138	배틀머신				
	1139	굿제논	1138;2			
	1140	굿카론	1138;2			
	1144	디스트리뷰트				
	1146	퍼거토리	1144;2			
	1189	슬레이어 오브 에볼루션			1724;10	10;
	1236	파워풀 마이트	1189;1			20;
	1237	모럴 커리지	1189;1	1236;3		30;
	1192	오비터 오브 에볼루션			1724;10	10;
	1238	스마트 스나이퍼	1192;1			20;
	1239	그레이트 아너	1192;1	1238;3		30;
	1195	서머너 오브 에볼루션			1724;10	10;
	1240	소울 오브 시온	1195;1			20;
	1241	가디언 오브 시온	1195;1	1240;3		30;
						
1722						
	1147	파워 스터너			1724;10	
	1149	크라이 맥스	1147;3			
	1150	바디 체크	1149;2			
	1151	하이드 앤 슬레이	1150;2			
	1157	루즈 페이스	1147;3			
	1154	레전드리 슬레이어	1157;2			
	1153	터치 다운	1154;2			
	1155	페인 오브 아모어	1153;2		1722;30	
	1156	에어 스트라이크	1147;3			
	1152	젠 실드	1156;2			
	1148	데스 리볼버	1152;2			
						
1723						
	1160	러쉬 아워			1724;10	
	1158	마인즈 아이	1160;3			
	1161	블록 브레이커	1158;2			
	1163	쉐도우 이펙터	1161;2			
	1165	테이크 오프	1163;2		1723;30	
	1162	푸싱 어웨이	1160;3			
	1166	스위프트	1162;2			
	1168	플레쉬 앤 번	1166;2			
	1159	트위스터	1160;3			
	1167	독 핸드	1159;2			
	1164	사이폰 웨이브	1167;2			
	1169	스크리머	1164;2			
						
1732						
	1179	네츄럴 콜			1724;10	
	1170	킬 번	1179;3			
	1171	마나 유니온	1170;2			
	1176	헬 인피니티	1171;2			
	1174	마인드 점퍼	1176;2			
	1172	마이티 풋	1179;3			
	1175	마이티 윙	1172;2			
	1181	세이크리드 원	1175;2			
	1180	루즈 마인드	1181;2			
	1173	퍼펙트 센스	1179;3			
	1177	월드 룰러	1173;2			
	1178	브레스 오브 레이지	1177;2		1732;30	
						
10004;4						
	351	파워써지				
	1242	포스 클로	351;2			
	1247	드래곤 마이트	1242;2			
	352	리스마트				
	1243	윙 오버	352;2			
	1248	드래곤 윙	1243;2			
	355	샤프센스				
	1244	피어싱 투쓰	355;2			
	1249	드래곤 헤드	1244;2			
	354	마인드붐				
	1245	스트롱 마인드	354;2			
	1250	드래곤 멘탈	1245;2			
	353	빌드업				
	1246	아이언 스케일	353;2			
	1251	드래곤 블러드	1246;2			
						
