GroupName	Name	MaxMobCount	Spawntime	MobTID	MobName	MobLV	Rate	MobAITID	AI이름	SiegeWarType
hcr001	hcr001_1	1	1000 	102 	암탉	1	100000	99999	암탉	
hcr001	hcr001_2	1	1000 	104 	소	1	100000	99999	소	
hcr001	hcr001_3	1	1000 	101 	수탉	1	100000	99999	수탉	
hcr001	hcr001_4	1	1000 	107 	개	1	100000	99999	개	
hcr001	hcr001_5	1	1000 	108 	어미양	1	100000	99999	어미양	
hcr001	hcr001_6	1	1000 	104 	소	1	100000	99999	소	
hcr001	hcr001_7	1	1000 	104 	병아리	1	100000	99999	소	
hcr001	hcr001_8	1	1000 	106 	새끼양	1	100000	99999	새끼양	
hcr001	hcr001_9	1	1000 	101 	수탉	1	100000	99999	수탉	
hcr001	hcr001_10	1	1000 	107 	개	1	100000	99999	개	
hcr001	hcr001_11	1	1000 	467 	갈매기	1	100000	99999	갈매기	
hcr001	hcr001_12	2	1000 	467 	갈매기	1	100000	99999	갈매기	
hcr001	hcr001_13	2	1000 	467 	갈매기	1	100000	99999	갈매기	
hcr001	hcr001_14	2	1000 	465 	게	1	100000	99999	게	
hcr001	hcr001_15	2	1000 	466 	게	1	100000	99999	게	
hcr001	hcr001_16	2	1000 	465 	게	1	100000	99999	게	
hcr001	hcr001_17	2	1000 	466 	게	1	100000	99999	게	
hcr001	hcr001_18	2	1000 	465 	게	1	100000	99999	게	
hcr001	hcr001_19	2	1000 	466 	게	1	100000	99999	게	
hcr001	hcr001_20	5	1000 	467 	갈매기	1	100000	99999	갈매기	
hcr001	hcr001_21	5	1000 	467 	갈매기	1	100000	99999	갈매기	
hcr001	hcr001_22	2	1000 	465 	게	1	100000	99999	게	
hcr001	hcr001_23	2	1000 	466 	게	1	100000	99999	게	
hcr001	hcr001_24	2	1000 	465 	게	1	100000	99999	게	
hcr002	hcr002_1	1	1000 	107 	개	1	100000	99999	개	
hcr002	hcr002_2	1	1000 	108 	어미양	1	100000	99999	어미양	
hcr002	hcr002_3	1	1000 	106 	새끼양	1	100000	99999	새끼양	
hcr002	hcr002_4	5	1000 	467 	갈매기	1	100000	99999	갈매기	
hcr002	hcr002_5	1	1000 	677 	당나귀	1	100000	99999	당나귀	
hcr002	hcr002_6	1	1000 	681 	여행용당나귀	1	100000	99999	여행용당나귀	
hcr002	hcr002_7	1	1000 	677 	당나귀	1	100000	99999	당나귀	
hcr002	hcr002_8	1	1000 	677 	당나귀	1	100000	99999	당나귀	
hcr003	hcr003_1	1	1000 	101 	수탉	1	100000	99999	수탉	
hcr003	hcr003_2	1	1000 	108 	어미양	1	100000	99999	어미양	
hcr003	hcr003_3	1	1000 	104 	소	1	100000	99999	소	
hcr003	hcr003_4	1	1000 	102 	암탉	1	100000	99999	암탉	
hcr003	hcr003_5	1	1000 	104 	소	1	100000	99999	소	
hcr004	hcr004_1	1	1000 	107 	개	1	100000	99999	개	
hcr004	hcr004_2	1	1000 	102 	암탉	1	100000	99999	암탉	
hcr004	hcr004_3	1	1000 	107 	개	1	100000	99999	개	
hcr004	hcr004_4	1	1000 	103 	병아리	1	100000	99999	병아리	
hcr004	hcr004_5	1	1000 	107 	개	1	100000	99999	개	
hcr004	hcr004_6	1	1000 	101 	수탉	1	100000	99999	수탉	
hcr004	hcr004_7	1	1000 	104 	소	1	100000	99999	소	
hcr005	hcr005_1	1	1000 	102 	암탉	1	100000	99999	암탉	
hcr005	hcr005_2	1	1000 	104 	소	1	100000	99999	소	
hcr005	hcr005_3	1	1000 	101 	수탉	1	100000	99999	수탉	
hcr005	hcr005_4	1	1000 	108 	어미양	1	100000	99999	어미양	
ocr001	ocr001_1	1	1000 	114 	어미코뿔소	1	100000	99999	어미코뿔소	
ocr001	ocr001_2	1	1000 	110 	숫염소	1	100000	99999	숫염소	
ocr001	ocr001_3	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr001	ocr001_4	1	1000 	112 	어미돼지	1	100000	99999	어미돼지	
ocr001	ocr001_5	1	1000 	110 	숫염소	1	100000	99999	숫염소	
ocr001	ocr001_6	1	1000 	115 	어린코뿔소	1	100000	99999	어린코뿔소	
ocr001	ocr001_7	1	1000 	113 	아기돼지	1	100000	99999	아기돼지	
ocr001	ocr001_8	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr001	ocr001_9	1	1000 	115 	어린코뿔소	1	100000	99999	어린코뿔소	
ocr001	ocr001_10	1	1000 	113 	아기돼지	1	100000	99999	아기돼지	
ocr001	ocr001_11	1	1000 	111 	아기염소	1	100000	99999	아기염소	
ocr001	ocr001_12	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr002	ocr002_1	1	1000 	110 	숫염소	1	100000	99999	숫염소	
ocr002	ocr002_2	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr002	ocr002_3	1	1000 	112 	어미돼지	1	100000	99999	어미돼지	
ocr003	ocr003_1	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr003	ocr003_2	1	1000 	113 	아기돼지	1	100000	99999	아기돼지	
ocr004	ocr004_1	1	1000 	114 	어미코뿔소	1	100000	99999	어미코뿔소	
ocr005	ocr005_1	1	1000 	114 	어미코뿔소	1	100000	99999	어미코뿔소	
ocr005	ocr005_2	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr005	ocr005_3	1	1000 	111 	아기염소	1	100000	99999	아기염소	
ocr005	ocr005_4	1	1000 	112 	어미돼지	1	100000	99999	어미돼지	
ocr005	ocr005_5	1	1000 	115 	어린코뿔소	1	100000	99999	어린코뿔소	
ocr005	ocr005_6	1	1000 	113 	아기돼지	1	100000	99999	아기돼지	
ocr005	ocr005_7	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr005	ocr005_8	1	1000 	110 	숫염소	1	100000	99999	숫염소	
ocr006	ocr006_1	1	1000 	114 	어미코뿔소	1	100000	99999	어미코뿔소	
ocr006	ocr006_2	1	1000 	111 	아기염소	1	100000	99999	아기염소	
ocr006	ocr006_3	1	1000 	111 	아기염소	1	100000	99999	아기염소	
ocr006	ocr006_4	1	1000 	112 	어미돼지	1	100000	99999	어미돼지	
ocr006	ocr006_5	1	1000 	113 	아기돼지	1	100000	99999	아기돼지	
ocr006	ocr006_6	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr006	ocr006_7	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr006	ocr006_8	1	1000 	110 	숫염소	1	100000	99999	숫염소	
ocr006	ocr006_9	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr006	ocr006_10	1	1000 	112 	어미돼지	1	100000	99999	어미돼지	
ocr006	ocr006_11	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr006	ocr006_12	1	1000 	111 	아기염소	1	100000	99999	아기염소	
ocr006	ocr006_13	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr006	ocr006_14	1	1000 	686 	여행용버팔로	1	100000	99999	여행용버팔로	
ocr007	ocr007_1	1	1000 	114 	어미코뿔소	1	100000	99999	어미코뿔소	
ocr007	ocr007_2	1	1000 	110 	숫염소	1	100000	99999	숫염소	
ocr008	ocr008_1	1	1000 	111 	아기염소	1	100000	99999	아기염소	
ocr008	ocr008_2	1	1000 	113 	아기돼지	1	100000	99999	아기돼지	
ocr008	ocr008_3	1	1000 	115 	어린코뿔소	1	100000	99999	어린코뿔소	
ocr008	ocr008_4	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr008	ocr008_5	1	1000 	112 	어미돼지	1	100000	99999	어미돼지	
ocr008	ocr008_6	1	1000 	110 	숫염소	1	100000	99999	숫염소	
ocr008	ocr008_7	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr008	ocr008_8	1	1000 	109 	고양이	1	100000	99999	고양이	
ocr008	ocr008_9	1	1000 	683 	버팔로	1	100000	99999	버팔로	
mcr001	mcr001_1	1	1000 	666 	공작	1	100000	99999	공작	
mcr001	mcr001_2	1	1000 	667 	어린사자	1	100000	99999	어린사자	
mcr001	mcr001_3	1	1000 	668 	흑표범	1	100000	99999	흑표범	
mcr001	mcr001_4	1	1000 	667 	어린사자	1	100000	99999	어린사자	
mcr001	mcr001_5	1	1000 	666 	공작	1	100000	99999	공작	
mcr002	mcr002_1	1	1000 	669 	말	1	100000	99999	말	
mcr002	mcr002_2	1	1000 	675 	숫산양	1	100000	99999	숫산양	
mcr002	mcr002_3	1	1000 	670 	망아지	1	100000	99999	망아지	
mcr003	mcr003_1	1	1000 	689 	여행용산양	1	100000	99999	여행용산양	
mcr003	mcr003_2	1	1000 	687 	산양	1	100000	99999	산양	
mcr003	mcr003_3	1	1000 	676 	어린산양	1	100000	99999	어린산양	
mcr003	mcr003_4	1	1000 	689 	여행용산양	1	100000	99999	여행용산양	
mcr004	mcr004_1	1	1000 	666 	공작	1	100000	99999	공작	
mcr004	mcr004_2	1	1000 	689 	여행용산양	1	100000	99999	여행용산양	
mcr004	mcr004_3	1	1000 	668 	흑표범	1	100000	99999	흑표범	
gcr001	gcr001_1	1	1000	1791	새끼드래곤	1	100000	99999	새끼드래곤	
gcr001	gcr001_2	1	1000 	1792 	야크	1	100000 	99999	야크	
gcr001	gcr001_3	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_4	1	1000 	1794 	호랑이	1	100000 	99999	호랑이	
gcr001	gcr001_5	1	1000 	1791 	새끼드래곤	1	100000 	99999	새끼드래곤	
gcr001	gcr001_6	1	1000 	1792 	야크	1	100000 	99999	야크	
gcr001	gcr001_7	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_8	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_9	1	1000 	1791 	새끼드래곤	1	100000 	99999	새끼드래곤	
gcr001	gcr001_10	1	1000 	1792 	야크	1	100000 	99999	야크	
gcr001	gcr001_11	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_12	1	1000 	1794 	호랑이	1	100000 	99999	호랑이	
gcr001	gcr001_13	1	1000 	1791 	새끼드래곤	1	100000 	99999	새끼드래곤	
gcr001	gcr001_14	1	1000 	1792 	야크	1	100000 	99999	야크	
gcr001	gcr001_15	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_16	1	1000 	1794 	호랑이	1	100000 	99999	호랑이	
gcr001	gcr001_17	1	1000 	1791 	새끼드래곤	1	100000 	99999	새끼드래곤	
gcr001	gcr001_18	1	1000 	1792 	야크	1	100000 	99999	야크	
gcr001	gcr001_19	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_20	1	1000 	1794 	호랑이	1	100000 	99999	호랑이	
gcr001	gcr001_21	1	1000 	1791 	새끼드래곤	1	100000 	99999	새끼드래곤	
gcr001	gcr001_22	1	1000 	1792 	야크	1	100000 	99999	야크	
gcr001	gcr001_23	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_24	1	1000 	1794 	호랑이	1	100000 	99999	호랑이	
gcr001	gcr001_25	1	1000 	1791 	새끼드래곤	1	100000 	99999	새끼드래곤	
gcr001	gcr001_26	1	1000 	1792 	야크	1	100000 	99999	야크	
gcr001	gcr001_27	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_28	1	1000 	1794 	호랑이	1	100000 	99999	호랑이	
gcr001	gcr001_29	1	1000 	1791 	새끼드래곤	1	100000 	99999	새끼드래곤	
gcr001	gcr001_30	1	1000 	1792 	야크	1	100000 	99999	야크	
gcr001	gcr001_31	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_32	1	1000 	1794 	호랑이	1	100000 	99999	호랑이	
gcr001	gcr001_33	1	1000 	1791 	새끼드래곤	1	100000 	99999	새끼드래곤	
gcr001	gcr001_34	1	1000 	1792 	야크	1	100000 	99999	야크	
gcr001	gcr001_35	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_36	1	1000 	1794 	호랑이	1	100000 	99999	호랑이	
gcr001	gcr001_37	1	1000 	1791 	새끼드래곤	1	100000 	99999	새끼드래곤	
gcr001	gcr001_38	1	1000 	1792 	야크	1	100000 	99999	야크	
gcr001	gcr001_39	1	1000 	1793 	팬더	1	100000 	99999	팬더	
gcr001	gcr001_40	1	1000 	1794 	호랑이	1	100000 	99999	호랑이	
ogu001	ogu001_1	1	1000 	131 	트릴가드 수비병사	99	100000 	100000 	트릴가드 수비병사	
ogu001	ogu001_2	1	1000 	131 	트릴가드 수비병사	99	100000 	100000 	트릴가드 수비병사	
ogu001	ogu001_3	1	1000 	130 	트릴가드 수비대장	99	100000 	100000 	트릴가드 수비대장	
ogu002	ogu002_1	1	1000 	131 	트릴가드 수비병사	99	100000 	100000 	트릴가드 수비병사	
ogu002	ogu002_2	1	1000 	131 	트릴가드 수비병사	99	100000 	100000 	트릴가드 수비병사	
ogu002	ogu002_3	1	1000 	130 	트릴가드 수비대장	99	100000 	100000 	트릴가드 수비대장	
