TID	Title_Class	Title_Name	String TID	Require_level	Require_class_Type	Require_class_GuildMaster	Require_class_ArchLord	Require_Con	Require_Str	Require_Int	Require_Dex	Require_Wis	Require_Cha	Cost_Geld	Cost_Cash	Cost_Item_1	Cost_Item_1_Count	Cost_Item_1_Type	Cost_Item_2	Cost_Item_2_Count	Cost_Item_2_Type	Cost_Item_3	Cost_Item_3_Count	Cost_Item_3_Type	Cost_Item_4	Cost_Item_4_Count	Cost_Item_4_Type	Cost_Item_5	Cost_Item_5_Count	Cost_Item_5_Type	First_Title 1	First_Title 2	First_Title 3	First_Title 4	First_Title 5	Title_Check_1	Title_Check_1_Set	Title_Check_1_Value	Title_Check_2	Title_Check_2_Set	Title_Check_2_Value	Title_Check_3	Title_Check_3_Set	Title_Check_3_Value	Title_Check_4	Title_Check_4_Set	Title_Check_4_Value	Title_Check_5	Title_Check_5_Set	Title_Check_5_Value	Trade_Possibility	Duration	Reward_Money	Reward_Item_1	Reward_Item_2	Reward_Item_3	Reward_Item_4	Reward_Item_5	Skill_Tid_1	Skill_Tid_2	Skill_Tid_3	Skill_Tid_4	Skill_Tid_5	Skill_Tid_6	Skill_Tid_7	Skill_Tid_8	Skill_Tid_9	Skill_Tid_10	Title_Effect_1	Title_Effect_1_Set	Title_Effect_1_Value_1	Title_Effect_1_Value_2	Title_Effect_2	Title_Effect_2_Set	Title_Effect_2_Value_1	Title_Effect_2_Value_2	Title_Effect_3	Title_Effect_3_Set	Title_Effect_3_Value_1	Title_Effect_3_Value_2	Title_Effect_4	Title_Effect_4_Set	Title_Effect_4_Value_1	Title_Effect_4_Value_2	Title_Effect_5	Title_Effect_5_Set	Title_Effect_5_Value_1	Title_Effect_5_Value_2	Title_Comment
90001	Killer	Killer	90001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90001	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90002	Killer	Bloody	90002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90001	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90003	Killer	Heartless	90003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90001	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90004	Killer	Embodiment of Devil	90004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90001	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170001	Storyteller	Storyteller	170001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170001	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	20	0	2	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170002	Storyteller	Wanderer	170002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170001	0	0	0	0	170001	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	50	0	2	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170003	Storyteller	Adventurer	170003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170002	0	0	0	0	170001	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	100	0	2	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200001	Researcher	Alchemy Expert	200001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200001	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200002	Researcher	Cooking Researcher	200002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200002	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200003	Researcher	Collection Researcher	200003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200003	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
